Character,Move Name,Move Input,GIF URL,
Akuma,Wrath of the Raging Demon,"in rage 1, 1, f+3, 2",https://gfycat.com/GrimySmoggyFox,
Akuma,Gohadoken,qcf+1,https://gfycat.com/GrotesqueBigheartedAnemonecrab,
Akuma,Gohadoken,qcf+2,https://gfycat.com/SeparateOptimisticDouglasfirbarkbeetle,
Akuma,Shakunetsu Hadoken,hcb+1,https://gfycat.com/bluetallatlanticsharpnosepuffer,
Akuma,Shakunetsu Hadoken,hcb+2,https://gfycat.com/RealisticSillyAmericanavocet,
Akuma,Goshoryuken,"f, d, d/f+1",https://gfycat.com/ForcefulImmenseHerculesbeetle,
Akuma,Goshoryuken,"f, d, d/f+2",https://gfycat.com/AdoredAgreeableAntipodesgreenparakeet,
Akuma,Hyakkishu,"f, d, d/f+3 or 4",https://gfycat.com/TheseClearcutBudgie,
Akuma,Hyakkigozan,DFLIP n,https://gfycat.com/DecisivePepperyGavial,
Akuma,Hyakkigosho,DFLIP 1,https://gfycat.com/SickClassicHarrier,
Akuma,Hyakkigohatsu,DFLIP 2,https://gfycat.com/CloseLeanKitten,
Akuma,Hyakkigosen,DFLIP 3,https://gfycat.com/SmartAmusedElephant,
Akuma,Hyakkigojin,DFLIP 4,https://gfycat.com/SameYellowishEasternglasslizard,
Akuma,Hyakkigosai,DFLIP 1+3 or 2+4,https://gfycat.com/ScornfulComplexJackal,
Akuma,Tatsumaki Zankukyaku,qcb+3,https://gfycat.com/SilverHospitableHyena,
Akuma,Tatsumaki Zankukyaku,qcb+4,https://gfycat.com/RespectfulFloweryDromedary,
Akuma,Zanku Hadoken,jump qcf+1 or 2,https://gfycat.com/AntiqueMagnificentFruitbat,
Akuma,AirBorne Tatsumaki Zankukyaku,jump qcb+3 or 4,https://gfycat.com/CoarseUnsightlyGreatargus,
Akuma,EX Gohadoken,qcf+1+2,https://gfycat.com/HarmoniousNarrowAlaskanmalamute,
Akuma,EX Shakunetsu Hadoken,hcb+1+2,https://gfycat.com/PaleThreadbareAllosaurus,
Akuma,EX Goshoryuken,"f, d, d/f+1+2",https://gfycat.com/HighBlueHorsechestnutleafminer,
Akuma,Messatsu Goshoryu,"f, d, d/f+1+2 (on counter)",https://gfycat.com/MiserableJadedKitten,
Akuma,EX Tatsumaki Zankukyaku,qcb+3+4,https://gfycat.com/DizzyDisguisedJellyfish,
Akuma,EX Zanku Hadoken,jump qcf+1+2,https://gfycat.com/SimplisticDeadlyKarakul,
Akuma,EX AirBorne Tatsumaki Zankukyaku,jump qcb+3+4,https://gfycat.com/GrimyVibrantLeafbird,
Akuma,Hisenkyaku to EX Zanku Hadoken,TPORT (f+3+4) qcf+1+2,https://gfycat.com/HonoredSlushyConure,
Akuma,Hisenkyaku to EX AirBorne Tatsumaki Zankukyaku,TPORT (f+3+4) qcb+3+4,https://gfycat.com/BothInformalAuk,
Akuma,Messatsu Gohado,"qcf, qcf+1+2",https://gfycat.com/InsecureUnsightlyDormouse,
Akuma,Sengeki,1,https://gfycat.com/MagnificentElatedKitten,
Akuma,Kimon Rendan,"1, 1",https://gfycat.com/VibrantSeparateImperatorangel,
Akuma,Kimon Rentotsu,"1, 2",https://gfycat.com/WhoppingCooperativeCaimanlizard,
Akuma,Roppu Tubushi,2,https://gfycat.com/ObesePerkyAurochs,
Akuma,Kikoku Renzan,"4, 3",https://gfycat.com/ForkedHeartyCapeghostfrog,
Akuma,Focus Attack,1+2,https://gfycat.com/ContentBoilingJay,
Akuma,Focus Attack,"1+2, *",https://gfycat.com/EvenDecentAuklet,
Akuma,Ryujinkyaku,f+3,https://gfycat.com/AdeptMildCuscus,
Akuma,Onikubigari,f+4,https://gfycat.com/MajesticSmallAnole,
Akuma,Zugaihasatsu,f+1+2,https://gfycat.com/DeterminedConcreteChupacabra,
Akuma,Hisenkyaku,f+3+4,https://gfycat.com/ExemplaryAgitatedAardvark,
Akuma,Gokumonsyo,"d/f+1, 1",https://gfycat.com/TallScentedAmphiuma,
Akuma,Zugaigohasatsu,"d/f+1, 2",https://gfycat.com/PhysicalJealousConch,
Akuma,Dohatsu Tensho,"d/f+2, 1",https://gfycat.com/UntidyComfortableAntarcticgiantpetrel,
Akuma,Gokusatsu Gotenshu,"d/f+2, 4, 3",https://gfycat.com/chillyadmirableafricangoldencat,
Akuma,Yokogeri,d/f+3,https://gfycat.com/darlingbasichammerheadbird,
Akuma,Kitotsukyaku,d/f+4,https://gfycat.com/capitalnimbleamericanpainthorse,
Akuma,Fukusengeki,d+1,https://gfycat.com/shrillquestionablebobwhite,
Akuma,Fukusenshotei,"d+1, 2",https://gfycat.com/emptyseparatekid,
Akuma,Shotei,d+2,https://gfycat.com/appropriateamazingbarb,
Akuma,Kurubushi Kick,d+3,https://gfycat.com/serpentineconfusedflee,
Akuma,Ashibarai,d+4,https://gfycat.com/UnimportantSparseEyelashpitviper,
Akuma,Gaikaiken,b+1,https://gfycat.com/PotableCluelessArthropods,
Akuma,Danretto,b+2,https://gfycat.com/UnconsciousMiniatureEmperorshrimp,
Akuma,Taizankyaku,b+4,https://gfycat.com/HastySociableHog,
