MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,1,high,1.5,0.5,-,-,-,-,-,7 [8],i10,+1,+8,+8,FLOAT,-16,1,-
Left Right Combo,"1, 2","high, high",1.5,1,-,-,YES,NC,-,"7 [8], 10",i10,-1,+5,-,-,-19,"1, 1",-
-,"(1), 2",high,1.5,1.5,-,-,-,-,-,10 [12],i10,-1,+5,+5,FLOAT,-19,1,-
-,"1, 2, 1","high, high, high",1.5,0.5,-,-,YES,NO,-,"7 [8], 10, 6",i10,-3,+4,-,-,-20,"1, 1, 1",-
-,"(1), 2, 1","high, high",1.5,0.5,-,-,YES,NCc,-,"10 [12], 6",i10,-3,+4,-,-,-20,"1, 1",-
-,"(1), (2), 1",high,1,0.5,-,-,-,-,-,6 [7],i16,-3,+4,+4,FLOAT,-20,1,-
Left Right Left to Frost Needle,"1, 2, 1, 4","high, high, high, high",1.5,1,-,-,NO,NO,WALL SPLAT,"7 [8], 10, 6, 18",i10,+7,LAUNCH,-,-,-36,"1, 1, 1, 2",-
-,"(1), 2, 1, 4","high, high, high",1.5,1.25,-,-,NO,NO,WALL SPLAT,"10 [12], 6, 18",i10,+7,LAUNCH,-,-,-36,"1, 1, 2",-
-,"(1), (2), 1, 4","high, high",1,1.25,-,-,NO,NCc,WALL SPLAT,"6 [7], 18",i16,+7,LAUNCH,-,-,-36,"1, 2",-
-,"(1), (2), (1), 4",high,1.5,1.25,-,high,-,-,WALL SPLAT,18 [21],i20,+7,LAUNCH,LAUNCH,BACK FLIP,-36,2,-
Jab Combo Low Kick,"1, 2, 1, d+4","high, high, high, low",1.5,1,-,-,NO,NO,-,"7 [8], 10, 6, 12",i10,-13,-2,-,-,-31,"1, 1, 1, 1",-
-,"(1), 2, 1, d+4","high, high, low",1.5,1.25,-,-,NO,NO,-,"10 [12], 6, 12",i10,-13,-2,-,-,-31,"1, 1, 1",-
-,"(1), (2), 1, d+4","high, low",1,1.5,-,-,NO,NCc,-,"6 [7], 12",i16,-13,-2,-,-,-31,"1, 1",-
-,"(1), (2), (1), d+4",low,1.5,2,SSL / SSR,"high, mid",-,-,-,12 [14],i23,-13,-2,-2,FLOAT,-31,1,-
Left Right to Left Low Kick,"1, 2, 3","high, high, low",1.5,1.5,-,-,NO,NO,-,"7 [8], 10, 10",i10,-14,-3,-,-,-32,"1, 1, 1",-
-,"(1), 2, 3","high, low",1.5,1.75,-,-,NO,NCc,-,"10 [12], 10",i10,-14,-3,-,-,-32,"1, 1",-
-,"(1), (2), 3",low,1.5,1.75,SSL / SSR,"high, mid",-,-,-,10 [12],i21,-14,-3,-3,FLOAT,-32,1,-
Jab Combo Roundhouse,"1, 2, 4","high, high, high",1.5,2.5,-,-,NO,NO,WALL BREAK / SPLAT ,"7 [8], 10, 22",i10,-6,KND,-,-,-29,"1, 1, 1",-
-,"(1), 2, 4","high, high",1.5,2.5,-,-,NO,NCc,-,"10 [12], 22",i10,-6,KND,-,-,-29,"1, 1",-
-,"(1), (2), 4",high,2,3.5,SSR,-,-,-,-,22 [26],i22,-6,KND,KND,S!,-29,1,-
Jab Low Kick,"1, 4","high, low",1.5,1,-,-,NO,NC,-,"7 [8], 12",i10,-13,-2,-,-,-31,"1, 1",-
-,"(1), 4",low,1.5,1.5,SSL / SSR,"high, mid",-,-,-,12 [14],i23,-13,-2,-2,FLOAT,-31,1,-
-,2,high,1.5,0.25,-,-,-,-,-,10 [12],i10,+1,+7,+7,FLOAT,-17,1,-
-,"2, 1","high, high",1.5,0.5,-,-,YES,NC,-,"10 [12], 6",i16,-3,+4,-,-,-20,"1, 1",-
-,"(2), 1",high,1.5,1,-,-,-,-,-,6 [7],i16,-3,+4,+4,FLOAT,-20,1,-
Right Left to Frost Needle,"2, 1, 4","high, high, high",1.5,1,-,high,NO,NO,WALL SPLAT,"10 [12], 6, 18",i10,+4,LAUNCH,-,-,-36,"1, 1, 2",-
-,"(2), 1, 4","high, high",1.5,1.25,-,-,NO,NCc,WALL SPLAT,"6 [7], 18",i16,+4,LAUNCH,-,-,-36,"1, 2",-
-,"(2), (1), 4",high,1,1,-,-,-,-,WALL SPLAT,18 [21],i20,+4,LAUNCH,LAUNCH,FRONT SPIN,-36,2,-
Biting Snake (Short),"2, 1, d+4","high, high, low",1.5,1.25,-,-,NO,NO,-,"10 [12], 6, 12",i10,-13,-2,-,-,-31,"1, 1, 1",-
-,"(2), 1, d+4","high, low",1.5,1.5,-,-,NO,NCc,-,"6 [7], 12",i16,-13,-2,-,-,-31,"1, 1",-
-,"(2), (1), d+4",low,1.75,1,SSL / SSR,"high, mid",-,-,-,12 [14],i23,-13,-2,-2,FLOAT,-31,1,-
Straight Face Wash,"2, 3","high, mid",1.5,1,-,-,YES,NC,-,"10 [12], 14",i10,-11,0,-,-,-28,"1, 2",-
-,"(2), 3",mid,1.75,1.5,SWR,-,-,-,-,14 [16],i19,-11,0,0,FLOAT,-28,2,-
Jab Roundhouse,"2, 4","high, high",1.5,2.5,-,-,NO,NCc,WALL BREAK / SPLAT ,"10 [12], 22",i10,-6,KND,-,-,-29,"1, 1",-
-,"(2), 4",high,2,2.5,-,-,-,-,WALL BREAK / SPLAT ,22 [26],i22,-6,KND,KND,S!,-29,1,-
Jab Sweep,"2, d+3","high, low",1.5,1.5,-,-,NO,NCc,-,"10 [12], 10",i10,-14,-3,-,-,-32,"1, 1",-
-,"(2), d+3",low,1.5,2,SSL / SSR,"high, mid",-,-,-,10 [12],i21,-14,-3,-3,FLOAT,-32,1,-
-,3,high,1.5,1.25,-,-,-,-,-,14 [16],i14,-16,-5,-5,FLOAT,-34,1,-
-,"3, 3","high, low",1.5,1.75,-,-,NO,NC,-,"14 [16], 10",i14,-17,-6,-,-,-35,"1, 1",-
-,"(3), 3",low,2,2,SSL / SSR,-,-,-,-,10 [12],i24,-17,-6,-6,FLOAT,-35,1,-
Spike Combo to Right Uppercut,"3, 3, 2","high, low, mid",1.5,0.75,-,-,NO,NO,WALL SPLAT,"14 [16], 10, 10",i14,-13,LAUNCH,-,-,-29,"1, 1, 3",-
-,"(3), 3, 2","low, mid",1.5,1,-,-,NO,NCc,WALL SPLAT,"10 [12], 10",i24,-13,LAUNCH,-,-,-29,"1, 3",-
-," (3), (3), 2",mid,1.5,1.5,-,-,-,-,WALL SPLAT,10 [12],i25,-13,LAUNCH,LAUNCH,FLOAT,-29,3,-
-,"3, 3, 4","high, low, high",1.5,2,-,-,NO,NO,-,"14 [16], 10, 18",i14,-6,+5,-,-,-24,"1, 1, 1",-
-,"(3), 3, 4","low, high",1.5,1.75,-,-,NO,NCc,-,"10 [12], 18",i24,-6,+5,-,-,-24,"1, 1",-
-,"(3), (3), 4",high,2,2.25,SSL / SSR,-,-,-,-,18 [21],i20,-6,+5,KND,FLOAT,-24,1,-
Spike Combo to B Slap,"3, 3, 4, 1","high, low, high, mid",1.5,0.25,-,-,NO,NO,-,"14 [16], 10, 18, 20",i14,+2 (OC),+5 (OC),-,-,-26,"1, 1, 1, 2",-
-,"(3), 3, 4, 1","low, high, mid",1.5,0.25,-,-,NO,NO,-,"10 [12], 18, 20",i24,+2 (OC),+5 (OC),-,-,-26,"1, 1, 2",-
-,"(3), (3), 4, 1","high, mid",2,0.25,-,-,NO,NCc,-,"18 [21], 20",i20,+2 (OC),+5 (OC),-,-,-26,"1, 2",-
-,"(3), (3), (4), 1",mid,2,0.25,SSR,-,-,-,-,20 [24],i29,+2 (OC),+5 (OC),LAUNCH,FLOOR BREAK,-26,2,-
Head Ringer,"3, 4","high, high",1.5,2.5,-,-,NO,NC,WALL BREAK / SPLAT ,"14 [16], 20",i14,-6,KND,-,-,-26,"1, 1",-
-,"(3), 4",high,2,3,-,-,-,-,WALL BREAK / SPLAT ,20 [24],i22,-6,KND,KND,S!,-26,1,-
