MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,1,high,1.5,0.5,-,-,-,-,-,7 [8],i10,+1,+8,+8,FLOAT,-16,1,-
One Two Punch,"1, 2","high, high",1.5,0.5,-,-,YES,NC,-,"7 [8], 10",i10,-1,+5,-,-,-19,"1, 1",-
-,"(1), 2",high,1.5,0.5,-,-,-,-,-,10 [12],i10,-1,+5,+5,FLOAT,-19,1,-
Left Right Uppercut,"1, 2, 1","high, high, mid",1.5,1,-,-,NO,NO,-,"7 [8], 10, 17",i10,-5,+1,-,-,-22,"1, 1, 2",-
-,"(1), 2, 1","high, mid",1.5,1,-,-,NO,NCc,-,"10 [12], 17",i10,-5,+1,-,-,-22,"1, 2",-
-,"(1), (2), 1",mid,1.5,1,SSR,-,-,-,-,17 [20],i24,-5,+1,+31,FLOAT,-22,2,-
-,2,high,1.5,0.25,-,-,-,-,-,10 [12],i10,+1,+7,+7,FLOAT,-17,1,-
Jab Uppercut,"2, 1","high, mid",1.5,0.75,-,-,NO,NC,-,"10 [12], 12",i10,-2,+5,-,-,-18,"1, 2",-
-,"(2), 1",mid,1.5,0.75,SSR,-,-,-,-,12 [14],i23,-2,+5,+5,FLOAT,-18,2,-
-,3,high,1.5,1.5,SWR,-,-,-,WALL BREAK / SPLAT,25 [30],i17,-14,KND,KND,FLOAT,-32,1,-
-,4,high,1.5,1.5,SSL,-,-,-,[WALL BREAK / SPLAT],20 [24],i13,-5,+6,LAUNCH,FLOAT,-23,1,-
-,1+2,mid,1.75,0,SSR,-,-,-,-,10 [12],i17,-10,0,0,FLOAT,-35,3,-
Dark Cyclone,"1+2, 2","mid, high",1.75,1.75,-,-,NO,NC,-,"10 [12], 20",i17,-3,KND,-,-,-23,"3, 1",-
-,"(1+2), 2",high,2.25,1.75,-,-,-,-,-,20 [24],i18,-3,KND,KND,FLOAT,-23,1,-
Dark Buzzsaw,"1+2, 4","mid, mid",1.75,0.25,-,-,NO,NC,-,"10 [12], 17",i17,-13,+8,-,-,-30,"3, 2",-
-,"(1+2), 4",mid,2.5,0.25,SSR,-,-,-,-,17 [20],i19,-13,+8,STUN,FLOAT,-30,2,-
Round Out Body Press,"3+4, 1","mid, mid",3,0,-,-,NO,NO,-,"10 [12], 25, 5",i25,0,KND,-,-,-17,"8, 11",-
-,"(3+4), 1",mid,2.5,0,SSL / SSR,-,-,-,-,"25 [30], 5",i24,0,KND,KND,FLOAT,-17,11,-
Round Out Elbow,"3+4, 2","mid, mid",3,0,-,-,NO,NC,WALL BREAK / SPLAT,"10 [12], 25",i25,-18,KND,-,-,-24,"8, 21",-
-,"(3+4), 2",mid,3.5,0,-,-,-,-,WALL BREAK / SPLAT,25 [30],i17,-18,KND,KND,FLOAT,-24,21,-
-,f+2,mid,2.5,0,-,-,-,-,-,12 [14],i15,-11,+2,+2,FLOAT,-28,2,-
Dark Elbow Hook,"f+2, 1","mid, high",2.5,0,-,-,NO,NC,WALL BREAK / SPLAT,"12 [14], 20",i15,-9,KND,-,-,-32,"2, 2",-
-,"(f+2), 1",high,2,0,-,-,-,-,WALL BREAK / SPLAT,20 [24],i18,-9,KND,KND,FLOAT,-32,2,-
-,f+3,mid,2.5,0,SSR,-,-,-,-,15 [18],i16,-3,+4,+4,FLOAT,-29,2,-
