MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,1,0.25,-,low,-,-,-,21 [25],i26,+4,STUN,STUN,FLOAT,-25,3,-
-,1,high,1.5,0,-,-,-,-,-,8 [9],i10,-2,+9,+9,FLOAT,-20,1,-
Whiplash,"1, 1","high, mid",1.5,0,-,-,NO,NCc,-,"8 [9], 15",i10,-7,+4,-,-,-25,"1, 1",-
-,"(1), 1",mid,1,0,SSL,-,-,-,-,15 [18],i24,-7,+4,+4,FLOAT,-25,1,-
Jab Uppercut,"1, 2","high, mid",1.5,1,-,-,NO,NCc,-,"8 [9], 9",i10,-8,+3,-,-,-25,"1, 2",-
-,"(1), 2",mid,1,1,-,-,-,-,-,9 [10],i24,-8,+3,+3,FLOAT,-25,2,-
Jab Uppercut to Spinning Heel Drop,"1, 2, 3","high, mid, mid",1.5,0.25,-,-,NO,NO,WALL BREAK / SPLAT,"8 [9], 9, 16",i10,-2,S!,-,-,-18,"1, 2, 3",-
-,"(1), 2, 3","mid, mid",1.5,0.25,-,-,NO,NO,WALL BREAK / SPLAT,"9 [10], 16",i24,-2,S!,-,-,-18,"2, 3",-
-,"(1), (2), 3",mid,2,0.25,-,-,-,-,WALL BREAK / SPLAT,24 [28],i14,-2,KND,KND,S!,-18,3,-
-,"(1), (2), 3* (2 spins)",mid,1.5,0.25,-,-,-,-,WALL BREAK / SPLAT,26 [31],i12,+6,KND,KND,S!,-20,2,-
-,"(1), (2), 3*, B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-35,-,-
Jab Uppercut to Front Kick,"1, 2, 4","high, mid, mid",1.5,2,-,-,NO,NCc,WALL SPLAT,"8 [9], 9, 14",i10,-12,KND,-,-,-30,"1, 2, 2",-
-,"(1), 2, 4","mid, mid",1.5,2,-,-,NO,NC,WALL SPLAT,"9 [10], 14",i24,-12,KND,-,-,-30,"2, 2",-
-,"(1), (2), 4",mid,2.5,2.5,SSL,-,-,-,-,20 [24],i18,-12,KND,KND,BACK FLIP,-30,2,-
Jab Low Kick,"1, 3","high, low",1.5,0.25,-,-,NO,NCc,-,"8 [9], 10",i10,-11,0,-,-,-29,"1, 1",-
-,"(1), 3",low,1.5,0.25,SSL / SSR,-,-,-,-,10 [12],i21,-11,0,0,FLOAT,-29,1,-
Jab Leg Cutter,"1, 4","high, low",1.5,0,-,-,NO,NCc,-,"8 [9], 14",i10,-11,0,-,-,-27,"1, 3",-
-,"(1), 4",low,2,0.5,SWL / SWR,"high, mid",-,-,-,14 [16],i26,-11,0,+3,FLOAT,-27,3,-
-,2,high,2,0,-,-,-,-,-,9 [10],i12,-11,0,0,FLOAT,-29,1,-
-,"2, 1","high, high",2,0.5,-,-,NO,NC,-,"9 [10], 10",i12,-3,+8,-,-,-20,"1, 2",-
-,"(2), 1",high,2.5,1.5,-,-,-,-,-,10 [12],i18,-3,+8,+8,FLOAT,-20,2,-
Basho's Dance,"2, 1, 1+2","high, high, high, high",2,0,-,-,NO,NO,WALL BREAK / SPLAT,"9 [10], 10, 8, 20",i12,-10,S!,-,-,-35,"1, 2, 2, 3",-
-,"(2), 1, 1+2","high, high, high",2.5,0,-,-,NO,NCc,WALL BREAK / SPLAT,"10 [12], 8, 20",i18,-10,S!,-,-,-35,"2, 2, 3",-
-,"(2), (1), 1+2","high, high",2,0,SSL / SSR,-,-,-,WALL BREAK / SPLAT,"8 [9], 20",i24,-10,S!,S!,S!,-35,"2, 3",-
Mizu Basho,"2, 3","high, mid",2,1.25,-,-,NO,NC,WALL BREAK / SPLAT,"9 [10], 20",i12,-19,KND,-,-,-39,"1, 2",-
-,"(2), 3",mid,1.5,1.5,SSL / SSR,-,-,-,WALL BREAK / SPLAT,20 [24],i22,-19,KND,KND,TURN OVER,-39,2,-
-,3,mid,1.5,0,-,-,-,-,-,17 [20],i14,-7,+8,+8,FLOAT,-25,1,-
Hyakujitsuko,"3, 1","mid, mid",1.5,0.25,-,-,NO,NC,-,"17 [20], 17",i18,-11,+8,-,-,-28,"1, 2",-
-,"(3), 1",mid,1.5,1,SSL / SSR,high,-,-,[WALL BREAK / SPLAT],17 [20],i14,-11,+8,KND,FLOAT,-28,2,-
Sacred Blade,3~4,low,1.5,0.25,HOMING,-,-,-,-,22 [26],i26,-26,STUN,STUN,FLOAT,-31,3,-
