MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,2,-,-,"mid, low",-,-,-,21 [25],i35,+1,KND,KND,-,-,-,-
-,1,high,1.5,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 1","high, high",1.5,-,-,-,-,-,-,"7 [8], 7",i10,-1,+5,-,-,-,-,-
-,"(1), 1",high,1.5,-,-,-,-,-,-,7 [8],i17,-1,+5,+5,-,-,-,-
Straight Rondel,"1, 1, 2","high, high, high",1.5,-,-,-,-,-,-,"7 [8], 7, 12",i10,-12,+2,-,-,-,-,-
-,"(1), 1, 2","high, high",1.5,-,-,-,-,-,-,"7 [8], 12",i17,-12,+2,-,-,-,-,-
-,"(1), (1), 2",high,2,-,-,-,-,-,-,12 [14],i19,-12,+2,+2,-,-,-,-
One Two Punch,"1, 2","high, high",1.5,-,-,-,-,-,-,"7 [8], 10",i10,-3,+3,-,-,-,-,-
-,"(1), 2",high,1.5,-,-,-,-,-,-,10 [12],i13,-3,+3,+3,-,-,-,-
Fast Break,"1, 2, 1+2","high, high, mid",1.5,-,-,-,-,-,-,"7 [8], 10, 20",i10,-13,+9,-,-,-,-,-
-,"(1), 2, 1+2","high, mid",1.5,-,-,-,-,-,-,"10 [12], 20",i13,-13,+9,-,-,-,-,-
-,"(1), (2), 1+2",mid,1.5,-,-,-,-,-,-,20 [24],i18,-13,+9,S!,-,-,-,-
-,"1, 3","high, low",1.5,-,-,-,-,-,-,"7 [8], 10",i10,-16,-5,-,-,-,-,-
-,"(1), 3",low,1.5,-,-,-,-,-,-,10 [12],i20,-16,-5,-5,-,-,-,-
Course Picante,"1, 3, 3","high, low, mid",1.5,-,-,-,-,-,-,"7 [8], 10, 18",i10,-14,-6,-,-,-,-,-
-,"(1), 3, 3","low, mid",1.5,-,-,-,-,-,-,"10 [12], 18",i20,-14,-6,-,-,-,-,-
-,"(1), (3), 3",mid,2,-,-,-,-,-,-,18 [21],i25,-14,-6,KND,-,-,-,-
Course Sarat,"1, 4","high, high",1.5,-,-,-,-,-,-,"7 [8], 15",i10,-6,+5,-,-,-,-,-
-,"(1), 4",high,1.5,-,-,-,-,-,-,15 [18],i16,-6,+5,LAUNCH,-,-,-,-
Course Achuto,"1, d+4","high, low",1.5,-,-,-,-,-,-,"7 [8], 13",i10,-12,-1,-,-,-,-,-
-,"(1), d+4",low,1.75,-,-,-,-,-,-,13 [15],i22,-12,-1,-1,-,-,-,-
-,2,high,1.25,-,-,-,-,-,-,8 [9],i10,0,+6,+6,-,-,-,-
-,"2, 1","high, mid",1.25,-,-,-,-,-,-,"8 [9], 10",i10,-4,+4,-,-,-,-,-
-,"(2), 1",mid,2,-,-,-,-,-,-,10 [12],i23,-4,+4,+7,-,-,-,-
Barista Swirl,"2, 1, 4","high, mid, mid",1.25,-,-,-,-,-,-,"8 [9], 10, 20",i10,-4,KND,-,-,-,-,-
-,"(2), 1, 4","mid, mid",2,-,-,-,-,-,-,"10 [12], 20",i23,-4,KND,-,-,-,-,-
-,"(2), (1), 4",mid,1.75,-,-,-,-,-,-,20 [24],i27,-4,KND,KND,-,-,-,-
-,3,high,1.75,-,-,-,-,-,-,14 [16],i18,-9,-4,-4,-,-,-,-
Croque-Monsieur,"3, 4","high, mid",1.75,-,-,-,-,-,-,"14 [16], 17",i18,-10,+4 (OC),-,-,-,-,-
-,"(3), 4",mid,2.5,-,-,low,-,-,-,17 [20],i28,-10,+4 (OC),KND,-,-,-,-
-,4,high,1.25,-,-,-,-,-,-,15 [18],i13,-9,+7,LAUNCH,-,-,-,-
-,"4, 3","high, mid",1.25,-,-,-,-,-,-,"15 [18], 12",i13,-8,+3,-,-,-,-,-
-,"(4), 3",mid,2,-,-,-,-,-,-,12 [14],i25,-8,+3,KND,-,-,-,-
Sparkling Hop,"4, 3, 3+4","high, mid, mid",1.25,-,-,-,-,-,-,"15 [18], 12, 14",i13,-5,KND,-,-,-,-,-
-,"(4), 3, 3+4","mid, mid",2,-,-,-,-,-,-,"12 [14], 14",i25,-5,KND,-,-,-,-,-
-,"(4), (3), 3+4",mid,2,-,-,low,-,-,-,14 [16],i28,-5,KND,KND,-,-,-,-
-,1+2,mid,1.5,-,-,-,-,-,-,18 [21],i19,-13,0,0,-,-,-,-
-,"1+2, B",mid,1.5,-,-,-,-,-,-,18 [21],i19,-36,-23,-23,-,-,-,-
Black Poélé,"1+2, 1+2","mid, mid",1.5,-,-,-,-,-,-,"18 [21], 21",i19,-20,KND,-,-,-,-,-
