MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,-,-,-,-,25 [30],i16,-1,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 8",i10,-2,+5,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,8 [9],i12,-2,+5,+10,-,-,-,-
One Two Body Blow,"1, 2, 1","high, high, mid",-,-,-,-,-,-,-,"7 [8], 8, 18",i10,-6,+6,-,-,-,-,-
-,"(1), 2, 1","high, mid",-,-,-,-,-,-,-,"8 [9], 18",i12,-6,+6,-,-,-,-,-
-,"(1), (2), 1",mid,-,-,-,-,-,-,-,18 [21],i19,-6,+6,STUN,-,-,-,-
One Two Low Kick,"1, 2, 3","high, high, low",-,-,-,-,-,-,-,"7 [8], 8, 15",i10,-12,+2,-,-,-,-,-
-,"(1), 2, 3","high, low",-,-,-,-,-,NCc,-,"8 [9], 15",i12,-12,+2,-,-,-,-,-
-,"(1), (2), 3",low,-,-,-,-,-,-,-,15 [18],i24,-12,+2,KND,-,-,-,-
One Two High Kick,"1, 2, 4","high, high, high",-,-,-,-,-,-,-,"7 [8], 8, 24",i10,-3,KND,-,-,-,-,-
-,"(1), 2, 4","high, high",-,-,-,-,-,-,-,"8 [9], 24",i12,-3,KND,-,-,-,-,-
-,"(1), (2), 4",high,-,-,-,-,-,-,-,24 [28],i25,-3,KND,KND,-,-,-,-
-,"1, 4","high, high",-,-,-,-,-,-,-,"7 [8], 14",i10,-7,+4,-,-,-,-,-
-,"(1), 4",high,-,-,-,-,-,-,-,14 [16],i15,-7,+4,+4,-,-,-,-
-,"1, 4, 2","high, high, high",-,-,-,-,-,-,-,"7 [8], 14, 18",i10,-7,+4,-,-,-,-,-
-,"(1), 4, 2","high, high",-,-,-,-,-,-,-,"14 [16], 18",i15,-7,+4,-,-,-,-,-
-,"(1), (4), 2",high,-,-,-,-,-,-,-,18 [21],i26,-7,+4,+4,-,-,-,-
-,"1, 4, 2, 1","high, high, high, high",-,-,-,-,-,-,-,"7 [8], 14, 18, 17",i10,0,STUN,-,-,-,-,-
-,"(1), 4, 2, 1","high, high, high",-,-,-,-,-,-,-,"14 [16], 18, 17",i15,0,STUN,-,-,-,-,-
-,"(1), (4), 2, 1","high, high",-,-,-,-,-,-,-,"18 [21], 17",i26,0,STUN,-,-,-,-,-
-,"(1), (4), (2), 1",high,-,-,-,-,-,-,-,17 [20],i19,0,STUN,STUN,-,-,-,-
-,"(1), (4), (2), (1), u, u (or d, d)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lair's Dance,"1, 4, 2, 1, 2","high, high, high, high, high",-,-,-,-,-,-,-,"7 [8], 14, 18, 17, 22",i10,-9,KND,-,-,-,-,-
-,"(1), 4, 2, 1, 2","high, high, high, high",-,-,-,-,-,-,-,"14 [16], 18, 17, 22",i15,-9,KND,-,-,-,-,-
-,"(1), (4), 2, 1, 2","high, high, high",-,-,-,-,-,-,-,"18 [21], 17, 22",i26,-9,KND,-,-,-,-,-
-,"(1), (4), (2), 1, 2","high, high",-,-,-,-,-,-,-,"17 [20], 22",i19,-9,KND,-,-,-,-,-
-,"(1), (4), (2), (1), 2",high,-,-,-,-,-,-,-,22 [26],i24,-9,KND,KND,-,-,-,-
Cremation,"1, 4, 2, 1, 4","high, high, high, high, mid",-,-,-,-,-,-,-,"7 [8], 14, 18, 17, 14",i10,-5,S!,-,-,-,-,-
-,"(1), 4, 2, 1, 4","high, high, high, mid",-,-,-,-,-,-,-,"14 [16], 18, 17, 14",i15,-5,S!,-,-,-,-,-
-,"(1), (4), 2, 1, 4","high, high, mid",-,-,-,-,-,-,-,"18 [21], 17, 14",i26,-5,S!,-,-,-,-,-
-,"(1), (4), (2), 1, 4","high, mid",-,-,-,-,-,-,-,"17 [20], 14",i19,-5,S!,-,-,-,-,-
-,"(1), (4), (2), (1), 4",mid,-,-,-,-,-,-,-,21 [25],i30,-5,KND,KND,-,-,-,-
