MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,21 [25],i23,0,+8,+8,-,-,3,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 1","high, high",-,-,-,-,-,-,-,"7 [8], 6",i10,-1,+8,-,-,-,-,-
-,"(1), 1",high,-,-,-,-,-,-,-,6 [7],i15,-1,+8,+8,-,-,-,-
Flash Punch Combo,"1, 1, 2","high, high, mid",-,-,-,-,-,-,-,"7 [8], 6, 12",i10,-17,KND,-,-,-,-,-
-,"(1), 1, 2","high, mid",-,-,-,-,-,-,-,"6 [7], 12",i15,-17,KND,-,-,-,-,-
-,"(1), (1), 2",mid,-,-,-,-,-,-,-,12 [14],i13,-17,KND,KND,-,-,-,-
-,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 8",i10,-1,+7,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,8 [9],i10,-1,+7,+7,-,-,-,-
Demon Slayer,"1, 2, 2","high, high, high",-,-,-,-,-,-,-,"7 [8], 8, 12",i10,-12,+4,-,-,-,-,-
-,"(1), 2, 2","high, high",-,-,-,-,-,-,-,"8 [9], 12",i10,-12,+4,-,-,-,-,-
-,"(1), (2), 2",high,-,-,-,-,-,-,-,12 [14],i17,-12,+4,+4,-,-,-,-
-,"1, 2, 3","high, high, mid",-,-,-,-,-,-,-,"7 [8], 8, 25",i10,+4,KND,-,-,-,-,-
-,"(1), 2, 3","high, mid",-,-,-,-,-,-,-,"8 [9], 25",i10,+4,KND,-,-,-,-,-
-,"(1), (2), 3",mid,-,-,-,-,-,-,-,25 [30],i29,+4,KND,KND,-,-,-,-
Shoot the Works,"1, 2, 3, 4","high, high, mid, mid",-,-,-,-,-,-,-,"7 [8], 8, 25, 21",i10,0,KND,-,-,-,-,-
-,"(1), 2, 3, 4","high, high, mid",-,-,-,-,-,-,-,"8 [9], 25, 21",i10,0,KND,-,-,-,-,-
-,"(1), (2), 3, 4","high, mid",-,-,-,-,-,-,-,"25 [30], 21",i29,0,KND,-,-,-,-,-
-,"(1), (2), (3), 4",mid,-,-,-,-,-,-,-,30 [36],i36,0,KND,KND,-,-,-,-
One Two Knee,"1, 2, 4","high, high, mid",-,-,-,-,-,-,-,"7 [8], 8, 10",i10,-10,+4,-,-,-,-,-
-,"(1), 2, 4","high, mid",-,-,-,-,-,-,-,"8 [9], 10",i10,-10,+4,-,-,-,-,-
-,"(1), (2), 4",mid,-,-,-,-,-,-,-,10 [12],i11,-10,+4,+4,-,-,-,-
-,2,"high, high, mid",-,-,-,-,-,-,-,10 [12],i10,0,+9,+9,-,-,-,-
Demon Backhand Spin,"2, 2","high, mid",-,-,-,-,-,-,-,"10 [12], 20",i12,-13,-2,-,-,-,-,-
-,"(2), 2",mid,-,-,-,-,-,-,-,20 [24],i17,-13,-2,-2,-,-,-,-
-,3,high,-,-,-,-,-,-,-,16 [19],i14,-14,-3,-3,-,-,-,-
-,4,high,-,-,-,-,-,-,-,21 [25],i16,-9,KND,STUN,-,-,-,-
Wheel of Pain,4~3 (or WS 4~3),mid,-,-,-,low,-,-,-,21 [25],i29,-7,KND,KND,-,-,-,-
-,1+4,"s. mid, high",-,-,-,-,-,-,-,"5 [6], 5",i13,-4,+3,-,-,-,-,-
-,1+4 (second hit only),high,-,-,-,-,-,-,-,5 [6],i28,-4,+3,+3,-,-,-,-
-,"1+4, 2","s. mid, high, high",-,-,-,-,-,-,-,"5 [6], 5, 10",i13,-7,+4,-,-,-,-,-
-,"(1+4) (second hit only), 2","high, high",-,-,-,-,-,-,-,"5 [6], 10",i28,-7,+4,-,-,-,-,-
-,"(1+4), 2",high,-,-,-,-,-,-,-,10 [12],i19,-7,+4,+4,-,-,-,-
Three Ring Circus,"1+4, 2, 4","s. mid, high, high, mid",-,-,-,-,-,-,-,"5 [6], 5, 10, 21",i13,-13,+2 (OC),-,-,-,-,-
-,"(1+4) (second hit only), 2, 4","high, high, mid",-,-,-,-,-,-,-,"5 [6], 10, 21",i28,-13,+2 (OC),-,-,-,-,-
-,"(1+4), 2, 4","high, mid",-,-,-,-,-,-,-,"10 [12], 21",i19,-13,+2 (OC),-,-,-,-,-
-,"(1+4), (2), 4",mid,-,-,-,-,-,-,-,21 [25],i24,-13,+2 (OC),+2 (OC),-,-,-,-
Three Ring Circus Combo,"1+4, 2, d+4","s. mid, high, high, low",-,-,-,-,-,-,-,"5 [6], 5, 10, 14",i13,-23,STUN,-,-,-,-,-
-,"(1+4) (second hit only), 2, d+4","high, high, low",-,-,-,-,-,-,-,"5 [6], 10, 14",i28,-23,STUN,-,-,-,-,-
-,"(1+4), 2, d+4","high, low",-,-,-,-,-,-,-,"10 [12], 14",i19,-23,STUN,-,-,-,-,-
-,"(1+4), (2), d+4",low,-,-,-,-,-,-,-,14 [16],i25,-23,STUN,STUN,-,-,-,-
Samsara,u+4,mid,-,-,-,low,-,-,-,22 [26],i20,-36,KND,KND,-,-,-,-
Decapitating Sword,u/f+2,high,-,-,-,-,-,-,-,25 [30],i20,-4,KND,KND,-,-,-,-
Reaper's Scythe,u/f+3,mid,-,-,-,low,-,-,-,21 [25],i28,+3 (OC),+7 (OC),STUN,-,-,-,-
Wraith Kick,u/f+4,mid,-,-,-,low,-,-,-,21 [25],i18,-8,KND,KND,-,-,-,-
High Pounce,u/f+2+4,mid,-,-,-,"mid, low",-,-,-,35 [42],i56,+16,KND,KND,-,-,-,-
-,f+2,mid,-,-,-,-,-,-,-,14 [16],i17,-8,+3,+3,-,-,-,-
893P Knee Kick,"f+2, 4","mid, mid",-,-,-,-,-,-,-,"14 [16], 17",i17,-10,+1,-,-,-,-,-
-,"(f+2), 4",mid,-,-,-,-,-,-,-,17 [20],i15,-10,+1,STUN,-,-,-,-
Spinning High Kick,f+3,high,-,-,-,-,-,-,-,30 [36],i7,-4,KND,KND,-,-,-,-
-,f+4,mid,-,-,-,-,-,-,-,10 [12],i15,-12,-1,-1,-,-,-,-
Twisted Samara,"f+4, 3","mid, mid",-,-,-,-,-,-,-,"10 [12], 15",i15,-33,KND,-,-,-,-,-
-,"(f+4), 3",mid,-,-,-,low,-,-,-,15 [18],i26,-33,KND,KND,-,-,-,-
Tsujikaze,f+1+2,"mid, mid",-,-,-,-,-,-,WALL BOUNCE,"12 [14], 25",i17,-12,KND,-,-,-,-,-
-,f+1+2 (second hit only),mid,-,-,-,-,-,-,-,25 [30],i45,-12,KND,KND,-,-,-,-
Hisou,f+3+4,"mid, mid",-,-,-,low,-,-,-,"8 [9], 20",i16,-16,KND,-,-,-,-,-
-,f+3+4 (second hit only),mid,-,-,-,-,-,-,-,20 [24],i31,-16,KND,KND,-,-,-,-
Demon's Paw,"f, F+2",mid,-,-,-,-,-,-,-,24 [28],i15,-8,KND,KND,-,-,-,-
-,"f, F+3",mid,-,-,-,-,-,-,-,16 [19],i17,-12,-6,-6,-,-,-,-
-,"f, F+3, 1","mid, high",-,-,-,-,-,-,-,"16 [19], 11",i17,+1,+7,-,-,-,-,-
-,"(f, F+3), 1",high,-,-,-,-,-,-,-,11 [13],i29,+1,+7,+7,-,-,-,-
-,"f, F+3, 1, f, f","mid, high",-,-,-,-,-,-,-,"16 [19], 11",i17,-2,+4,-,-,-,-,-
Emperor's Sword,"f, F+3, 1, 2","mid, high, high",-,-,-,-,-,-,-,"16 [19], 11, 20",i17,-4,KND,-,-,-,-,-
-,"(f, F+3), 1, 2","high, high",-,-,-,-,-,-,-,"11 [13], 20",i29,-4,KND,-,-,-,-,-
-,"(f, F+3), (1), 2",high,-,-,-,-,-,-,-,20 [24],i20,-4,KND,KND,-,-,-,-
Demon Cyclone,"f, F+3, 1, 3","mid, high, low",-,-,-,-,-,-,-,"16 [19], 11, 13",i17,-13,+3 (OC),-,-,-,-,-
-,"(f, F+3), 1, 3","high, low",-,-,-,-,-,-,-,"11 [13], 13",i29,-13,+3 (OC),-,-,-,-,-
-,"(f, F+3), (1), 3",low,-,-,-,-,-,-,-,13 [15],i26,-13,+3 (OC),+3 (OC),-,-,-,-
Hell Spiral,"f, F+3, 1, 4","mid, high, mid",-,-,-,-,-,-,-,"16 [19], 11, 20",i17,-9,KND,-,-,-,-,-
-,"(f, F+3), 1, 4","high, mid",-,-,-,-,-,-,-,"11 [13], 20",i29,-9,KND,-,-,-,-,-
-,"(f, F+3), (1), 4",mid,-,-,-,-,-,-,-,20 [24],i23,-9,KND,STUN,-,-,-,-
Demon Cyclone Spear,"f, F+3, 1, D/B+1+2","mid, high, mid",-,-,-,-,-,-,-,"16 [19], 11, 15",i17,-6,+7,-,-,-,-,-
-,"(f, F+3), 1, D/B+1+2","high, mid",-,-,-,-,-,-,-,"11 [13], 15",i29,-6,+7,-,-,-,-,-
