MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON CROUCHING,ON WHIFF,ACTIVE,NOTES
*,"Back towards wall... b, b, u/b",mid,2,0.5,-,low,-,-,-,21 (25),i23,0,KND,KND,FLOAT,-,-29,3,-
*,1,high,1.5,0.25,-,-,-,-,-,7 (8),i10,+1,+8,+8,FLOAT,-,-16,1,-
*,"1, 1","high, high",1.5,0.25,-,-,NO,NC,-,"7 (8), 8",i10,-4,+7,+7,FLOAT,-,-22,"1, 1",-
*,"(1), 1",high,0.5,0.25,-,-,,,-,8 (9),i20,-4,+7,+7,FLOAT,-,-22,1,-
Eye Gouge to Hilt,"1, 1, 3","high, high, mid",1.5,1,-,-,NO,NC,WALL BREAK / SPLAT,"7 (8), 8, 22",i10,-9,KND,KND,FLOAT,-,-28,"1, 1, 2",-
*,"(1), 1, 3","high, mid",0.5,1,-,-,NO,NC,WALL BREAK / SPLAT,"8 (9), 22",i20,-9,KND,KND,FLOAT,-,-28,"1, 2",-
*,"(1), (1), 3",mid,1.5,1,-,-,-,-,WALL BREAK / SPLAT,22 (26),i25,-9,KND,KND,FLOAT,-,-28,2,-
*,"1, 2","high, mid",1.5,1,"NONE, SSR",-,YES,NC,-,"7 (8), 8",i10,-9,+2,+2,FLOAT,-,-27,"1, 1",-
*,"(1), 2",mid,0.5,1,SSR,-,-,-,-,8 (9),i18,-9,+2,+2,FLOAT,-,-27,1,-
Salvo,"1, 2, 1","high, mid, mid",1.5,0,"NONE, SSR, SWR",-,YES,NCc,WALL BREAK / SPLAT,"7 (8), 8, 20",i10,-14,KND,KND,BACK FLIP,-,-33,"1, 1, 2",-
*,"(1), 2, 1","mid, mid",0.5,0,"NONE, SSR, SWR",-,YES,NCc,WALL BREAK / SPLAT,"8 (9), 20",i18,-14,KND,KND,BACK FLIP,-,-33,"1, 2",-
*,"(1), (2), 1",mid,0,0,"NONE, SSR, SWR",-,-,-,WALL BREAK / SPLAT,20 (24),i19,-14,KND,STUN,BACK FLIP,-,-33,2,-
*,"1, 3","high, high",1.5,1.5,-,-,YES,NC,-,"7 (8), 14",i10,-7,+1,+1,FLOAT,-,-24,"1, 2",-
*,"(1), 3",high,1.5,1.5,-,-,-,-,-,14 (16),i16,-7,+1,+9,FLOAT,-,-24,2,-
Hammer and Sickle,"1, 3, 2","high, high, mid",1.5,1,"NONE, NONE, SSR",-,NO,NCc,WALL BREAK / SPLAT,"7 (8), 14, 20",i10,-12,KND,KND,FLOOR BREAK,-,-33,"1, 2, 2",-
*,"(1), 3, 2","high, mid",1.5,1.5,"NONE, SSR",-,NO,NCc,WALL BREAK / SPLAT,"14 (16), 20",i16,-12,KND,KND,FLOOR BREAK,-,-33,"2, 2",-
*,"(1), (3), 2",mid,1.5,1.5,SSR,-,-,-,WALL BREAK / SPLAT,20 (24),i22,-12,KND,KND,FLOOR BREAK,-,-33,2,-
*,"1, 3, 2~1+2","high, high, high throw",1.5,-,-,-,NO,NO,-,"7, 14, 9, 26",i10,+5,KND,KND,FLOAT,-,-17,"1, 2, 4",-
*,"(1), (3), 2~1+2",high throw,1.5,-,-,-,-,-,-,35,i29,+5,KND,KND,FLOAT,-,-17,4,-
*,"1, 3, 2~1+2, B","high, high",1.5,0,-,-,YES,NC,-,"7 (8), 14",i10,-32,-24,-24,FLOAT,-,-49,"1, 2",-
*,2,high,1.5,0.5,-,-,-,-,-,10 (12),i10,+0,+9,+9,FLOAT,-,-18,1,-
*,"2, 1","high, high",1.5,0.5,-,-,YES,NC,-,"10 (12), 8",i10,-2,+6,+6,FLOAT,-,-20,"1, 1",-
*,"(2), 1",high,1.5,0.5,-,-,,,-,8 (9),i12,-2,+6,+6,FLOAT,-,-20,1,-
One Two Scud Kick,"2, 1, 3","high, high, high",1.5,2.5,-,-,NO,NO,WALL BREAK / SPLAT,"10 (12), 8, 24",i10,-9,KND,KND,FLOAT,-,-32,"1, 1, 2",-
*,"(2), 1, 3","high, high",1.5,2.5,-,-,NO,NO,WALL BREAK / SPLAT,"8 (9), 24",i12,-9,KND,KND,FLOAT,-,-32,"1, 2",-
*,"(2), (1), 3",high,2,3,-,-,-,-,WALL BREAK / SPLAT,24 (28),i18,-9,KND,KND,FLOAT,-,-32,2,-
One Two Mine Kick,"2, 1, 4","high, high, low",1.5,1,"NONE, NONE, SSL / SSR",-,NO,NO,-,"10 (12), 8, 14",i10,-12,+3,+3,FLOAT,-,-30,"1, 1, 1",-
*,"(2), 1, 4","high, low",1,1,"NONE, SSL / SSR",-,NO,NO,-,"8 (9), 14 (16)",i12,-12,+3,+3,FLOAT,-,-30,"1, 1",-
*,"(2), (1), 4",low,1.5,1.5,SSL / SSR,-,-,-,-,14 (16),i23,-12,+3,+3,FLOAT,-,-30,1,-
*,3,mid,2,0.5,SSL,-,-,-,-,10 (12),i15,-9,+2,+2,FLOAT,-,-26,2,-
*,"3, 1","mid, high",2,1,"SSL, SSR",-,NO,NC,-,"10 (12), 8",i15,-2,+7,+7,FLOAT,-,-21,"2, 2",-
*,"(3), 1",high,1,1,SSR,-,-,-,-,8 (9),i21,-2,+7,+7,FLOAT,-,-21,2,-
Disconnector,"3, 1, 2","mid, high, mid",2,0.5,"SSL, SSR, SSL",-,NO,NO,WALL BREAK / SPLAT,"10 (12), 8, 24",i15,-12,KND,KND,TAIL SPIN,-,-35,"2, 2, 3",-
*,"(3), 1, 2","high, mid",1,0.5,"SSR, SSL",-,NO,NO,WALL BREAK / SPLAT,"8 (9), 24",i21,-12,KND,KND,TAIL SPIN,-,-35,"2, 3",-
*,"(3), (1), 2",mid,2,0.5,SSL,-,-,-,WALL BREAK / SPLAT,24 (28),i19,-12,KND,KND,TAIL SPIN,-,-35,3,-
*,4,high,1.5,2,-,-,-,-,-,15 (18),i12,-1,-9,-9,FLOAT,-,-27,1,-
Karnov Hook,"4, 1","high, high",1.5,0,-,-,YES,NC,-,"15 (18), 12",i12,-6,+8,+8,TAIL SPIN,-,-25,"1, 2",-
*,"(4), 1",high,1.5,0,-,-,-,-,-,12 (14),i14,-6,+8,+8,TAIL SPIN,-,-25,2,-
Karnov Kick,"4, 3","high, mid",1.5,0.25,"NONE, SSL / SSR",-,NO,NO,-,"15 (18), 20",i12,-12,KND,KND,FLOOR BREAK,-,-32,"1, 2",-
*,"(4), 3",mid,2,0.25,SSL / SSR,-,-,-,-,20 (24),i23,-12,KND,KND,FLOOR BREAK,-,-32,2,-
