MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,AIR,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,-,21 [25],i35,+1,+35,+35,-,-,-
-,1,high,-,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-
One Two Elbows,"1, 2","high, high",-,-,-,-,-,-,-,-,"7 [8], 12",i10,-4,+5,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,-,12 [14],i10,-4,+5,+5,-,-,-
-,2,high,-,-,-,-,-,-,-,-,10 [12],i10,0,+8,+8,-,-,-
-,3,high,-,-,-,-,-,-,-,-,17 [20],i18,-9,+7,STUN,-,-,-
Gancho Chibata,"3, 4","high, mid",-,-,-,-,-,-,-,-,"17 [20], 23",i18,-4,KND,-,-,-,-
-,"(3), 4",mid,-,-,-,-,-,-,-,-,23 [7],i53,-4,KND,KND,-,-,-
Slippery Kick to Side Flop,"3~4, 4","low, low, low",-,-,-,high,-,-,-,-,"10 [12], 10, 10",i29,-24,KND,-,-,-,-
-,"(3~4), 4",low,-,-,-,high,-,-,-,-,15 [18],i24,-6,+10,+10,-,-,-
-,"3~4, 4, 4","low, low, low, low",-,-,-,high,-,-,-,-,"10 [12], 10, 10, 7",i29,-24,S!,-,-,-,-
-,"(3~4), 4, 4","low, low",-,-,-,high,-,-,-,-,"15 [18], 15",i24,-14,+10 (OC),-,-,-,-
-,"(3~4), (4), 4",low,-,-,-,high,-,-,-,-,15 [18],i24,-14,+10 (OC),+10 (OC),-,-,-
Slippery Kick to Front Stinger,"3~4, 3+4","low, low, mid",-,-,-,low*,-,-,-,-,"10 [12], 10, 12",i29,-24,KND,-,-,-,-
-,"(3~4), 3+4",mid,-,-,-,low*,-,-,-,-,18 [21],i22,-16,KND,KND,-,-,-
-,4,mid,-,-,-,-,-,-,-,-,12 [14],i12,-9,0,0,-,-,-
Satellite Moon,4~3,mid,-,-,-,-,-,-,-,-,16 [19],i19,-27,-16,-16,-,-,-
Satellite Moon Roundhouse,"4~3, 4","mid, mid",-,-,-,low*,-,-,-,-,"16 [19], 28",i19,-2,KND,-,-,-,-
-,"(4~3), 4",mid,-,-,-,low*,-,-,-,-,28 [33],i16,-2,KND,KND,-,-,-
Handslaps,1+2,"high, high",-,-,-,-,-,-,-,-,"12 [14], 15",i12,0,+6,-,-,-,-
-,1+2 (second hit only),high,-,-,-,-,-,-,-,-,15 [18],i27,0,+6,+6,-,-,-
Handslaps Mirage,1+2~3,"high, mid",-,-,-,-,-,-,-,-,"12 [14], 17",i12,-23,LAUNCH,-,-,-,-
-,(1+2)~3,mid,-,-,-,-,-,-,-,-,17 [20],i16,-23,LAUNCH,LAUNCH,-,-,-
Back Handspring,3+4,mid,-,-,-,"low*, high*",-,-,-,-,20 [24],i36,-9,KND,KND,-,-,-
Acrobacia,u+3,mid,-,-,-,low,-,-,-,-,30 [36],i38,-24,KND,KND,-,-,-
Firekick,u+3+4,mid,-,-,-,low,-,-,-,-,15 [18],i20,-1,KND,KND,-,-,-
Jumping Jacks,u/f+3,mid,-,-,-,low,-,-,-,-,25 [30],i26,-10,-8 (OC),-8 (OC),-,-,-
Jumping Jacks Mirage,"u/f+3, 3","mid, mid",-,-,-,high*,-,-,-,-,"25 [30], 17",i26,-23,LAUNCH,-,-,-,-
-,"(u/f+3), 3",mid,-,-,-,high*,-,-,-,-,17 [20],i21,-23,LAUNCH,LAUNCH,-,-,-
Roundhouse,u/f+4,mid,-,-,-,low,-,-,-,-,25 [30],i22,-8,KND,KND,-,-,-
Vasuuna,u/f+1+2,high,-,-,-,low,-,-,-,-,20 [24],i16,-3,KND,KND,-,-,-
Meia-Lua Pulando,u/f+3+4,"mid, mid",-,-,-,low,-,-,-,-,"10 [12], 20",i17,-10,KND,KND,-,-,-
-,f+2,high,-,-,-,-,-,-,-,-,11 [13],i12,-9,+2,+2,-,-,-
-,"f+2, 1","high, high",-,-,-,-,-,-,-,-,"11 [13], 11",i12,-9,+2,-,-,-,-
-,"(f+2), 1",high,-,-,-,-,-,-,-,-,11 [13],i17,-9,+2,+2,-,-,-
Shin Cutter Combo,"f+2, 1, 4","high, high, mid",-,-,-,high*,-,-,-,-,"11 [13], 11, 21",i12,-14,KND,-,-,-,-
-,"(f+2), 1, 4","high, mid",-,-,-,high*,-,-,-,-,"11 [13], 21",i17,-14,KND,-,-,-,-
-,"(f+2), (1), 4",mid,-,-,-,high*,-,-,-,-,21 [25],i20,-14,KND,S!,-,-,-
Samba,f+4,mid,-,-,-,-,-,-,-,-,10 [12],i23,-23,-12,-12,-,-,-
-,"f+4, 3","mid, mid",-,-,-,-,-,-,-,-,"10 [12], 17",i23,-11,0 (OC),-,-,-,-
-,"(f+4), 3",mid,-,-,-,-,-,-,-,-,17 [20],i23,-11,0 (OC),0 (OC),-,-,-
Au de Sol,"f+4, 3, 3+4","mid, mid, mid, mid",-,-,-,-,-,-,-,-,"10 [12], 17, 7, 21",i23,-14,KND,-,-,-,-
-,"(f+4), 3, 3+4","mid, mid, mid",-,-,-,-,-,-,-,-,"17 [20], 7, 21",i23,-14,KND,-,-,-,-
-,"(f+4), (3), 3+4","mid, mid",-,-,-,-,-,-,-,-,"7 [8], 21",i24,-14,KND,KND,-,-,-
Reversao,f+3+4,"mid, mid",-,-,-,-,-,-,-,-,"14 [16], 11",i17,-4,KND,-,-,-,-
-,f+3+4 (second hit only),mid,-,-,-,-,-,-,-,-,11 [13],i27,-4,STUN,STUN,-,-,-
-,"f, F+2",mid,-,-,-,-,-,-,-,-,19 [22],i18,-4,+6,+6,-,-,-
Batuque Direito,"f, F+2, 3","mid, low",-,-,-,-,-,-,-,-,"19 [22], 18",I18,-15,+4,-,-,-,-
-,"(f, F+2), 3",low,-,-,-,-,-,-,-,-,18 [21],i36,-15,+4,KND,-,-,-
Lunging Brush Fire,"f, F+3",mid,-,-,-,low*,-,-,-,-,30 [36],i24,-14,KND,KND,-,-,-
Mao Esquerda,d/f+1,mid,-,-,-,-,-,-,-,-,10 [12],i13,-2,+6,+6,-,-,-
Combinacao Mao,"d/f+1, 1","mid, high",-,-,-,-,-,-,-,-,"10 [12], 8",i13,-4,+8,-,-,-,-
-,"(d/f+1), 1",high,-,-,-,-,-,-,-,-,8 [9],i10,-4,+8,+8,-,-,-
Elbow Uppercut,d/f+2,mid,-,-,-,-,-,-,-,-,15 [18],i15,-9,KND,LAUNCH,-,-,-
Kneecap Crusher,d/f+4,low,-,-,-,-,-,-,-,-,17 [20],i18,-14,-1,KND,-,-,-
Mirage,d/f+3+4,mid,-,-,-,-,-,-,-,-,17 [20],i15,-23,LAUNCH,LAUNCH,-,-,-
-,d+2,mid,-,-,-,-,-,-,-,-,11 [13],i17,-9,+2,+2,-,-,-
Relogio,d+3~4,low,-,-,-,high,-,-,-,-,15 [18],i22,-13,+3 (OC),+3 (OC),-,-,-
-,d+4,low,-,-,-,high,-,-,-,-,11 [13],i15,-16,-5,-5,-,-,-
