MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,CANCELABLE,DAMAGE,METER GAIN,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
Needle Jab,1,high,1.5,0.5,-,-,-,-,-,EX / SPECIAL / SUPER,7 [8],-,i10,+1,+8,+8,FLOAT,-13,1,-
Double Needle,"1, 1","high, high",1.5,0.75,-,-,NO,NCc,-,EX / SPECIAL / SUPER,"7 [8], 7",-,i10,-3,+4,-,FLOAT,-17,"1, 1",-
-,"(1), 1",high,1.5,0.75,-,-,-,-,-,-,7 [8],-,i15,-3,+4,+4,FLOAT,-17,1,-
Left Right Slap,"1, 2","high, high",1.5,1,-,-,YES,NC,-,-,"7 [8], 10",-,i10,-1,+5,-,FLOAT,-19,"1, 1",-
-,"(1), 2",high,1.5,1,-,-,-,-,-,-,10 [12],-,i12,-1,+5,+5,FLOAT,-19,1,-
Left Right Moonrise,"1, 2, 3","high, high, mid",1.5,1.5,-,-,NO,NO,WALL SPLAT,-,"7 [8], 10, 20",-,i10,-22,LAUNCH,-,BACK FLIP,-44,"1, 1, 2",-
-,"(1), 2, 3","high, mid",1.5,1.5,-,-,NO,NCc,WALL SPLAT,-,"10 [12], 20",-,i12,-22,LAUNCH,-,BACK FLIP,-44,"1, 2",-
-,"(1), (2), 3",mid,2.5,1.5,SSR,low,-,-,WALL SPLAT,-,20 [24],-,i19,-22,LAUNCH,LAUNCH,BACK FLIP,-44,2,-
Left Right Arc Kick,"1, 2, 4","high, high, high",1.5,0.5,-,-,NO,NO,WALL BREAK / SPLAT,-,"7 [8], 10, 20",-,i10,-4,KND,-,S!,-29,"1, 1, 2",-
-,"(1), 2, 4","high, high",1.5,0.5,-,-,NO,NCc,WALL BREAK / SPLAT,-,"10 [12], 20",-,i12,-4,KND,-,S!,-29,"1, 2",-
-,"(1), (2), 4",high,1.5,0.5,SWL,-,-,-,WALL BREAK / SPLAT,-,20 [24],-,i20,-4,KND,KND,S!,-29,2,-
-,2,high,2,0.5,SSL,-,-,-,-,-,9 [10],-,i14,-3,+2,+2,FLOAT,-21,1,-
Binary Star,"2, 2","high, mid",2,0.5,-,-,YES,NC,-,EX / SPECIAL / SUPER,"9 [10], 15",-,i14,-,+2,-,FLOAT,-27,"1, 1",-
-,"(2), 2",mid,1.25,0.5,SSR,-,-,-,-,EX / SPECIAL / SUPER,15 [18],-,i15,-,+2,+2,FLOAT,-27,1,-
-,3,high,1.5,0,-,-,-,-,-,-,12 [14],-,i13,-8,-8,-8,BACK FLIP,-26,1,-
Arc Kick,4,high,1.75,1,HOMING,-,-,-,WALL BREAK / SPLAT,-,21 [25],-,i13,-5,KND,S!,S!,-27,2,-
Meteor Burst,1+2,mid,2,0,-,-,-,-,WALL BREAK / SPLAT,-,26 [31],-,i13,-17,KND,KND,FLOAT,-35,2,-
Shadow Ring,3+4,low,2.75,0.25,HOMING,high,-,-,-,-,20 [24],-,i33,-27,STUN,STUN,FLOAT,-29,2,-
Fierce Sting,f+3,mid,1.5,0.25,SSR,-,-,-,-,-,17 [20],-,i18,-9,0,STUN,FLOAT,-28,2,-
-,"f, F+2:B",mid,2,1.5,-,high,-,-,WALL BREAK / SPLAT,-,25 [30],-,i14,-9,KND,KND,FLOAT,-30,1,-
-,"f, F+4",mid,2,0,SWL / SSR,low,-,-,-,-,10 [12],-,i15,-16,-5,-5,FLOAT,-33,2,-
Splendid Edge,"f, F+4, 2","mid, mid",2,0,-,-,NO,NC,-,EX / SPECIAL,"10 [12], 10",-,i15,-14,-6,-,FLOOR BREAK,-34,"2, 2",-
-,"(f, F+4), 2",mid,2.5,0,-,low,-,-,-,EX / SPECIAL,10 [12],-,i23,-14,-6,-6,FLOOR BREAK,-34,2,-
Assault Barrage,"f, F+1+2","mid, high, low",2,0.5,SSL / SSR,-,"mid, high",NO,-,-,"5 [6], 6, 20",-,i18,-14,KND,-,FLOAT,-32,"2, 2, 1",-
-,"f, F+1+2 (second and third hits only)","high, low",0,0.5,-,-,NO,NCc,-,-,"6 [7], 20",-,i31,-14,KND,-,FLOAT,-32,"2, 1",-
-,"f, F+1+2 (third hit only)",low,0,0.5,-,high,-,-,-,-,20 [24],-,i47,-14,KND,KND,FLOAT,-32,1,-
Noble Execution,"f, f, f+1 (or WR 1)",high,2.5,2.5,SSL / SSR,-,-,-,WALL BREAK / SPLAT,-,30 [36],-,i18,+2,KND,KND,FLOAT,-29,3,-
Noble Slash,"f, f, f+3 (or WR 3)",mid,3.5,1,-,-,-,-,WALL BREAK / SPLAT,-,27 [32],-,i24,0,KND,KND,FLOAT,-23,5,-
-,d/f+1,mid,1.5,1,SSR,-,-,-,-,-,12 [14],-,i13,-3,+3,+3,FLOAT,-21,1,-
Moonlight,"d/f+1, 2","mid, mid",1.5,1,-,-,NO,NC,-,-,"12 [14], 17",-,i13,-13,-2,-,FLOAT,-31,"1, 1",-
-,"(d/f+1), 2",mid,1.5,0.5,SSR,-,-,-,-,-,17 [20],-,i20,-13,-2,-2,FLOAT,-31,1,-
Daylight,"d/f+1, 4","mid, high",1.5,1.5,-,-,NO,NC,-,-,"12 [14], 14",-,i13,-9,+2,-,FLOAT,-27,"1, 1",-
-,"(d/f+1), 4",high,1.5,1.5,-,-,-,-,-,-,14 [16],-,i18,-9,+2,+2,FLOAT,-27,1,-
-,d/f+2,mid,2,0.25,SSR,-,-,-,-,-,10 [12],-,i16,-9,+2,+2,FLOAT,-26,2,-
Rending Claw,"d/f+2, 3","mid, mid",2,0.5,-,-,NO,NC,WALL SPLAT,-,"10 [12], 10",-,i16,-18,LAUNCH,-,TURN OVER,-39,"2, 2",-
-,"(d/f+2), 3",mid,2,0.5,SSR,low,-,-,WALL SPLAT,-,10 [12],-,-,-18,LAUNCH,LAUNCH,TURN OVER,-39,2,-
Astral Shot,d/f+3,mid,2.75,2,HOMING,-,-,-,WALL BREAK / SPLAT,-,24 [28],-,i25,-8,KND,KND,SPIRAL,-38,2,-
-,b+1,mid,1.5,0,-,-,-,-,-,-,13 [15],-,i14,-8,+3,+3,FLOAT,-29,1,-
-,"b+1, 2","mid, mid",1.5,1,-,-,YES,NCc,WALL SPLAT,-,"13 [15], 13",-,i14,-13,LAUNCH,-,FLOAT,-33,"1, 3",-
-,"(b+1), 2",mid,2,1,SSL,-,-,-,WALL SPLAT,-,13 [15],-,i15,-13,LAUNCH,LAUNCH,FLOAT,-33,3,-
Rising Chaos,"b+1, 2, 4","mid, mid, mid",1.5,1,-,-,NO,NC,-,-,"13 [15], 13, 16",-,i14,-13,KND,-,FLOOR BREAK,-35,"1, 3, 2",-
-,"(b+1), 2, 4","mid, mid",2,1,-,low,NO,NC,-,-,"13 [15], 16",-,i15,-13,KND,-,FLOOR BREAK,-35,"3, 2",-
-,"(b+1), (2), 4",mid,2.5,1,-,low,-,-,-,-,13 [15],-,i25,-13,KND,KND,FLOOR BREAK,-35,2,-
-,b+2,high,1.5,0,-,-,-,-,-,-,23 [27],-,i11,-4,+2,+2,FLOAT,-22,1,-
Leading Knee,"b+2, 3","high, mid",1.5,0,-,-,NO,NC,-,-,10 [12],-,i11,-9,+3,-,FLOAT,-25,"1, 2",-
-,"(b+2), 3",mid,1.5,0,SSL / SWR,-,-,-,-,-,"10 [12], 15",-,i18,-9,+3,STUN,FLOAT,-25,2,-
-,b+3,high,2,0.25,SSR,-,-,-,-,-,12 [14],-,i16,-9,+2,+2,FLOAT,-47,1,-
Dust Tail,"b+3, 1","high, high",2,0.5,-,-,NO,NC,WALL BREAK / SPLAT,-,"12 [14], 20",-,i16,-4,STUN,-,S!,-26,"1, 2",-
-,"(b+3), 1",high,2.5,0.5,SSL / SWR,-,-,-,WALL BREAK / SPLAT,-,20 [24],-,i20,-4,STUN,STUN,S!,-26,2,-
Ion Tail,"b+3, 4","high, mid",2,1,-,-,NO,NC,WALL BREAK / SPLAT,-,"12 [14], 20",-,i16,-14,KND,-,BACK FLIP,-35,"1, 2",-
-,"(b+3), 4",mid,2.5,1,-,-,-,-,WALL BREAK / SPLAT,-,20 [24],-,i23,-14,KND,KND,BACK FLIP,-35,2,-
Flare Knee,b+4,s. mid,1.75,0.25,-,-,-,-,-,EX / SPECIAL / SUPER,12 [14],-,i15,-14,-2,-2,FLOAT,-29,1,-
Burst Claw,b+1+2,"high, mid",1.5,0,-,high,YES,NC,-,-,"5 [6], 20",-,i27,-13,+4 (OC),-,FLOOR BREAK,-35,"4, 2",-
-,b+1+2 (second hit only),mid,2.75,0,SSL,-,-,-,-,-,20 [24],-,i37,-13,+4 (OC),+4 (OC),FLOOR BREAK,-35,2,-
Sitting Jab,FC 1,s. mid,1,0.25,-,high,-,-,-,EX / SPECIAL / SUPER,5 [6],-,i10,-5,+6,+6,FLOAT,-20,1,-
Sitting Claw,FC 2,s. mid,1,0.25,-,high,-,-,-,-,8 [9],-,i12,-7,+4,+4,FLOAT,-25,1,-
Sweeping Scarlet,FC 3 (close),low,1,0,SWR,high,-,-,-,EX / SPECIAL / SUPER,10 [12],-,i15,-16,-5,-5,FLOAT,-32,1,-
-,FC 3 (far),low,1.5,1,SWR,high,-,-,-,EX / SPECIAL / SUPER,7 [8],-,i15,-16,-5,-5,FLOAT,-32,1,-
Horizon Ring,FC 4,low,1.75,0.5,SSL / SWR,high,-,-,-,-,17 [20],-,i20,-27,+5,STUN,FLOAT,-29,2,-
-,"WR f, f, F (Full Screen)",mid,0,0,SWL / SWR,-,-,-,WALL BREAK / SPLAT,-,30 [36],-,i8,+13,KND,KND,FLOAT,-35,13,-
-,"WR f, f, F (Full Screen) (On Grounded Opponent)",low,0,0,-,-,-,-,-,-,8 [9],-,i12,-,KND,KND,-,-13,1,-
-,WR 4 ,low,4,0,SSL / SSR,"mid, high",-,-,-,-,17 [20],-,i14,-40,KND,KND,FLOAT,-39,17,-
-,WR 1+2,mid,4,0,-,high,-,-,WALL BREAK / SPLAT,-,24 [28],-,i18,0,KND,KND,FLOAT,-40,19,-
Stabbing Scarlet,WS 1,mid,1.5,0.5,-,-,-,-,-,EX / SPECIAL / SUPER,10 [12],-,i14,-7,+4,+4,FLOAT,-22,1,-
Rising Shadow,WS 2,mid,2,0.5,SSL / SSR,low,-,-,WALL SPLAT,-,18 [21],-,i15,-9,KND,LAUNCH,TURN OVER,-34,2,-
Rose Thorn,WS 3,mid,2,1.5,SWR,low,-,-,WALL SPLAT,-,20 [24],-,i15,-22,LAUNCH,LAUNCH,BACK FLIP,-44,2,-
-,WS 4,mid,1.5,1.5,-,-,-,-,-,-,15 [18],-,i11,-5,+6,+6,FLOAT,-22,2,-
Vampire Needle,(During Jump) 1,mid,0.25,0,-,low,-,-,-,-,10 [12],-,i7,-25 ~ +1,-15 ~ +11,-15 ~ +11,FLOAT,-,-,-
Vampire Claw,(During Jump) 2,mid,0.25,0.25,-,low,-,-,-,-,15 [18],-,i9,-17 ~ +7,-7 ~ +17,-7 ~ +17,FLOAT,-,-,-
Swan Shot,(During Jump) 3,mid,1,0,-,low,-,-,-,-,10 [12],-,i7,-25 ~ +1,-15 ~ +11,-15 ~ +11,FLOAT,-,-,-
Poison Orbit,(During Jump) 4,mid,0.75,0.25,-,low,-,-,-,-,15 [18],-,i9,-18 ~ +7,-8 ~ +17,-8 ~ +17,TAIL SPIN,-,-,-
Endless Sleep,While down (facing up) 1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FLOAT,-,-,-
10 Hit Combo,"3, 1, 4, 1, 2, 2, 4, 2, 1, 2",-,-,-,-,-,-,-,-,-,93,-,i13,-,-,-,FLOAT,-,-,-
