MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,21 [25],i26,+4,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
Jab Spear Fist,"1, 1","high, mid",-,-,-,-,-,-,-,"7 [8], 21",i10,-11,+2,-,-,-,-,-
-,"(1), 1",mid,-,-,-,-,-,-,-,21 [25],i25,-11,+2,STUN,-,-,-,-
-,"1, 1, 2","high, mid, mid",-,-,-,-,-,-,-,"7 [8], 21, 5",i10,-14,-3,-,-,-,-,-
-,"(1), 1, 2","mid, mid",-,-,-,-,-,-,-,"21 [25], 5",i25,-14,-3,-,-,-,-,-
-,"(1), (1), 2",mid,-,-,-,-,-,-,-,5 [6],i16,-14,-3,-3,-,-,-,-
-,"1, 1, 2, 1","high, mid, mid, mid",-,-,-,-,-,-,-,"7 [8], 21, 5, 5",i10,-14,0,-,-,-,-,-
-,"(1), 1, 2, 1","mid, mid, mid",-,-,-,-,-,-,-,"21 [25], 5, 5",i25,-14,0,-,-,-,-,-
-,"(1), (1), 2, 1","mid, mid",-,-,-,-,-,-,-,"5 [6], 5",i16,-14,0,-,-,-,-,-
-,"(1), (1), (2), 1",mid,-,-,-,-,-,-,-,5 [6],i18,-14,0,0,-,-,-,-
-,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 9",i10,-1,+7,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,9 [10],i10,-1,+7,+7,-,-,-,-
Firestorm,"1, 2, 2","high, high, high",-,-,-,-,-,-,-,"7 [8], 9, 10",i10,-13,+1,-,-,-,-,-
-,"(1), 2, 2","high, high",-,-,-,-,-,-,-,"9 [10], 10",i10,-13,+1,-,-,-,-,-
-,"(1), (2), 2",high,-,-,-,-,-,-,-,10 [12],i17,-13,+1,+1,-,-,-,-
Jab Roundhouse Combo,"1, 3","high, high",-,-,-,-,-,-,-,"7 [8], 17",i10,-5,+6,-,-,-,-,-
-,"(1), 3",high,-,-,-,-,-,-,-,17 [20],i16,-5,+6,KND,-,-,-,-
-,2,high,-,-,-,-,-,-,-,8 [9],i10,-3,+5,+5,-,-,-,-
-,"2, 4","high, mid",-,-,-,-,-,-,-,"8 [9], 10",i10,-12,-1,-,-,-,-,-
-,"(2), 4",mid,-,-,-,-,-,-,-,10 [12],i17,-12,-1,-1,-,-,-,-
San Lian Heng,"2, 4, 1","high, mid, mid",-,-,-,-,-,-,-,"8 [9], 10, 20",i10,-13,KND,-,-,-,-,-
-,"(2), 4, 1","mid, mid",-,-,-,-,-,-,-,"10 [12], 20",i17,-13,KND,-,-,-,-,-
-,"(2), (4), 1",mid,-,-,-,-,-,-,-,20 [24],i24,-13,KND,KND,-,-,-,-
-,3,high,-,-,-,-,-,-,-,15 [18],i16,-11,0,0,-,-,-,-
-,"3, 3","high, high",-,-,-,-,-,-,-,"15 [18], 18",i16,-10,+1,-,-,-,-,-
-,"(3), 3",high,-,-,-,-,-,-,-,18 [21],i17,-10,+1,+1,-,-,-,-
-,2~1,mid,-,-,-,-,-,-,-,10 [12],i24,-3 (OC),+5 (OC),+5 (OC),-,-,-,-
Mad Windmill,"2~1, 1","mid, mid",-,-,-,high*,-,-,-,"10 [12], 20",i24,-12,KND,-,-,-,-,-
-,"(2~1), 1",mid,-,-,-,high*,-,-,-,20 [24],i24,-12,KND,KND,-,-,-,-
-,3~4,mid,-,-,-,low,-,-,-,27 [32],i34,-26,KND,-,-,-,-,-
Leaping Whirlwind Combo,"3~4, 3","mid, low",-,-,-,,-,-,-,"27 [32], 14",i18,-26,KND,KND,-,-,-,-
Headspring,4~3,mid,-,-,-,"low, high",-,-,-,25 [30],i27,-4,+4 (OC),KND,-,-,-,-
Iron Shield,1+2,mid,-,-,-,-,-,-,-,24 [28],i21,-13,STUN,STUN,-,-,-,-
Xuan Jiao Xiao Yan Shou,1+4,"low, high",-,-,-,-,-,-,-,"7 [8], 10",i21,-2,+6,-,-,-,-,-
-,1+4 (second hit only),high,-,-,-,-,-,-,-,10 [12],i41,-2,+6,+6,-,-,-,-
Leaping Hammer Fist,u+2,mid,-,-,-,low,-,-,-,30 [36],i38,+2,STUN,STUN,-,-,-,-
Eagle Claw,u/f+1,mid,-,-,-,low,-,-,-,12 [14],i18,-7,+4,+4,-,-,-,-
Evading Palm Strike,u/f+2,mid,-,-,-,-,-,-,-,18 [21],i18,-10,+3,+3,-,-,-,-
Side Swipe,u/f+3,mid,-,-,-,low,-,-,-,22 [26],i21,-2,KND,KND,-,-,-,-
Soaring Eagle,u/f+4,mid,-,-,-,low,-,-,-,13 [15],i15,-13,LAUNCH,LAUNCH,-,-,-,-
-,u/f+3+4,"mid, high, high",-,-,-,high,-,-,-,"10 [12], 10, 7",i24,-10,LAUNCH,LAUNCH,-,-,-,-
Assassin's Bow,"u/f+3+4, 3","mid, high, high, high",-,-,-,-,-,-,-,"10 [12], 10, 7, 10",i24,-6,KND,-,-,-,-,-
-,"(u/f+3+4), 3",high,-,-,-,-,-,-,-,21 [25],i57,-6,KND,KND,-,-,-,-
-,f+2,mid,-,-,-,-,-,-,-,12 [14],i16,-8,+3,STUN,-,-,-,-
-,"f+2, 1","mid, mid",-,-,-,-,-,-,-,"12 [14], 10",i16,-5,+6,-,-,-,-,-
-,"(f+2), 1",mid,-,-,-,-,-,-,-,10 [12],i19,-5,+6,+6,-,-,-,-
Boar's Tusk,"f+2, 1, 2","mid, mid, mid",-,-,-,-,-,-,-,"12 [14], 10, 20",i16,-19,KND,-,-,-,-,-
-,"(f+2), 1, 2","mid, mid",-,-,-,-,-,-,-,"10 [12], 20",i19,-19,KND,-,-,-,-,-
-,"(f+2), (1), 2",mid,-,-,-,-,-,-,-,20 [24],i13,-19,KND,KND,-,-,-,-
-,f+3,mid,-,-,-,-,-,-,-,10 [12],i21,-3,+7,+7,-,-,-,-
Climbing Dragon,"f+3, 4","mid, mid",-,-,-,-,-,-,-,"10 [12], 20",i21,-16,LAUNCH,-,-,-,-,-
-,"(f+3), 4",mid,-,-,-,-,-,-,-,20 [24],i23,-16,LAUNCH,-,-,-,-,-
-,f+4,high,-,-,-,-,-,-,-,15 [18],i18,-9,LAUNCH,LAUNCH,-,-,-,-
Tornado Stomp,"f+4, 3","high, mid",-,-,-,-,-,-,-,"15 [18], 21",i18,-10,KND,-,-,-,-,-
-,"(f+4), 3",mid,-,-,-,-,-,-,-,30 [36],i21,-10,KND,KND,-,-,-,-
Tornado Sweep,"f+4, 4","high, low",-,-,-,high,-,-,-,"15 [18], 15",i18,-12,KND,-,-,-,-,-
-,"(f+4), 4 (close)",low,-,-,-,high,-,-,-,22 [26],i31,-12,STUN,STUN,-,-,-,-
-,"(f+4), 4 (far)",low,-,-,-,high,-,-,-,15 [18],i31,-12,-1,-1,-,-,-,-
Tiger's Claw,f+1+2,high,-,-,-,-,-,-,-,28 [33],i19,-9,S!,S!,-,-,-,-
Exploding Dagger,"f, F+2",mid,-,-,-,-,-,-,-,25 [30],i18,-10,KND,KND,-,-,-,-
