MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,21 [25],i23,0,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
Iron Breaker,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 24",i10,-17,KND,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,24 [28],i16,-17,KND,KND,-,-,-,-
-,2,high,-,-,-,-,-,-,-,10 [12],i10,-5,+6,+6,-,-,-,-
Double Gimlet,"2, 1","high, high",-,-,-,-,-,-,-,"10 [12], 12",i10,-7,+4,-,-,-,-,-
-,"(2), 1",high,-,-,-,-,-,-,-,12 [14],i18,-7,+4,+4,-,-,-,-
Left Wrench Kick,3,mid,-,-,-,-,-,-,-,17 [20],i14,-9,+2,+2,-,-,-,-
Right Wrench Kick,4,mid,-,-,-,-,-,-,-,20 [24],i16,-9,+2,KND,-,-,-,-
Jumping Elbow,u/f+1,mid,-,-,-,-,-,-,-,25 [30],i23,-9,KND,KND,-,-,-,-
Staple Knee,u/f+3,mid,-,-,-,-,-,-,-,17 [20],i20,-3,+6,LAUNCH,-,-,-,-
Giant Press,u/f+1+2,mid,-,-,-,low,-,-,-,35 [42],i35,-7,KND,KND,-,-,-,-
Crushing Stomp,u/f+3+4,mid,-,-,-,low,-,-,-,25 [30],i31,-3,+7 (OC),KND,-,-,-,-
-,f+2,high,-,-,-,-,-,-,-,20 [24],i16,-9,+7,STUN,-,-,-,-
-,"f+2, 1","high, high",-,-,-,-,-,-,-,"20 [24], 17",i19,-3,+5,-,-,-,-,-
-,"(f+2), 1",high,-,-,-,-,-,-,-,17 [20],i19,-3,+5,+5,-,-,-,-
Mad Rampage,"f+2, 1, 1","high, high, mid",-,-,-,-,-,-,-,"20 [24], 17, 25",i16,-12,KND,-,-,-,-,-
-,"(f+2), 1, 1","high, mid",-,-,-,-,-,-,-,"17 [20], 25",i19,-12,KND,-,-,-,-,-
-,"(f+2), (1), 1",mid,-,-,-,-,-,-,-,25 [30],i28,-12,KND,KND,-,-,-,-
Double Monster Hook,"f+2, f+1","high, high",-,-,-,-,-,-,-,"20 [24], 20",i16,-9,+5,-,-,-,-,-
-,"(f+2), f+1",high,-,-,-,-,-,-,-,20 [24],i19,-9,+5,+5,-,-,-,-
Monster Axe,"f+2, d+1","high, mid",-,-,-,-,-,-,-,"20 [24], 17",i16,-13,+2 (OC),-,-,-,-,-
-,"(f+2), d+1",mid,-,-,-,-,-,-,-,17 [20],i21,-13,+2 (OC),+2 (OC),-,-,-,-
-,f+3,mid,-,-,-,-,-,-,-,17 [20],i23,-9,+9,+9,-,-,-,-
Crazy Knuckle Combo,"f+3, 2","mid, mid",-,-,-,-,-,-,-,"17 [20], 20",i23,-13,KND,-,-,-,-,-
-,"(f+3), 2",mid,-,-,-,-,-,-,-,20 [24],i7,-13,KND,KND,-,-,-,-
-,"f+3, 2*","mid, mid",-,-,-,-,-,-,-,"17 [20], 40",i23,+15,KND,-,-,-,-,-
-,"(f+3), 2*",mid,-,-,-,-,-,-,-,40 [48],i52,+15,KND,KND,-,-,-,-
Burring Reamer,f+4,mid,-,-,-,-,-,-,-,20 [24],i6,-14,KND,KND,-,-,-,-
-,f+4*,mid,-,-,-,-,-,-,-,40 [48],i43,+26,KND,KND,-,-,-,-
Quick Head-Butt,f+1+2,high,-,-,-,-,-,-,-,20,i13,-9,+6,-,-,-,-,-
Bulldozer Charge,CH f+1+2,high,-,-,-,-,-,-,-,64,i13,-9,-,0,-,-,-,-
Unchained Upper,"f, F+2",mid,-,-,-,-,-,-,-,20 [24],i16,-8,KND,KND,-,-,-,-
