MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,25 [30],i16,-1,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 1","high, high",-,-,-,-,-,-,-,"7 [8], 6",i10,-1,+8,-,-,-,-,-
-,"(1), 1",high,-,-,-,-,-,-,-,6 [7],i15,-1,+8,+8,-,-,-,-
Flash Punch Combo,"1, 1, 2","high, high, mid",-,-,-,-,-,-,-,"7 [8], 8, 12",i10,-17,KND,-,-,-,-,-
-,"(1), 1, 2","high, mid",-,-,-,-,-,-,-,"8 [9], 12",i15,-17,KND,-,-,-,-,-
-,"(1), (1), 2",mid,-,-,-,-,-,-,-,12 [14],i13,-17,KND,KND,-,-,-,-
-,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 8",i10,-1,+7,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,8 [9],i10,-1,+7,+7,-,-,-,-
Demon Slayer,"1, 2, 2","high, high, high",-,-,-,-,-,-,-,"7 [8], 8, 12",i10,-12,+4,-,-,-,-,-
-,"(1), 2, 2","high, high",-,-,-,-,-,-,-,"8 [9], 12",i10,-12,+4,-,-,-,-,-
-,"(1), (2), 2",high,-,-,-,-,-,-,-,12 [14],i17,-12,+4,+4,-,-,-,-
Demon Executioner,"1, 2, 2~1+2","high, high, mid",-,-,-,-,-,-,-,"7 [8], 8, 25",i10,-6,KND,-,-,-,-,-
-,"(1), 2, 2~1+2","high, mid",-,-,-,-,-,-,-,"8 [9], 25",i10,-6,KND,-,-,-,-,-
-,"(1), (2), 2~1+2",mid,-,-,-,-,-,-,-,25 [30],i13,-6,KND,KND,-,-,-,-
-,"1, 2, 2~1+2, u (or d)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Demon Kicker,"1, 2, 4","high, high, high",-,-,-,-,-,-,-,"7 [8], 8, 21",i10,-9,KND,-,-,-,-,-
-,"(1), 2, 4","high, high",-,-,-,-,-,-,-,"8 [9], 21",i10,-9,KND,-,-,-,-,-
-,"(1), (2), 4",high,-,-,-,-,-,-,-,21 [25],i22,-9,KND,STUN,-,-,-,-
-,"1, b+2","high, mid",-,-,-,-,-,-,-,"7 [8], 21",i10,-2,+8,-,-,-,-,-
