MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,21 [25],i23,0 (OC),KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 1","high, high",-,-,-,-,-,-,-,"7 [8], 8",i10,-2,+6,-,-,-,-,-
-,"(1), 1",high,-,-,-,-,-,-,-,8 [9],i12,-2,+6,+6,-,-,-,-
-,"1, 1, 3","high, high, low",-,-,-,-,-,-,-,"7 [8], 8, 10",i10,-12,-1,-,-,-,-,-
-,"(1), 1, 3","high, low",-,-,-,-,-,-,-,"8 [9], 10",i12,-12,-1,-,-,-,-,-
-,"(1), (1), 3",low,-,-,-,-,-,-,-,10 [12],i21,-12,-1,-1,-,-,-,-
Home Surgery,"1, 1, 3, 3","high, high, low, high",-,-,-,-,-,-,-,"7 [8], 8, 10, 14",i10,-14,-3,-,-,-,-,-
-,"(1), 1, 3, 3","high, low, high",-,-,-,-,-,-,-,"8 [9], 10, 14",i12,-14,-3,-,-,-,-,-
-,"(1), (1), 3, 3","low, high",-,-,-,-,-,-,-,"10 [12], 14",i21,-14,-3,-,-,-,-,-
-,"(1), (1), (3), 3",high,-,-,-,-,-,-,-,14 [16],i20,-14,-3,-3,-,-,-,-
-,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 10",i10,-1,+7,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,10 [12],i10,-1,+7,+8,-,-,-,-
Rejector,"1, 2, f+3","high, high, mid",-,-,-,-,-,-,-,"7 [8], 10, 14",i10,-8,+3,-,-,-,-,-
-,"(1), 2, f+3","high, mid",-,-,-,-,-,-,-,"10 [12], 14",i10,-8,+3,-,-,-,-,-
-,"(1), (2), f+3",mid,-,-,-,-,-,-,-,14 [16],i10,-8,+3,+3,-,-,-,-
Rejection,"1, 2, f+4 (close)","high, high, mid",-,-,-,low,-,-,-,"7 [8], 10, 34",i10,0,KND,-,-,-,-,-
Rejection,"1, 2, f+4 (far)","high, high, mid",-,-,-,low,-,-,-,"7 [8], 10, 23",i10,0,KND,-,-,-,-,-
-,"(1), 2, f+4 (close)","high, mid",-,-,-,low,-,-,-,"10 [12], 34",i10,0,KND,-,-,-,-,-
-,"(1), 2, f+4 (far)","high, mid",-,-,-,low,-,-,-,"10 [12], 23",i10,0,KND,-,-,-,-,-
-,"(1), (2), f+4 (close)",mid,-,-,-,low,-,-,-,34 [41],i24,0,KND,KND,-,-,-,-
-,"(1), (2), f+4 (far)",mid,-,-,-,low,-,-,-,23 [27],i24,0,KND,KND,-,-,-,-
-,2,high,-,-,-,-,-,-,-,9 [10],i10,0,+8,+9,-,-,-,-
Right Jab Side Kick,"2, f+3","high, mid",-,-,-,-,-,-,-,"9 [10], 14",i10,-8,+3,-,-,-,-,-
-,"(2), f+3",mid,-,-,-,-,-,-,-,14 [16],i21,-8,+3,-,-,-,-,-
Right Jab to Spinning Back Kick,"2, f+4 (close)","high, mid",-,-,-,low,-,-,-,"9 [10], 34",i10,0,KND,-,-,-,-,-
Right Jab to Spinning Back Kick,"2, f+4 (far)","high, mid",-,-,-,low,-,-,-,"9 [10], 23",i10,0,KND,-,-,-,-,-
-,"(2), f+4 (close)",mid,-,-,-,low,-,-,-,34 [41],i24,0,KND,KND,-,-,-,-
-,"(2), f+4 (far)",mid,-,-,-,low,-,-,-,23 [27],i24,0,KND,KND,-,-,-,-
-,3,high,-,-,-,-,-,-,-,15 [18],i14,-7,+4,+4,-,-,-,-
-,"3, 3","high, mid",-,-,-,-,-,-,-,"15 [18], 12",i14,-13,-7,-,-,-,-,-
-,"(3), 3",mid,-,-,-,-,-,-,-,12 [14],i18,-13,-7,-2,-,-,-,-
Left Kicks,"3, 3, 3","high, mid, mid",-,-,-,-,-,-,-,"15 [18], 12, 15",i14,-14,KND,-,-,-,-,-
-,"(3), 3, 3","mid, mid",-,-,-,-,-,-,-,"12 [14], 15",i18,-14,KND,-,-,-,-,-
-,"(3), (3), 3",mid,-,-,-,-,-,-,-,15 [18],i21,-14,KND,KND,-,-,-,-
Left Kicks to Backlash,"3, 3, f+4","high, mid, high",-,-,-,-,-,-,-,"15 [18], 12, 23",i14,-1,KND,-,-,-,-,-
-,"(3), 3, f+4","mid, high",-,-,-,-,-,-,-,"12 [14], 23",i18,-1,KND,-,-,-,-,-
-,"(3), (3), f+4",high,-,-,-,-,-,-,-,23 [27],i21,-1,KND,KND,-,-,-,-
Flying Eagle,3~4,"mid, mid",-,-,-,low,-,-,-,"11 [13], 21",i22,-3,KND,KND,-,-,-,-
-,4,high,-,-,-,-,-,-,-,14 [16],i11,-6,+5,+5,-,-,-,-
Right Left Kick Combo,"4, 3","high, mid",-,-,-,-,-,-,-,"14 [16], 12",i11,-6,+5,-,-,-,-,-
-,"(4), 3",mid,-,-,-,-,-,-,-,12 [14],i22,-6,+5,+5,-,-,-,-
Right Kicks to Chainsaw Heel,"4, 4, 3","high, high, mid",-,-,-,-,-,-,-,"12 [14], 13, 20",i11,-15,KND,-,-,-,-,-
-,"(4), 4, 3","high, mid",-,-,-,-,-,-,-,"13 [15], 20",i16,-15,KND,-,-,-,-,-
-,"(4), (4), 3",mid,-,-,-,-,-,-,-,20 [24],i25,-15,KND,KND,-,-,-,-
Right Kick Combo to Chainsaw Heel,"4, 4, 4, 3","high, high, high, mid",-,-,-,-,-,-,-,"12 [14], 13, 10, 20",i11,-15,KND,-,-,-,-,-
-,"(4), 4, 4, 3","high, high, mid",-,-,-,-,-,-,-,"13 [15], 10, 20",i16,-15,KND,-,-,-,-,-
-,"(4), (4), 4, 3","high, mid",-,-,-,-,-,-,-,"10 [12], 20",i19,-15,KND,-,-,-,-,-
-,"(4), (4), (4), 3",mid,-,-,-,-,-,-,-,20 [24],i25,-15,KND,KND,-,-,-,-
Bloody Guillotine,u+3+4,mid,-,-,-,low,-,-,-,20 [24],i25,-7,STUN,STUN,-,-,-,-
Bone Stinger,u/f+2,mid,-,-,-,low,-,-,-,22 [26],i26,+5 (OC),+4 (OC),KND,-,-,-,-
-,u/f+3,mid,-,-,-,low,-,-,-,15 [18],i28,-6,KND,KND,-,-,-,-
-,"u/f+3, 4","mid, mid",-,-,-,low,-,-,-,"15 [18], 9",i28,-8,LAUNCH,-,-,-,-,-
Hunting Hawk,"u/f+3, 4, 3","mid, mid, mid",-,-,-,low,-,-,-,"15 [18], 9, 12",i28,-,KND,-,-,-,-,-
-,u/f+3+4,"mid, mid",-,-,-,low,-,-,-,"9 [10], 8",i14,-10,+1,-,-,-,-,-
-,u/f+3+4 (second hit only),mid,-,-,-,low,-,-,-,8 [9],i25,-10,+1,+1,-,-,-,-
Flashing Trident,"u/f+3+4, 4","mid, mid, mid",-,-,-,low,-,-,-,"9 [10], 8, 13",i14,-13,+5,-,-,-,-,-
-,"u/f+3+4 (second hit only), 4","mid, mid",-,-,-,low,-,-,-,"8 [9], 13",i25,-13,+5,-,-,-,-,-
-,"(u/f+3+4), 4",mid,-,-,-,low,-,-,-,13 [15],i14,-13,+5,+5,-,-,-,-
Push Hands,f+1+2,mid,-,-,-,-,-,-,-,17 [20],i15,-9,+2,STUN,-,-,-,-
Flying Nerichagi,"f, f, f+3 (or WR+3)",mid,-,-,-,low,-,-,-,30 [36],i22,+6,KND,KND,-,-,-,-
Sky Rocket,"f, n, d, d/f+4",mid,-,-,-,high*,-,-,-,18 [21],i16,-18,LAUNCH,LAUNCH,-,-,-,-
-,"f, n, d, d/f:4",mid,-,-,-,high*,-,-,-,18 [21],i16,-10,LAUNCH,LAUNCH,-,-,-,-
-,d/f+1,mid,-,-,-,-,-,-,-,10 [12],i13,0,+7,+7,-,-,-,-
-,d/f+2,mid,-,-,-,-,-,-,-,13 [15],i15,-7,LAUNCH,LAUNCH,-,-,-,-
-,"(d/f+3), 4",mid,-,-,-,-,-,-,-,20 [24],i24,-14,KND,KND,-,-,-,-
-,d/f+1+2,mid,-,-,-,-,-,-,-,12 [14],i13,-3,+8,+8,-,-,-,-
Double Claymore,d/f+3+4,mid,-,-,-,-,-,-,-,8 [9],i15,-11,0,0,-,-,-,-
-,d+3,low,-,-,-,-,-,-,-,7 [8],i17,-13,-2,-2,-,-,-,-
-,d+4,low,-,-,-,high,-,-,-,7 [8],i19,-17,-6,-6,-,-,-,-
