MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,-,-,-,-,21 [25],i26,+4,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,11 [13],i13,-2,+6,+9,-,-,-,-
Jab to Jackhammer,"1, 1","high, mid",-,-,-,-,-,-,-,"11 [13], 25",i13,-14,KND,-,-,-,-,-
-,"(1), 1",mid,-,-,-,-,-,-,-,25 [30],i15,-14,KND,KND,-,-,-,-
Jab to Stunning Hook,"1, 2","high, high",-,-,-,-,-,-,-,"11 [13], 24",i13,-2,KND,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,24 [28],i19,-2,KND,KND,-,-,-,-
-,2,high,-,-,-,-,-,-,-,10 [12],i11,+1,+9,+9,-,-,-,-
-,"2, 1","high, mid",-,-,-,-,-,-,-,"10 [12], 12",i11,-2,+3,-,-,-,-,-
-,"(2), 1",mid,-,-,-,-,-,-,-,12 [14],i16,-2,+3,+3,-,-,-,-
Jab Elbow Smash,"2, 1, 2","high, mid, mid",-,-,-,-,-,-,-,"10 [12], 12, 20",i11,-12,LAUNCH,-,-,-,-,-
-,"(2), 1, 2","mid, mid",-,-,-,-,-,-,-,"12 [14], 20",i16,-12,LAUNCH,-,-,-,-,-
-,"(2), (1), 2",mid,-,-,-,-,-,-,-,20 [24],i33,-12,LAUNCH,LAUNCH,-,-,-,-
-,3,high,-,-,-,-,-,-,-,30 [36],i18,-13,KND,KND,-,-,-,-
-,4,high,-,-,-,-,-,-,-,20 [24],i16,-4,+7,LAUNCH,-,-,-,-
Tornado Punch,1+2,"mid, high",-,-,-,-,-,-,-,"15 [18], 18",i15,-9,S!,S!,-,-,-,-
-,1+2 (second hit only),high,-,-,-,-,-,-,-,27 [32],i44,-9,S!,S!,-,-,-,-
Patriot Fist,u+1+2,high,-,-,-,-,-,-,-,20 [24],i19,-15,LAUNCH,LAUNCH,-,-,-,-
Sky Sweeper,u/f+1,high,-,-,-,-,-,-,-,14 [16],i17,-,KND,KND,-,-,-,-
-,u/f+1*,high,-,-,-,-,-,-,-,38 [46],i19,-,KND,KND,-,-,-,-
Reactor Elbow,u/f+2,mid,-,-,-,low,-,-,-,25 [30],i24,+4,+7 (OC),KND,-,-,-,-
Pancake Press,u/f+3+4,mid,-,-,-,low,-,-,-,23 [27],i34,-39,KND,KND,-,-,-,-
Double Pancake Press,"u/f+3+4, 3+4","mid, mid",-,-,-,-,-,-,-,"23 [27], 35",i34,-33,KND,-,-,-,-,-
-,"(u/f+3+4), 3+4",mid,-,-,-,low,-,-,-,35 [42],i54,-33,KND,KND,-,-,-,-
-,f+1,mid,-,-,-,-,-,-,-,13 [15],i14,-6,+5,+5,-,-,-,-
-,"f+1, 2","mid, high",-,-,-,-,-,-,-,"13 [15], 13",i14,-6,+5,-,-,-,-,-
-,"(f+1), 2",high,-,-,-,-,-,-,-,13 [15],i22,-6,+5,+5,-,-,-,-
Pivot Gun,"f+1, 2, 2","mid, high, mid",-,-,-,-,-,-,-,"13 [15], 13, 20",i14,+6,KND,-,-,-,-,-
