MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,21 [25],i23,0,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 12",i10,-2,+3,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,12 [14],i10,-2,+3,+3,-,-,-,-
Left Right Axe Kick,"1, 2, 3","high, high, mid",-,-,-,-,-,-,-,"7 [8], 12, 20",i10,0,KND,-,-,-,-,-
-,"(1), 2, 3","high, mid",-,-,-,-,-,-,-,"12 [14], 20",i10,0,KND,-,-,-,-,-
-,"(1), (2), 3",mid,-,-,-,-,-,-,-,20 [24],i24,0,KND,KND,-,-,-,-
Left Right to Spinning Hook Kick,"1, 2, 4","high, high, high",-,-,-,-,-,-,-,"7 [8], 12, 30",i10,-4,KND,-,-,-,-,-
-,"(1), 2, 4","high, high",-,-,-,-,-,-,-,"12 [14], 30",i10,-4,KND,-,-,-,-,-
-,"(1), (2), 4",high,-,-,-,-,-,-,-,30 [36],i20,-4,KND,KND,-,-,-,-
-,"1, 3","high, high",-,-,-,-,-,-,-,"7 [8], 10",i14,-6,+4,-,-,-,-,-
-,"(1), 3",high,-,-,-,-,-,-,-,10 [12],i14,-6,+4,+4,-,-,-,-
-,"1, 3, B","high, high",-,-,-,-,-,-,-,"7 [8], 10",i10,-6,+4,-,-,-,-,-
-,"1, 3, 2","high, high, mid",-,-,-,-,-,-,-,"7 [8], 10, 10",i10,-1,+4,-,-,-,-,-
-,"(1), 3, 2","high, mid",-,-,-,-,-,-,-,"10 [12], 10",i14,-1,+4,-,-,-,-,-
-,"(1), (3), 2",mid,-,-,-,-,-,-,-,10 [12],i32,-1,+4,+4,-,-,-,-
-,"1, 3, 2, 1","high, high, mid, mid",-,-,-,-,-,-,-,"7 [8], 10, 10, 10",i10,-7,+7,-,-,-,-,-
-,"(1), 3, 2, 1","high, mid, mid",-,-,-,-,-,-,-,"10 [12], 10, 10",i14,-7,+7,-,-,-,-,-
-,"(1), (3), 2, 1","mid, mid",-,-,-,-,-,-,-,"10 [12], 10",i32,-7,+7,-,-,-,-,-
-,"(1), (3), (2), 1",mid,-,-,-,-,-,-,-,10 [12],i42,-7,+7,+7,-,-,-,-
Kazama Style 5 Hit Combo,"1, 3, 2, 1, 4","high, high, mid, mid, low",-,-,-,-,-,-,-,"7 [8], 10, 10, 10, 10",i10,-13,+3,-,-,-,-,-
-,"(1), 3, 2, 1, 4","high, mid, mid, low",-,-,-,-,-,-,-,"10 [12], 10, 10, 10",i14,-13,+3,-,-,-,-,-
-,"(1), (3), 2, 1, 4","mid, mid, low",-,-,-,-,-,-,-,"10 [12], 10, 10",i32,-13,+3,-,-,-,-,-
-,"(1), (3), (2), 1, 4","mid, low",-,-,-,-,-,-,-,"10 [12], 10",i42,-13,+3,-,-,-,-,-
-,"(1), (3), (2), (1), 4",low,-,-,-,-,-,-,-,10 [12],i59,-13,+3,+3,-,-,-,-
Ni Rengeki,"1, 3","high, high",-,-,-,-,-,-,-,"7 [8], 10",i14,-6,+4,-,-,-,-,-
-,"(1), 3",high,-,-,-,-,-,-,-,10 [12],i14,-6,+4,+4,-,-,-,-
-,"1, 3~3","high, mid",-,-,-,-,-,-,-,"7 [8], 20",i10,+6,KND,-,-,-,-,-
-,"(1), 3~3","high, mid, mid",-,-,-,-,-,-,-,20 [24[,i23,+6,KND,KND,-,-,-,-
Feint Kick Combo,"1, 3~3, d/f+3","high, mid, mid",-,-,-,-,-,-,-,"7 [8], 20, 20",i10,-14,KND,-,-,-,-,-
