MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,25 [30],i16,-1,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 8",i10,-1,+7,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,8 [9],i12,-1,+7,+7,-,-,-,-
Papilio Combo,"1, 2, 2","high, high, high",-,-,-,-,-,-,-,"7 [8], 8, 10",i10,-7,+9,-,-,-,-,-
-,"(1), 2, 2","high, high",-,-,-,-,-,-,-,"8 [9], 10",i12,-7,+9,-,-,-,-,-
-,"(1), (2), 2",high,-,-,-,-,-,-,-,10 [12],i12,-7,+9,+9,-,-,-,-
Graphium Combo,"1, 2, 3","high, high, mid",-,-,-,-,-,-,-,"7 [8], 8, 18",i10,-11,+5,-,-,-,-,-
-,"(1), 2, 3","high, mid",-,-,-,-,-,-,-,"8 [9], 18",i12,-11,+5,-,-,-,-,-
-,"(1), (2), 3",mid,-,-,-,-,-,-,-,18 [21],i20,-11,+5,KND,-,-,-,-
-,"1, 2, d+4","high, high, low",-,-,-,-,-,-,-,"7 [8], 8, 22",i10,-16,-5,-,-,-,-,-
-,"(1), 2, d+4","high, low",-,-,-,-,-,-,-,"8 [9], 22",i12,-16,-5,-,-,-,-,-
-,"(1), (2), d+4",low,-,-,-,-,-,-,-,22 [26],i16,-16,-5,-5,-,-,-,-
One Two Low High Spin Kick,"1, 2, d+4, 4","high, high, low, high",-,-,-,-,-,-,-,"7 [8], 8, 13, 25",i10,-4,KND,-,-,-,-,-
-,"(1), 2, d+4, 4","high, low, high",-,-,-,-,-,-,-,"8 [9], 13, 25",i12,-4,KND,-,-,-,-,-
-,"(1), (2), d+4, 4","low, high",-,-,-,-,-,-,-,"13 [15], 25",i16,-4,KND,-,-,-,-,-
-,"(1), (2), (d+4), 4",high,-,-,-,-,-,-,-,25 [30],i30,-4,KND,KND,-,-,-,-
-,"1, 4","high, high",-,-,-,-,-,-,-,"7 [8], 10",i10,-4,+7,-,-,-,-,-
-,"(1), 4",high,-,-,-,-,-,-,-,10 [12],i18,-4,+7,+7,-,-,-,-
