MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,21 [25],i35,+4,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 1","high, mid",-,-,-,-,-,-,-,"7 [8], 12",i10,-9,+2,-,-,-,-,-
-,"(1), 1",mid,-,-,-,-,-,-,-,12 [14],i22,-9,+2,+2,-,-,-,-
G-Clef Cannon,"1, 1, 1","high, mid, mid",-,-,-,-,-,-,-,"7 [8], 12, 20",i10,-14,KND,-,-,-,-,-
-,"(1), 1, 1","mid, mid",-,-,-,-,-,-,-,"12 [14], 20",i22,-14,KND,-,-,-,-,-
-,"(1), (1), 1",mid,-,-,-,-,-,-,-,20 [24],i23,-14,KND,KND,-,-,-,-
Divine Impact,"1, 1, 2","high, mid, mid",-,-,-,-,-,-,-,"7 [8], 12, 20",i10,-9,KND,-,-,-,-,-
-,"(1), 1, 2","mid, mid",-,-,-,-,-,-,-,"12 [14], 20",i22,-9,KND,-,-,-,-,-
-,"(1), (1), 2",mid,-,-,-,-,-,-,-,20 [24],i30,-9,KND,STUN,-,-,-,-
-,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 8",i10,-1,+5,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,8 [9],i13,-1,+5,+5,-,-,-,-
-,"1, 2, 1","high, high, mid",-,-,-,-,-,-,-,"7 [8], 8, 10",i10,-13,+3,-,-,-,-,-
-,"(1), 2, 1","high, mid",-,-,-,-,-,-,-,"8 [9], 10",i13,-13,+3,-,-,-,-,-
-,"(1), (2), 1",mid,-,-,-,-,-,-,-,10 [12],i20,-13,+3,+3,-,-,-,-
Baiyuan Sanshou,"1, 2, 1, 1","high, high, mid, low",-,-,-,-,-,-,-,"7 [8], 8, 10, 20",i10,-14,KND,-,-,-,-,-
-,"(1), 2, 1, 1","high, mid, low",-,-,-,-,-,-,-,"8 [9], 10, 20",i13,-14,KND,-,-,-,-,-
-,"(1), (2), 1, 1","mid, low",-,-,-,-,-,-,-,"10 [12], 20",i20,-14,KND,-,-,-,-,-
-,"(1), (2), (1), 1",low,-,-,-,-,-,,-,20 [24],i25,-14,KND,KND,-,-,-,-
-,2,high,-,-,-,-,-,-,-,10 [12],i10,-2,+7,+7,-,-,-,-
-,3,high,-,-,-,-,-,-,-,17 [20],i14,-14,KND,KND,-,-,-,-
-,4,high,-,-,-,-,-,-,-,15 [18],i11,-12,-3,LAUNCH,-,-,-,-
