MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON CROUCHING,ON WHIFF,ACTIVE,NOTES
*,"Back towards wall... b, b, u/b",-,-,-,-,-,-,-,-,-,35,+1,KND,KND,-,-,-,-,-
*,1,-,-,-,-,-,-,-,-,-,10,+1,+8,+8,-,-,-,-,-
Double Slap,"1, 1",-,-,-,-,-,-,-,-,-,10,-2,+4,+4,-,-,-,-,-
*,"(1), 1",-,-,-,-,-,-,-,-,-,17,-2,+4,+4,-,-,-,-,-
Wing Punch Combo,"1, 1, 1",-,-,-,-,-,-,-,-,-,10,-5,-1,-1,-,-,-,-,-
*,"(1), 1, 1",-,-,-,-,-,-,-,-,-,17,-5,-1,-1,-,-,-,-,-
*,"(1), (1), 1",-,-,-,-,-,-,-,-,-,21,-5,-1,KND,-,-,-,-,-
Rush Punch Combo,"1, 1, 2",-,-,-,-,-,-,-,-,-,10,+7,+9,+9,-,-,-,-,-
*,"(1), 1, 2",-,-,-,-,-,-,-,-,-,17,+7,+9,+9,-,-,-,-,-
*,"(1), (1), 2",-,-,-,-,-,-,-,-,-,20,+7,+9,STUN,-,-,-,-,-
Albatross Punch Combo,"1, 1, 3",-,-,-,-,-,-,-,-,-,10,0,KND,KND,-,-,-,-,-
*,"(1), 1, 3",-,-,-,-,-,-,-,-,-,17,0,KND,KND,-,-,-,-,-
*,"(1), (1), 3",-,-,-,-,-,-,-,-,-,29,0,KND,KND,-,-,-,-,-
Goose Punch Combo,"1, 1, 4",-,-,-,-,-,-,-,-,-,10,-19,LAUNCH,LAUNCH,-,-,-,-,-
*,"(1), 1, 4",-,-,-,-,-,-,-,-,-,17,-19,LAUNCH,LAUNCH,-,-,-,-,-
*,"(1), (1), 4",-,-,-,-,-,-,-,-,-,24,-19,LAUNCH,LAUNCH,-,-,-,-,-
Wing Slap Combo,"1, 2",-,-,-,-,-,-,-,-,-,10,-3,+3,+3,-,-,-,-,-
*,"(1), 2",-,-,-,-,-,-,-,-,-,16,-3,+3,+3,-,-,-,-,-
Needle Kick Combo,"1, 4",-,-,-,-,-,-,-,-,-,10,-12,+1,+1,-,-,-,-,-
*,"(1), 4",-,-,-,-,-,-,-,-,-,21,-12,+1,+1,-,-,-,-,-
*,2,-,-,-,-,-,-,-,-,-,12,-3,+8,+8,-,-,-,-,-
Feather Fury,"2, 2",-,-,-,-,-,-,-,-,-,12,-12,+10,+10,-,-,-,-,-
*,"(2), 2",-,-,-,-,-,-,-,-,-,19,-12,+10,+10,-,-,-,-,-
*,3 (or WS 3),-,-,-,-,-,-,-,-,-,14,-5,+6,+6,-,-,-,-,-
*,"3, 3",-,-,-,-,-,-,-,-,-,14,-9,+2,+2,-,-,-,-,-
*,"(3), 3",-,-,-,-,-,-,-,-,-,10,-9,+2,+2,-,-,-,-,-
*,"3, 3, 3",-,-,-,-,-,-,-,-,-,14,-10,+1,+1,-,-,-,-,-
*,"(3), 3, 3",-,-,-,-,-,-,-,-,-,10,-10,+1,+1,-,-,-,-,-
*,"(3), (3), 3",-,-,-,-,-,-,-,-,-,14,-10,+1,+1,-,-,-,-,-
*,"3, 3, 3, 3",-,-,-,-,-,-,-,-,-,14,-11,0,0,-,-,-,-,-
*,"(3), 3, 3, 3",-,-,-,-,-,-,-,-,-,10,-11,0,0,-,-,-,-,-
*,"(3), (3), 3, 3",-,-,-,-,-,-,-,-,-,14,-11,0,0,-,-,-,-,-
*,"(3), (3), (3), 3",-,-,-,-,-,-,-,-,-,13,-11,0,0,-,-,-,-,-
Crane Kick Combo,"3, 3, 3, 3, 3",-,-,-,-,-,-,-,-,-,14,-14,+1 (OC),+1 (OC),-,-,-,-,-
