MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,"low, mid, high",-,-,-,21 [25],i35,+1,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
Double Slap,"1, 1","high, high",-,-,-,-,-,-,-,"7 [8], 10",i10,-2,+4,-,-,-,-,-
-,"(1), 1",high,-,-,-,-,-,-,-,10 [12],i17,-2,+4,+4,-,-,-,-
Wing Punch Combo,"1, 1, 1","high, high, mid",-,-,-,-,-,-,-,"7 [8], 10, 23",i10,-5,-1,-,-,-,-,-
-,"(1), 1, 1","high, mid",-,-,-,-,-,-,-,"10 [12], 23",i17,-5,-1,-,-,-,-,-
-,"(1), (1), 1",mid,-,-,-,-,-,-,-,23 [27],i21,-5,-1,KND,-,-,-,-
Rush Punch Combo,"1, 1, 2","high, high, high",-,-,-,-,-,-,-,"7 [8], 10, 17",i10,+7,+9,-,-,-,-,-
-,"(1), 1, 2","high, high",-,-,-,-,-,-,-,"10 [12], 17",i17,+7,+9,-,-,-,-,-
-,"(1), (1), 2",high,-,-,-,-,-,-,-,17 [20],i20,+7,+9,STUN,-,-,-,-
Albatross Punch Combo,"1, 1, 3","high, high, mid",-,-,-,-,-,-,-,"7 [8], 10, 20",i10,0,KND,-,-,-,-,-
-,"(1), 1, 3","high, mid",-,-,-,-,-,-,-,"10 [12], 20",i17,0,KND,-,-,-,-,-
-,"(1), (1), 3",mid,-,-,-,-,-,-,-,20 [24],i29,0,KND,KND,-,-,-,-
Goose Punch Combo,"1, 1, 4","high, high, mid",-,-,-,-,-,-,-,"7 [8], 10, 21",i10,-19,LAUNCH,-,-,-,-,-
-,"(1), 1, 4","high, mid",-,-,-,-,-,-,-,"10 [12], 2`",i17,-19,LAUNCH,-,-,-,-,-
-,"(1), (1), 4",mid,-,-,-,-,-,-,-,21 [25],i24,-19,LAUNCH,LAUNCH,-,-,-,-
Wing Slap Combo,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 10",i10,-3,+3,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,10 [12],i16,-3,+3,+3,-,-,-,-
Needle Kick Combo,"1, 4","high, low",-,-,-,-,-,-,-,"10 [12], 10",i10,-12,+1,-,-,-,-,-
-,"(1), 4",low,-,-,-,-,-,-,-,10 [12],i21,-12,+1,+1,-,-,-,-
-,2,high,-,-,-,-,-,-,-,10 [12],i12,-3,+8,+8,-,-,-,-
Feather Fury,"2, 2","high, high",-,-,-,-,-,-,-,"10 [12], 20",i12,-12,+10,-,-,-,-,-
-,"(2), 2",high,-,-,-,-,-,-,WALL BREAK / SPLAT,20 [24],i19,-12,+10,+10,-,-,-,-
-,3 (or WS 3),mid,-,-,-,-,-,-,-,9 [10],i14,-5,+6,+6,-,-,-,-
-,"3, 3","mid, mid",-,-,-,-,-,-,-,"9 [10], 4",i14,-9,+2,-,-,-,-,-
-,"(3), 3",mid,-,-,-,-,-,-,-,4,i10,-9,+2,+2,-,-,-,-
-,"3, 3, 3","mid, mid, mid",-,-,-,-,-,-,-,"9 [10], 4, 4",i14,-10,+1,-,-,-,-,-
-,"(3), 3, 3","mid, mid",-,-,-,-,-,-,-,"4, 4",i10,-10,+1,-,-,-,-,-
-,"(3), (3), 3",mid,-,-,-,-,-,-,-,4,i14,-10,+1,+1,-,-,-,-
-,"3, 3, 3, 3","mid, mid, mid, high",-,-,-,-,-,-,-,"9 [10], 4, 4, 4",i14,-11,0,-,-,-,-,-
-,"(3), 3, 3, 3","mid, mid, high",-,-,-,-,-,-,-,"4, 4, 4",i10,-11,0,-,-,-,-,-
-,"(3), (3), 3, 3","mid, high",-,-,-,-,-,-,-,"4, 4",i14,-11,0,-,-,-,-,-
-,"(3), (3), (3), 3",high,-,-,-,-,-,-,-,4,i13,-11,0,0,-,-,-,-
Crane Kick Combo,"3, 3, 3, 3, 3","mid, mid, mid, high, mid",-,-,-,-,-,-,-,"9 [10], 4, 4, 4, 17",i14,-14,+1 (OC),-,-,-,-,-
-,"(3), 3, 3, 3, 3","mid, mid, high, mid",-,-,-,-,-,-,-,"4, 4, 4, 17",i10,-14,+1 (OC),-,-,-,-,-
-,"(3), (3), 3, 3, 3","mid, high, mid",-,-,-,-,-,-,-,"4, 4, 17",i14,-14,+1 (OC),-,-,-,-,-
-,"(3), (3), (3), 3, 3","high, mid",-,-,-,-,-,-,-,"4, 17",i13,-14,+1 (OC),-,-,-,-,-
-,"(3), (3), (3), (3), 3",mid,-,-,-,-,-,-,-,17 [20],i21,-14,+1 (OC),+1 (OC),-,-,-,-
Wild Canary,"3, 4 (or WS 3, 4)","mid, high",-,-,-,-,-,-,-,"9 [10], 20",i14,-8,KND,-,-,-,-,-
-,"(3), 4 (or WS (3), 4)",high,-,-,-,-,-,-,-,20 [24],i21,-8,KND,S!,-,-,-,-
-,4,high,-,-,-,-,-,-,-,17 [20],i11,-9,+8,LAUNCH,-,-,-,-
-,"4, 4","high, mid",-,-,-,-,-,-,-,"17 [20], 20 [14]",i11,-10,+4,-,-,-,-,-
-,"(4), 4",mid,-,-,-,low,-,-,-,20 [24],i26,-10,+4,KND,-,-,-,-
-,"4, 4, 4","high, mid, high",-,-,-,-,-,-,-,"17 [20], 20 [14], 10 [5]",i11,-10,+4,-,-,-,-,-
-,"(4), 4, 4","mid, high",-,-,-,-,-,-,-,"20 [24], 10",i26,-10,+4,-,-,-,-,-
-,"(4), (4), 4",high,-,-,-,-,-,-,-,10 [12],i11,-10,+4,KND,-,-,-,-
-,"4, 4, 4, 4","high, mid, high, high",-,-,-,-,-,-,-,"17 [20], 20 [14], 10 [5], 21 [8]",i11,-6,+5,-,-,-,-,-
-,"(4), 4, 4, 4","mid, high, high",-,-,-,-,-,-,-,"20 [24], 10, 21",i26,-6,+5,-,-,-,-,-
-,"(4), (4), 4, 4","high, high",-,-,-,-,-,-,-,"10 [12], 21",i11,-6,+5,-,-,-,-,-
-,"(4), (4), (4), 4",high,-,-,-,-,-,-,-,21 [25],i29,-6,+5,KND,-,-,-,-
Nimble Cutter,"4, 4, 4, 4, 4","high, mid, high, high, mid",-,-,-,-,-,-,-,"17 [20], 20 [14], 10 [5], 21 [8], 25 [7]",i11,-9,KND,-,-,-,-,-
-,"(4), 4, 4, 4, 4","mid, high, high, mid",-,-,-,-,-,-,-,"20 [24], 10, 21, 25",i26,-9,KND,-,-,-,-,-
-,"(4), (4), 4, 4, 4","high, high, mid",-,-,-,-,-,-,-,"10 [12], 21, 25",i11,-9,KND,-,-,-,-,-
-,"(4), (4), (4), 4, 4","high, mid",-,-,-,-,-,-,-,"21 [25], 25",i29,-9,KND,-,-,-,-,-
-,"(4), (4), (4), (4), 4",mid,-,-,-,-,-,-,-,25 [30],i27,-9,KND,KND,-,-,-,-
Flying Bird,u/f+3,mid,-,-,-,low,-,-,-,22 [26],i19,-13,LAUNCH,LAUNCH,-,-,-,-
-,u/f+4,mid,-,-,-,low,-,-,-,10 [12],i15,-15,-4,-4,-,-,-,-
-,"u/f+4, 4","mid, mid",-,-,-,-,-,-,-,"10 [12], 10",i15,-13,STUN,-,-,-,-,-
-,"(u/f+4), 4",mid,-,-,-,-,-,-,-,10 [12],i22,-13,STUN,STUN,-,-,-,-
-,"u/f+4, 4, 4","mid, mid, mid",-,-,-,-,-,-,-,"10 [12], 10, 7",i15,-10,STUN,-,-,-,-,-
-,"(u/f+4), 4, 4","mid, mid",-,-,-,-,-,-,-,"10 [12], 7",i22,-10,STUN,-,-,-,-,-
-,"(u/f+4), (4), 4",mid,-,-,-,low,-,-,-,10 [12],i28,-10,STUN,STUN,-,-,-,-
-,"u/f+4, 4, 4, 4","mid, mid, mid, high",-,-,-,-,-,-,-,"10 [12], 10, 7, 5",i15,-10,STUN,-,-,-,-,-
-,"(u/f+4), 4, 4, 4","mid, mid, high",-,-,-,-,-,-,-,"10 [12], 7, 5",i22,-10,STUN,-,-,-,-,-
-,"(u/f+4), (4), 4, 4","mid, high",-,-,-,-,-,-,-,"10 [12], 10",i28,-10,STUN,-,-,-,-,-
-,"(u/f+4), (4), (4), 4",high,-,-,-,-,-,-,-,10 [12],i11,-10,STUN,STUN,-,-,-,-
-,"u/f+4, 4, 4, 4, 4","mid, mid, mid, high, high",-,-,-,-,-,-,-,"10 [12], 10, 7, 5, 8",i15,-6,STUN,-,-,-,-,-
-,"(u/f+4), 4, 4, 4, 4","mid, mid, high, high",-,-,-,-,-,-,-,"10 [12], 7, 5, 8",i22,-6,KND,-,-,-,-,-
-,"(u/f+4), (4), 4, 4, 4","mid, high, high",-,-,-,-,-,-,-,"10 [12], 10, 21",i28,-6,KND,-,-,-,-,-
-,"(u/f+4), (4), (4), 4, 4","high, high",-,-,-,-,-,-,-,"10 [12], 21",i11,-6,KND,-,-,-,-,-
-,"(u/f+4), (4), (4), (4), 4",high,-,-,-,-,-,-,-,21 [25],i29,-6,KND,KND,-,-,-,-
Wing Cutter,"u/f+4, 4, 4, 4, 4, 4","mid, mid, mid, high, high, mid",-,-,-,-,-,-,-,"10 [12], 10, 7, 5, 8, 7",i15,-9,KND,-,-,-,-,-
-,"(u/f+4), 4, 4, 4, 4, 4","mid, mid, high, high, mid",-,-,-,-,-,-,-,"10 [12], 7, 5, 8, 7",i22,-9,KND,-,-,-,-,-
-,"(u/f+4), (4), 4, 4, 4, 4","mid, high, high, mid",-,-,-,-,-,-,-,"10 [12], 10, 21, 25",i28,-9,KND,-,-,-,-,-
-,"(u/f+4), (4), (4), 4, 4, 4","high, high, mid",-,-,-,-,-,-,-,"10 [12], 21, 25",i11,-9,KND,-,-,-,-,-
-,"(u/f+4), (4), (4), (4), 4, 4","high, mid",-,-,-,-,-,-,-,"21 [25], 25",i29,-9,KND,-,-,-,-,-
-,"(u/f+4), (4), (4), (4), (4), 4",mid,-,-,-,-,-,-,-,25 [30],i13,-9,KND,KND,-,-,-,-
Hovering,u/f+3+4,"mid, mid",-,-,-,low,-,-,-,"10 [12], 20",i17,-10,KND,-,-,-,-,-
-,u/f+3+4 (second hit only),mid,-,-,-,-,-,-,-,20 [24],i38,-10,KND,KND,-,-,-,-
Drumming,f+1+2,high,-,-,-,-,-,-,-,20 [24],i23,+1,KND,KND,-,-,-,-
Heel Hook,f+3,mid,-,-,-,low,-,-,-,23 [27],i24,0 (OC),+4 (OC),STUN,-,-,-,-
-,"f, F+2",high,-,-,-,-,-,-,-,13 [15],i12,-5,+6,+6,-,-,-,-
Bird Chaser,"f, F+2, 4","high, high",-,-,-,-,-,-,-,"13 [15], 20",i12,-9,S!,-,-,-,-,-
-,"(f, F+2), 4",high,-,-,-,-,-,-,-,20 [24],i18,-9,S!,S!,-,-,-,-
Aerial Glide,"f, F+3",mid,-,-,-,low,-,-,-,20 [24],i24,-6,KND,STUN,-,-,-,-
Plover Kick,"f, F+4",mid,-,-,-,-,-,-,-,27 [32],i17,-13,KND,KND,-,-,-,-
Pheasant Heel,"f, f, f+3 (or WR 3)",mid,-,-,-,low,-,-,-,30 [36],i26,+1,KND,KND,-,-,-,-
-,d/f+1,mid,-,-,-,-,-,-,-,13 [15],i13,-1,+5,+5,-,-,-,-
Peck and Slap,"d/f+1, 1","mid, high",-,-,-,-,-,-,-,"13 [15], 8",i13,-5,+6,-,-,-,-,-
-,"(d/f+1), 1",high,-,-,-,-,-,-,-,8 [9],i17,-5,+6,+6,-,-,-,-
-,d/f+2,mid,-,-,-,-,-,-,-,17 [20],i17,-7,+4,+4,-,-,-,-
Nest Crasher,"d/f+2, 2","mid, mid",-,-,-,-,-,-,-,"17 [20], 21",i17,-10,KND,-,-,-,-,-
-,"(d/f+2), 2",mid,-,-,-,-,-,-,-,21 [25],i27,-10,KND,KND,-,-,-,-
