MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,3,1,-,-,-,-,-,21 [25],i35,+1,KND,KND,FLOAT,-16,4,-
-,1,high,1.5,0.5,-,-,-,-,-,7 [8],i10,+1,+8,+8,FLOAT,-16,1,-
-,"1, 1","high, high",1.5,1,-,-,YES,NC,-,"7 [8], 6",i10,-3,+6,-,FLOAT,-19,"1, 2",-
-,"(1), 1",high,1.25,1,-,-,-,-,-,6 [7],i15,-3,+6,+6,FLOAT,-19,2,-
Burst Punch Combo,"1, 1, 2","high, high, mid",1.5,0.5,-,-,YES,NC,WALL SPLAT,"7 [8], 6, 12",i10,-17,KND,-,FLOAT,-35,"1, 2, 1",-
-,"(1), 1, 2","high, mid",1.25,0.5,-,-,YES,NC,WALL SPLAT,"6 [7], 12",i15,-17,KND,-,FLOAT,-35,"2, 1",-
-,"(1), (1), 2",mid,2,0.5,SSR,-,-,-,WALL SPLAT,12 [14],i13,-17,KND,KND,FLOAT,-35,1,-
-,"1, 2","high, high",1.5,1,-,-,YES,NC,-,"7 [8], 8",i10,-3,+4,-,FLOAT,-21,"1,1",-
-,"(1), 2",high,1.25,1,-,-,-,-,-,8 [9],i10,-3,+4,+4,FLOAT,-21,1,-
Demon Hunter,"1, 2, 2","high, high, high",1.5,0.5,-,-,YES,NC,-,"7 [8], 8, 12",i10,-12,+4,-,FLOAT,-30,"1, 1, 1",-
-,"(1), 2, 2","high, high",1.25,0.5,-,-,YES,NC,-,"8 [9], 12",i10,-12,+4,-,FLOAT,-30,"1, 1",-
-,"(1), (2), 2",high,1.5,0.5,-,-,-,-,-,12 [14],i17,-12,+4,+4,FLOAT,-30,1,-
-,2,high,1.75,0.75,-,-,-,-,-,10 [12],i12,-3,+8,+8,FLOAT,-21,1,-
Binding Blows,"2, 1","high, mid",1.75,0.75,-,-,YES,NC,-,"10 [12], 10",i12,-5,+7,-,FLOAT,-23,"1, 1",-
-,"(2), 1",mid,1.75,0.75,SWR,-,-,-,-,10 [12],i16,-5,+7,+7,FLOAT,-23,1,-
-,3,mid,2,0.25,-,-,-,-,-,14 [16],i15,-8,+8,+8,FLOAT,-25,2,-
Impaling Knee to Steel Slicer,"3, 1","mid, mid",2,1,-,-,NO,NC,WALL BREAK / SPLAT,"14 [16], 20",i15,-13,+8,-,S!,-33,"2, 2",-
-,"(3), 1",mid,1,1,SWL / SWR,-,-,-,-,20 [24],i23,-13,+8,+8,S!,-33,2,-
Impaling Knee to Right Chop,"3, 2","mid, high",2,1,-,-,NO,NC,-,"14 [16], 17",i15,-1,KND,-,FLOOR BREAK,-28,"2, 2",-
-,"(3), 2",high,1,1,SSR,-,-,-,-,17 [20],i23,-1,KND,KND,FLOOR BREAK,-28,2,-
-,4,high,1,1,-,-,-,-,[WALL BREAK / SPLAT],18 [21],i11,-9,+5,LAUNCH,FLOAT,-26,2,-
