MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,25 [30],i16,-1,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 1","high, high",-,-,-,-,-,-,-,"7 [8], 6",i10,-1,+8,-,-,-,-,-
-,"(1), 1",high,-,-,-,-,-,-,-,6 [7],i15,-1,+8,+8,-,-,-,-
Flash Punch Combo,"1, 1, 2","high, high, mid",-,-,-,-,-,-,-,"7 [8], 6, 12",i10,-17,KND,-,-,-,-,-
-,"(1), 1, 2","high, mid",-,-,-,-,-,-,-,"6 [7], 12",i15,-17,KND,-,-,-,-,-
-,"(1), (1), 2",mid,-,-,-,-,-,-,-,12 [14],i13,-17,KND,KND,-,-,-,-
-,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 8",i10,-1,+7,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,8 [9],i10,-1,+7,+7,-,-,-,-
Demon Slayer,"1, 2, 2","high, high, high",-,-,-,-,-,-,-,"7 [8], 8, 12",i10,-12,+4,-,-,-,-,-
-,"(1), 2, 2","high, high",-,-,-,-,-,-,-,"8 [9], 12",i10,-12,+4,-,-,-,-,-
-,"(1), (2), 2",high,-,-,-,-,-,-,-,12 [14],i17,-12,+4,+4,-,-,-,-
-,"1, 2, 4","high, high, low",-,-,-,-,-,-,-,"7 [8], 8, 18",i10,-14,-3,-,-,-,-,-
-,"(1), 2, 4","high, low",-,-,-,-,-,-,-,"8 [9], 18",i10,-14,-3,-,-,-,-,-
-,"(1), (2), 4",low,-,-,-,-,-,-,-,18 [21],i23,-14,-3,0,-,-,-,-
Twin Fang Double Kick,"1, 2, 4, 3","high, high, low, mid",-,-,-,-,-,-,-,"7 [8], 8, 18, 25",i10,-2,KND,-,-,-,-,-
-,"(1), 2, 4, 3","high, low, mid",-,-,-,-,-,-,-,"8 [9], 18, 25",i10,-2,KND,-,-,-,-,-
-,"(1), (2), 4, 3","low, mid",-,-,-,-,-,-,-,"18 [21], 25",i23,-2,KND,-,-,-,-,-
-,"(1), (2), (4), 3",mid,-,-,-,-,-,-,-,25 [30],i32,-2,KND,KND,-,-,-,-
-,2,high,-,-,-,-,-,-,-,10 [12],i12,-3,+8,+8,-,-,-,-
