MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,21 [25],i30,-,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 15",i10,-1,+6,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,15 [18],i12,-1,+6,+6,-,-,-,-
Palm Strike to Head Jammer,"1, 2, 2+4","high, high, high throw",-,-,-,-,-,-,-,"7 [8], 15, 30",i10,-6,KND,-,-,-,-,-
-,"(1), 2, 2+4","high, high throw",-,-,-,-,-,-,-,"15 [18], 30",i12,-6,KND,-,-,-,-,-
-,"(1), (2), 2+4",high throw,-,-,-,-,-,-,-,30,i30,-6,KND,-,-,-,-,-
Palm Strike to V Driver,"1, 2, d+2+4","high, high, mid",-,-,-,-,-,-,-,"7 [8], 15, 45",i10,0,KND,-,-,-,-,-
-,"(1), 2, d+2+4","high, mid",-,-,-,-,-,-,-,"15 [18], 45",i12,0,KND,-,-,-,-,-
-,"(1), (2), d+2+4",mid,-,-,-,-,-,-,-,45,i27,0,KND,KND,-,-,-,-
Palm Attack to Uppercut,"1, 2, 1","high, high, mid",-,-,-,-,-,-,-,"7 [8], 15, 10",i10,-4,+5,-,-,-,-,-
-,"(1), 2, 1","high, mid",-,-,-,-,-,-,-,"15 [18], 10",i12,-4,+5,-,-,-,-,-
-,"(1), (2), 1",mid,-,-,-,-,-,-,-,10 [12],i24,-4,+5,+10,-,-,-,-
Palm Upper to Suplex,"1, 2, 1, 2+4","high, high, mid, high throw",-,-,-,-,-,-,-,"7 [8], 15, 10, 40",i10,-3,KND,-,-,-,-,-
-,"(1), 2, 1, 2+4","high, mid, high throw",-,-,-,-,-,-,-,"15 [18], 10, 40",i12,-3,KND,-,-,-,-,-
-,"(1), (2), 1, 2+4","mid, high throw",-,-,-,-,-,-,-,"10 [12], 40",i24,-3,KND,-,-,-,-,-
-,"(1), (2), (1), 2+4",high throw,-,-,-,-,-,-,-,40,i26,-3,KND,KND,-,-,-,-
Palm Upper to V Driver,"1, 2, 1, d+2+4","high, high, mid, mid",-,-,-,-,-,-,-,"7 [8], 15, 10, 45",i10,0,KND,-,-,-,-,-
-,"(1), 2, 1, d+2+4","high, mid, mid",-,-,-,-,-,-,-,"15 [18], 10, 45",i12,0,KND,-,-,-,-,-
-,"(1), (2), 1, d+2+4","mid, mid",-,-,-,-,-,-,-,"10 [12], 45",i24,0,KND,-,-,-,-,-
-,"(1), (2), (1), d+2+4",mid,-,-,-,-,-,-,-,45,i28,0,KND,KND,-,-,-,-
-,2,high,-,-,-,-,-,-,-,10 [12],i10,+1,+7,+7,-,-,-,-
Jab Uppercut,"2, 1","high, mid",-,-,-,-,-,-,-,"10 [12], 15",i10,-2,+5,-,-,-,-,-
-,"(2), 1",mid,-,-,-,-,-,-,-,15 [18],i23,+5,+5,+5,-,-,-,-
-,3,high,-,-,-,-,-,-,-,25 [30],17,-14,KND,KND,-,-,-,-
-,4,high,-,-,-,-,-,-,-,20 [24],i13,-5,+6,LAUNCH,-,-,-,-
Head Spinner,"1+2, 1","mid, mid",-,-,-,-,-,-,-,"18 [21], 21",i18,-13,KND,-,-,-,-,-
-,"(1+2), 1",mid,-,-,-,-,-,-,-,21 [25],i22,-13,KND,KND,-,-,-,-
Brutal Sting,"1+2, 3","mid, high",-,-,-,-,-,-,-,"18 [21], 25",i18,-3,KND,-,-,-,-,-
-,"(1+2), 3",high,-,-,-,-,-,-,-,25 [30],i24,-3,KND,KND,-,-,-,-
High Elbow Drop,u/f+2,mid,-,-,-,"low, mid, high",-,-,-,35 [42],i47,-17,KND,KND,-,-,-,-
Falling Heel Kick,u/f+3,mid,-,-,-,low,-,-,-,23 [27],i22,-3,KND,KND,-,-,-,-
Jumping Knee Lift,u/f+4,mid,-,-,-,low,-,-,-,13 [15],i15,-13,LAUNCH,LAUNCH,-,-,-,-
Capital Punishment,u/f+1+2,mid,-,-,-,low,-,-,-,25 [30],i35,+2,STUN,STUN,-,-,-,-
Neck Cutter Kick,u/f+3+4,high,-,-,-,low,-,-,-,28 [33],i13,-14,KND,KND,-,-,-,-
-,f+2,mid,-,-,-,-,-,-,-,12 [14],i15,-11,+2,+2,-,-,-,-
Elbow Impact,"f+2, 1","mid, high",-,-,-,-,-,-,-,"12 [14], 25",i15,-9,KND,KND,-,-,-,-
-,"(f+2), 1",high,-,-,-,-,-,-,-,25 [30],i18,-9,KND,KND,-,-,-,-
Jaguar Smash Combo,"f+2, d+1, 2","mid, mid, mid",-,-,-,-,-,-,-,"12 [14], 15, 16",i15,-15,LAUNCH,-,-,-,-,-
-,"(f+2), d+1, 2","mid, mid",-,-,-,-,-,-,-,"15 [18], 16",i22,-15,LAUNCH,-,-,-,-,-
-,"(f+2), (d+1), 2",mid,-,-,-,-,-,-,-,16 [19],i22,-15,LAUNCH,LAUNCH,-,-,-,-
Front Kick,f+3,mid,-,-,-,-,-,-,-,18 [21],i15,-8,+1,+9,-,-,-,-
Front Kick to DDT,"f+3, (during hit from front) 1+2",mid,-,-,-,-,-,-,-,"18 [21], 20",i15,-,KND,KND,-,-,-,-
Rolling Sobat,f+4,mid,-,-,-,low,-,-,-,25 [30],i18,-9,KND,KND,-,-,-,-
Shadow Lariat,f+1+2,high,-,-,-,-,-,-,-,23 [27],i17,-1,KND,KND,-,-,-,-
Body Check,f+1+4,mid,-,-,-,-,-,-,-,21 [25],i17,+3,+7,+7,-,-,-,-
