MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,-,-,-,-,21 [25],i26,+4,STUN,STUN,-,-,-,-
-,1,high,-,-,-,-,-,-,-,10 [12],i11,0,+6,+6,-,-,-,-
Left Right Bear Claw,"1, 2","high, high",-,-,-,-,-,-,-,"10 [12], 12",i11,-5,+6,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,12 [14],i13,-5,+6,+6,-,-,-,-
-,2,high,-,-,-,-,-,-,-,10 [12],i10,-1,+6,+6,-,-,-,-
-,"2, 1","high, mid",-,-,-,-,-,-,-,"10 [12], 11",i10,-3,+2,-,-,-,-,-
-,"(2), 1",mid,-,-,-,-,-,-,-,11 [13],i16,-3,+2,+2,-,-,-,-
Jab Elbow Smash,"2, 1, 2","high, mid, mid",-,-,-,-,-,-,-,"10 [12], 11, 22",i10,-14,LAUNCH,-,-,-,-,-
-,"(2), 1, 2","mid, mid",-,-,-,-,-,-,-,"11 [13], 22",i16,-14,LAUNCH,-,-,-,-,-
-,"(2), (1), 2",mid,-,-,-,-,-,-,-,22 [26],i33,-14,LAUNCH,LAUNCH,-,-,-,-
Jab Elbow Stomp,"2, 1, 3","high, mid, low",-,-,-,-,-,-,-,"10 [12], 11, 13",i10,-13,-2,-,-,-,-,-
-,"(2), 1, 3","mid, low",-,-,-,-,-,-,-,"11 [13], 13",i16,-13,-2,-,-,-,-,-
-,"(2), (1), 3",low,-,-,-,-,-,-,-,13 [15],i18,-13,-2,-2,-,-,-,-
-,3,high,-,-,-,-,-,-,-,25 [30],i18,-5,KND,KND,-,-,-,-
-,4,high,-,-,-,-,-,-,-,20 [24],i14,-6,+5,LAUNCH,-,-,-,-
-,1+2,mid,-,-,-,-,-,-,-,17 [20],i17,-11,0 (OC),+8 (OC),-,-,-,-
-,"1+2, 1+2","mid, mid",-,-,-,-,-,-,-,"17 [20], 16",i17,-18,LAUNCH,-,-,-,-,-
-,"(1+2), 1+2",mid,-,-,-,high,-,-,-,16 [19],i24,-18,LAUNCH,LAUNCH,-,-,-,-
Triple Hammer,"1+2, 1+2, 1+2","mid, mid, mid",-,-,-,-,-,-,-,"17 [20], 16, 18",i17,-22,KND,-,-,-,-,-
-,"(1+2), 1+2, 1+2","mid, mid",-,-,-,-,-,-,-,"16 [19], 18",i24,-22,KND,-,-,-,-,-
-,"(1+2), (1+2), 1+2",mid,-,-,-,-,-,-,-,27 [32],i19,-22,KND,KND,-,-,-,-
Bear Skip,u+1+2,low,-,-,-,low,-,-,-,25 [30],i31,-17,KND,KND,-,-,-,-
Hornet Sweep,u/f+1,mid,-,-,-,-,-,-,-,20 [24],i26,-6,+4,+4,-,-,-,-
-,u/f+2,high,-,-,-,-,-,-,-,17 [20],i15,-12,+9,+9,-,-,-,-
-,u/f+3,mid,-,-,-,low,-,-,-,13 [15],i16,-13,LAUNCH,LAUNCH,-,-,-,-
-,"u/f+3, 4","mid, mid",-,-,-,-,-,-,-,"13 [15], 9",i16,-11,KND,-,-,-,-,-
-,"(u/f+3), 4",mid,-,-,-,low,-,-,-,13 [15],i10,-11,LAUNCH,LAUNCH,-,-,-,-
Bear Double Hop Kick Combo,"u/f+3, 4, 1+2","mid, mid, mid",-,-,-,-,-,-,-,"13 [15], 9, 11",i16,-16,KND,-,-,-,-,-
-,"(u/f+3), 4, 1+2","mid, mid",-,-,-,-,-,-,-,"13 [15], 11",i10,-16,KND,-,-,-,-,-
-,"(u/f+3), (4), 1+2",mid,-,-,-,-,-,-,-,22 [26],i17,-16,KND,KND,-,-,-,-
-,u/f+4,mid,-,-,-,low,-,-,-,20 [24],i29,-6,KND,KND,-,-,-,-
Kuma Hell Axle,"u/f+4, 3","mid, mid",-,-,-,-,-,-,-,"20 [24], 14",i29,+7,S!,-,-,-,-,-
Big Bear Attack,u/f+1+2,mid,-,-,-,low,-,-,-,25 [30],i18,-4,+3,+3,-,-,-,-
Pancake Press,u/f+3+4,mid,-,-,-,low,-,-,-,21 [25],i34,-35,KND,KND,-,-,-,-
