MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,25 [30],i16,-1,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 1","high, mid",-,-,-,-,-,-,-,"7 [8], 10",i10,-8,0,-,-,-,-,-
-,"(1), 1",mid,-,-,-,-,-,-,-,10 [12],i18,-8,0,0,-,-,-,-
Delta Slicer,"1, 1, 1","high, mid, mid",-,-,-,-,-,-,-,"7 [8], 10, 17",i10,-12,+3 (OC),-,-,-,-,-
-,"(1), 1, 1","mid, mid",-,-,-,-,-,-,-,"10 [12], 17",i18,-12,+3 (OC),-,-,-,-,-
-,"(1), (1), 1",mid,-,-,-,-,-,-,-,17 [20],i25,-12,+3 (OC),KND,-,-,-,-
One-Two Combination,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 9",i10,-1,+7,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,9 [10],i10,-1,+7,+7,-,-,-,-
Legionnaire's Spin,"1, 4","high, low",-,-,-,-,-,-,-,"7 [8], 10",i10,-12,+1,-,-,-,-,-
-,"(1), 4",low,-,-,-,-,-,-,-,10 [12],i22,-12,+1,+1,-,-,-,-
-,2,high,-,-,-,-,-,-,-,10 [12],i10,0,+8,+8,-,-,-,-
-,"2, 1","high, mid",-,-,-,-,-,-,-,"10 [12], 7",i10,-7,+4,-,-,-,-,-
-,"(2), 1",mid,-,-,-,-,-,-,-,7 [8],i16,-7,+4,+4,-,-,-,-
Lightning Assault Middle,"2, 1, 3","high, mid, mid",-,-,-,-,-,-,-,"10 [12], 7, 20",i10,-12,KND,-,-,-,-,-
-,"(2), 1, 3","mid, mid",-,-,-,-,-,-,-,"7 [8], 20",i16,-12,KND,-,-,-,-,-
-,"(2), (1), 3",mid,-,-,-,-,-,-,-,20 [24],i26,-12,KND,KND,-,-,-,-
Lightning Assault High,"2, 1, 4","high, mid, high",-,-,-,-,-,-,-,"10 [12], 7, 27",i10,-7,KND,-,-,-,-,-
-,"(2), 1, 4","mid, high",-,-,-,-,-,-,-,"7 [8], 27",i16,-7,KND,-,-,-,-,-
-,"(2), (1), 4",high,-,-,-,-,-,-,-,27 [32],i17,-7,KND,KND,-,-,-,-
