MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
*,"Back towards wall... b, b, u/b",mid,1.5,0.25,-,-,-,-,-,25 [30],i16,-1,KND,KND,-,-,-,-
-,1,high,1,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 1","high, high",1,-,-,-,-,-,-,"7 [8], 5",i10,-7,-8,-,-,-,-,-
-,"(1), 1",high,1,-,-,-,-,-,-,5 [6],i18,-7,-8,-8,-,-,-,-
-,"1, 1, 1","high, high, high",1,-,-,-,-,-,-,"7 [8], 5, 5",i10,-7,-8,-,-,-,-,-
-,"(1), 1, 1","high, high",1,-,-,-,-,-,-,"5 [6], 5",i18,-7,-8,-,-,-,-,-
-,"(1), (1), 1",high,1,-,-,-,-,-,-,5 [6],i18,-7,-8,-8,-,-,-,-
-,"1, 1, 1, 1","high, high, high, high",1,-,-,-,-,-,-,"7 [8], 5, 5, 5",i10,-7,-8,-,-,-,-,-
-,"(1), 1, 1, 1","high, high, high",1,-,-,-,-,-,-,"5 [6], 5, 5",i18,-7,-8,-,-,-,-,-
-,"(1), (1), 1, 1","high, high",1,-,-,-,-,-,-,"5 [6], 5",i18,-7,-8,-,-,-,-,-
-,"(1), (1), (1), 1",high,1,-,-,-,-,-,-,5 [6],i18,-7,-8,-8,-,-,-,-
Machine Gun Arrow,"1, 1, 1, 1, 1","high, high, high, high, high",1,-,-,-,-,-,-,"7 [8], 5, 5, 5, 5",i10,-7,+13,-,-,-,-,-
-,"(1), 1, 1, 1, 1","high, high, high, high",1,-,-,-,-,-,-,"5 [6], 5, 5, 5",i18,-7,+13,-,-,-,-,-
-,"(1), (1), 1, 1, 1","high, high, high",1,-,-,-,-,-,-,"5 [6], 5, 5",i18,-7,+13,-,-,-,-,-
-,"(1), (1), (1), 1, 1","high, high",1,-,-,-,-,-,-,"5 [6], 5",i18,-7,+13,-,-,-,-,-
-,"(1), (1), (1), (1), 1",high,1,-,-,-,-,-,-,5 [6],i18,-7,+13,+13,-,-,-,-
Left Right Combo,"1, 2","high, high",1,-,-,-,-,-,-,"7 [8], 8",i10,-1,+6,-,-,-,-,-
-,"(1), 2",high,1.25,-,-,-,-,-,-,8 [9],i12,-1,+6,+6,-,-,-,-
-,"1, 2, 2","high, high, mid",1,-,-,-,-,-,-,"7 [8], 8, 10",i10,-8,+4,-,-,-,-,-
-,"(1), 2, 2","high, mid",1.25,-,-,-,-,-,-,"8 [9], 10",i12,-8,+4,-,-,-,-,-
-,"(1), (2), 2",mid,2,-,-,-,-,-,-,10 [12],i20,-8,+4,+4,-,-,-,-
Left Right Dragon Fist Combo,"1, 2, 2, 2","high, high, mid, high",1,-,-,-,-,-,-,"7 [8], 8, 10, 10",i10,-9,+4,-,-,-,-,-
-,"(1), 2, 2, 2","high, mid, high",1.25,-,-,-,-,-,-,"8 [9], 10, 10",i12,-9,+4,-,-,-,-,-
-,"(1), (2), 2, 2","mid, high",2,-,-,-,-,-,-,"10 [12], 10",i20,-9,+4,-,-,-,-,-
-,"(1), (2), (2), 2",high,1,-,-,-,-,-,-,10 [12],i13,-9,+4,+4,-,-,-,-
Left Right Blazing Fist Combo,"1, 2, 2, 1+2","high, high, mid, mid",1,-,-,-,-,-,-,"7 [8], 8, 10, 21",i10,-13,KND,-,-,-,-,-
-,"(1), 2, 2, 1+2","high, mid, mid",1.25,-,-,-,-,-,-,"8 [9], 10, 21",i12,-13,KND,-,-,-,-,-
-,"(1), (2), 2, 1+2","mid, mid",2,-,-,-,-,-,-,"10 [12], 21",i20,-13,KND,-,-,-,-,-
-,"(1), (2), (2), 1+2",mid,0.75,-,-,-,-,-,-,21 [25],i19,-13,KND,KND,-,-,-,-
Left Right to Knee,"1, 2, 3","high, high, mid",1,-,-,-,-,-,-,"7 [8], 8, 10",i10,-6,KND,-,-,-,-,-
-,"(1), 2, 3","high, mid",1.25,-,-,-,-,-,-,"8 [9], 10",i12,-6,KND,-,-,-,-,-
-,"(1), (2), 3",mid,1.75,-,-,-,-,-,-,10 [12],i15,-6,KND,KND,-,-,-,-
-,"1, 2, u/f+3","high, high",1,-,-,-,-,-,-,"7 [8], 8",i10,-37,-30,-,-,-,-,-
-,"(1), 2, u/f+3",high,1.25,-,-,-,-,-,-,8 [9],i12,-37,-30,-,-,-,-,-
-,"(1), (2), u/f+3",-,-,-,-,low,-,-,-,-,-,-,-,-,-,-39,-,-
Left Right Combo to Somersault Feint,"1, 2, u/f+3, 4","high, high, mid",1,-,-,-,-,-,-,"7 [8], 8, 20",i10,-9,LAUNCH,-,-,-,-,-
-,"(1), 2, u/f+3, 4","high, mid",1.25,-,-,-,-,-,-,"8 [9], 20",i12,-9,LAUNCH,-,-,-,-,-
-,"(1), (2), (u/f+3), 4",mid,1.5,-,-,-,-,-,-,20 [24],i10,-9,LAUNCH,LAUNCH,-,-,-,-
-,2,high,1,-,-,-,-,-,-,8 [9],i10,0,+6,+6,-,-,-,-
-,"2, 2","high, mid",1,-,-,-,-,-,-,"8 [9], 10",i20,-8,+4,-,-,-,-,-
-,"(2), 2",mid,2,-,-,-,-,-,-,10 [12],i10,-8,+4,+4,-,-,-,-
Rave War Combo,"2, 2, 2","high, mid, high",1,-,-,-,-,-,-,"8 [9], 10, 10",i10,-9,+4,-,-,-,-,-
-,"(2), 2, 2","mid, high",2,-,-,-,-,-,-,"10 [12], 10",i20,-9,+4,-,-,-,-,-
-,"(2), (2), 2",high,1,-,-,-,-,-,-,10 [12],i13,-9,+4,+4,-,-,-,-
Blazing Fist Combo,"2, 2, 1+2","high, mid, high",1,-,-,-,-,-,-,"8 [9], 10, 21",i10,-13,KND,-,-,-,-,-
-,"(2), 2, 1+2","mid, high",2,-,-,-,-,-,-,"10 [12], 21",i20,-13,KND,-,-,-,-,-
-,"(2), (2), 1+2",high,0.75,-,-,-,-,-,-,21 [25],i19,-13,KND,KND,-,-,-,-
-,"2, b+2, 1","high, high, high",1,-,-,-,-,-,-,"8 [9], 8, 8",i10,-3,+3,-,-,-,-,-
-,"(2), b+2, 1","high, high",1.75,-,-,-,-,-,-,"8 [9], 8",i17,-3,+3,-,-,-,-,-
-,"(2), (b+2), 1",high,1.75,-,-,-,-,-,-,8 [9],i23,-3,+3,+3,-,-,-,-
Rage Dragon Combo,"2, b+2, 1, 2","high, high, high, mid",1,-,-,-,-,-,-,"8 [9], 8, 8, 21",i10,-3 (OC),KND,-,-,-,-,-
-,"(2), b+2, 1, 2","high, high, mid",1.75,-,-,-,-,-,-,"8 [9], 8, 21",i17,-3 (OC),KND,-,-,-,-,-
-,"(2), (b+2), 1, 2","high, mid",1.75,-,-,-,-,-,-,"8 [9], 21",i23,-3 (OC),KND,-,-,-,-,-
-,"(2), (b+2), (1), 2",mid,2,-,-,-,-,-,-,21 [25],i20,-3 (OC),KND,GROUND BOUNCE,-,-,-,-
-,"2, b+2, 1, 2, D","high, high, high, mid",1,-,-,-,-,-,-,"8 [9], 8, 8, 21",i10,-3 (OC),KND,-,-,-,-,-
-,3,high,1,-,-,-,-,-,-,12 [14],i12,-9,+2,+2,-,-,-,-
Feint to Middle Kick,"3, 3","high, mid",1,-,-,-,-,-,-,"12 [14], 17",i12,-14,-3,-,-,-,-,-
-,"(3), 3",mid,1.75,-,-,-,-,-,-,17 [20],i27,-14,-3,KND,-,-,-,-
High Kick to Bloody Cleaver,"3, 4","high, high",1,-,-,-,-,-,-,"12 [14], 20",i12,-10,KND,-,-,-,-,-
-,"(3), 4",high,-,-,-,-,-,-,-,20 [24],i22,-10,KND,KND,-,-,-,-
-,4,high,-,-,-,-,-,-,-,14 [16],i11,-9,+7,LAUNCH,-,-,-,-
-,"4, 3","high, high",-,-,-,-,-,-,-,"14 [16], 12 [8]",i11,-14,-5,-,-,-,-,-
-,"(4), 3",high,-,-,-,-,-,-,-,12 [14],i18,-14,-5,-5,-,-,-,-
Shaolin Spin Kicks,"4, 3, 4","high, high, high",-,-,-,-,-,-,-,"14 [16], 12 [8], 14 [7]",i11,-6,-1,LAUNCH,-,-,-,-
-,"(4), 3, 4","high, high",-,-,-,-,-,-,-,"12 [14], 14",i18,-6,-1,-,-,-,-,-
-,"(4), (3), 4",high,-,-,-,-,-,-,-,14 [16],i20,-6,-1,LAUNCH,-,-,-,-
Crescent Kick Combo,"4, u+3","high, mid",-,-,-,-,-,-,-,"14 [16], 23",i11,-1,KND,-,-,-,-,-
-,"(4), u+3",mid,-,-,-,low,-,-,-,23 [27],i33,-1,KND,KND,-,-,-,-
-,3+4,"mid, mid",-,-,-,low,-,-,-,"5 [6], 12",i14,-12,KND,-,-,-,-,-
-,3+4 (second hit only),mid,-,-,-,-,-,-,-,12 [14],i26,-12,KND,KND,-,-,-,-
Pressing Kick Combo,"3+4, 4","mid, mid, high",-,-,-,-,-,-,-,"5 [6], 12, 11",i14,-13,S!,-,-,-,-,-
-,"3+4 (second hit only), 4","mid, high",-,-,-,-,-,-,-,"12 [14], 11",i26,-13,S!,-,-,-,-,-
-,"(3+4), 4",high,-,-,-,-,-,-,-,17 [20],i20,-13,+5,+5,-,-,-,-
-,u/f+1,high,-,-,-,-,-,-,-,10 [12],i12,-5,+6,+6,-,-,-,-
