MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,-,-,-,-,21 [25],i35,+1 (BT),KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
Left Right Combo,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 9",i10,-1,+5,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,9 [10],i12,-1,+5,+5,-,-,-,-
-,"1, 2, 2","high, high, mid",-,-,-,-,-,-,-,"7 [8], 9, 14",i10,-13,-2,-,-,-,-,-
-,"(1), 2, 2","high, mid",-,-,-,-,-,-,-,"9 [10], 14",i12,-13,-2,-,-,-,-,-
-,"(1), (2), 2",mid,-,-,-,-,-,-,-,14 [16],i20,-13,-2,-2,-,-,-,-
Left Right Combo to Revolution Zwei,"1, 2, 2, 3","high, high, mid, high",-,-,-,-,-,-,-,"7 [8], 9, 14, 23",i10,-3,KND,-,-,-,-,-
-,"(1), 2, 2, 3","high, mid, high",-,-,-,-,-,-,-,"9 [10], 14, 23",i12,-3,KND,-,-,-,-,-
-,"(1), (2), 2, 3","mid, high",-,-,-,-,-,-,-,"14 [16], 23",i20,-3,KND,-,-,-,-,-
-,"(1), (2), (2), 3",high,-,-,-,-,-,-,-,23 [27],i21,-3,KND,KND,-,-,-,-
Left Right Mid Kick,"1, 2, 4","high, high, mid",-,-,-,-,-,-,-,"7 [8], 9, 10",i10,-12,-1,-,-,-,-,-
-,"(1), 2, 4","high, mid",-,-,-,-,-,-,-,"9 [10], 10",i12,-12,-1,-,-,-,-,-
-,"(1), (2), 4",mid,-,-,-,-,-,-,-,10 [12],i18,-12,-1,-1,-,-,-,-
Left Right Max Mid,"1, 2, 4*","high, high, mid",-,-,-,-,-,-,-,"7 [8], 9, 22",i10,-7,0,-,-,-,-,-
-,"(1), (2), 4*",mid,-,-,-,-,-,-,-,22 [26],i13,-7,0,STUN,-,-,-,-
-,"1, 3","high, high",-,-,-,-,-,-,-,"7 [8], 5",i10,-11,0,-,-,-,-,-
-,"(1), 3",high,-,-,-,-,-,-,-,5 [6],i16,-11,0,0,-,-,-,-
-,"1, 3:3","high, high, mid",-,-,-,-,-,-,-,"7 [8], 5, 4",i25,-10,+1,-,-,-,-,-
Acid Rain Kick Combination,"1, 3:3:3","high, high, mid, high",-,-,-,-,-,-,-,"7 [8], 5, 4, 12",i36,-18,KND,-,-,-,-,-
-,2,high,-,-,-,-,-,-,-,10 [12],i10,+1,+7,+7,-,-,-,-
-,"2, 1","high, high",-,-,-,-,-,-,-,"10 [12], 8",i10,-5,+6,-,-,-,-,-
-,"(2), 1",high,-,-,-,-,-,-,-,8 [9],i15,-5,+6,+6,-,-,-,-
Combination Drei,"2, 1, 1","high, high, mid",-,-,-,-,-,-,-,"10 [12], 8, 18",i10,-12,+3,-,-,-,-,-
-,"(2), 1, 1","high, mid",-,-,-,-,-,-,-,"8 [9], 18",i15,-12,+3,-,-,-,-,-
-,"(2), (1), 1",mid,-,-,-,-,-,-,-,18 [21],i20,-12,+3,KND,-,-,-,-
Combination Funf,"2, 1, 3","high, high, high",-,-,-,-,-,-,-,"10 [12], 8, 20",i10,-4,KND,-,-,-,-,-
-,"(2), 1, 3","high, high",-,-,-,-,-,-,-,"8 [9], 20",i15,-4,KND,-,-,-,-,-
-,"(2), (1), 3",high,-,-,-,-,-,-,-,20 [24],i24,-4,KND,KND,-,-,-,-
Combination Vier,"2, 1, 4","high, high, low",-,-,-,-,-,-,-,"10 [12], 8, 18",i10,-4,0,-,-,-,-,-
-,"(2), 1, 4","high, low",-,-,-,-,-,-,-,"8 [9], 18",i15,-4,0,-,-,-,-,-
-,"(2), (1), 4",low,-,-,-,-,-,-,-,18 [21],i24,-4,0,+10,-,-,-,-
-,"2, 2","high, mid",-,-,-,-,-,-,-,"10 [12], 14",i10,-13,-2,-,-,-,-,-
-,"(2), 2",mid,-,-,-,-,-,-,-,14 [16],i20,-13,-2,-2,-,-,-,-
Right Cross to Revolution Zwei,"2, 2, 3","high, mid, high",-,-,-,-,-,-,-,"10 [12], 14, 23",i10,-3,KND,-,-,-,-,-
-,"(2), 2, 3","mid, high",-,-,-,-,-,-,-,"14 [16], 23",i20,-3,KND,-,-,-,-,-
-,"(2), (2), 3",high,-,-,-,-,-,-,-,23 [27],i21,-3,KND,KND,-,-,-,-
Mist Kick,3,mid,-,-,-,-,-,-,-,16 [19],i14,-8,+7,+7,-,-,-,-
Mist Wolf Combination,"3, 3","mid, high",-,-,-,-,-,-,-,"16 [19], 18",i14,-10,+1,-,-,-,-,-
-,"(3), 3",high,-,-,-,-,-,-,-,18 [21],i17,-10,+1,+1,-,-,-,-
Trick Kick,3~3,high,-,-,-,-,-,-,-,18 [21],i17,-10,+1,+1,-,-,-,-
-,4,high,-,-,-,-,-,-,-,16 [19],i11,-9,+7,LAUNCH,-,-,-,-
-,"4, 3","high, high",-,-,-,-,-,-,-,"16 [19], 14",i11,-14,-3,-,-,-,-,-
-,"(4), 3",high,-,-,-,-,-,-,-,14 [16],i18,-14,-3,+2,-,-,-,-
Spinning Hammer Kick,"4, 3, 3","high, high, mid",-,-,-,-,-,-,-,"16 [19], 14, 17",i11,-13,+8 (OC),-,-,-,-,-
-,"(4), 3, 3","high, mid",-,-,-,-,-,-,-,"14 [16], 17",i18,-13,+8 (OC),-,-,-,-,-
-,"(4), (3), 3",mid,-,-,-,-,-,-,-,17 [20],i19,-13,+8 (OC),KND,-,-,-,-
Spin Kick Somersault Combo,"4, 3, 4","high, high, mid",-,-,-,-,-,-,-,"16 [19], 14, 25",i11,-9,KND,-,-,-,-,-
