MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,RECOVERY,ACTIVE,NOTES
-,1,high,1.5,0.5,-,-,-,-,-,7 [8],i10,+1,+8,+8,FLOAT,-16,1,-
Serpent Strike,"1, 1","high, high",1.5,1,-,-,YES,NC,-,"7 [8], 12",i10,-6,+5,-,FLOAT,-24,"1, 1",-
-,"(1), 1",high,1.5,1.5, ,-,-,-,-,12 [14],i12,-6,+5,+5,FLOAT,-24,1,-
Left Right Punch,"1, 2","high, high",1.5,0.5,-,-,YES,NC,-,"7 [8], 12",i10,-1,+6,-,FLOAT,-18,"1, 1",-
-,"(1), 2",high,1.5,1.5,-,-,-,-,-,12 [14],i12,-1,+6,+6,FLOAT,-18,1,-
-,2,high,1.5,0.25,-,-,-,-,-,10 [12],i10,0,+6,+6,FLOAT,-18,1,-
-,"2, 1","high, mid",1.5,1,-,-,YES,NC,-,"10 [12], 13",i10,-8,+3,-,FLOAT,-26,"1, 1",-
-,"(2), 1",mid,1.25,1.5,SSR,-,-,-,-,13 [15],i15,-8,+3,+3,FLOAT,-26,1,-
Yue Ya Lian Tui,"2, 1, 3+4","high, mid, mid, mid",1.5,0,-,-,YES,NO,WALL BREAK / SPLAT,"10 [12], 13, 12, 14",i10,-11,KND,-,FLOAT,-28,"1, 1, 2, 2",-
-,"(2), 1, 3+4","mid, mid, mid",1.25,0,-,-,YES,NCc,WALL BREAK / SPLAT,"13 [15], 12, 14",i15,-11,KND,-,FLOAT,-28,"1, 2, 2",-
-,"(2), (1), 3+4","mid, mid",1.75,0.25,SSL / SSR,low,-,-,WALL BREAK / SPLAT,"12 [14], 14",i18,-11,KND,KND,FLOAT,-28,"2, 2",-
-,"(2), (1), 3+4 (second hit only)",mid,1,0.5,-,low,-,-,WALL BREAK / SPLAT,14 [16],i32,-11,KND,KND,FLOAT,-28,2,-
-,3,high,1.75,1.5,SWL,-,-,-,-,30 [36],i14,-9,-4,-3,S!,-32,1,-
High and Low Kicks,"3, 3","high, low",1.75,2,-,-,NO,NC,-,"30 [36], 17",i14,-13,KND,-,S!,-31,"1, 1",-
-,"(3), 3",low,1.75,2,SWL / SWR,-,-,-,-,17 [20],i31,-13,KND,KND,FLOAT,-31,1,-
-,4,high,1.5,1.75,-,-,-,-,-,16 [19],i12,-9,+5,LAUNCH,FLOAT,-27,1,-
Clean Sweep,"4~3, D",mid,3.75,-,SSR,"high, low",-,-,WALL BREAK / SPLAT,25 [30],i29,-16,+4,-,S!,-36,4,-
-,"4~4, D",low,2,0.5,-,"high, mid",-,-,-,7 [8],i15,-15,-4,-4,FLOAT,-34,1,-
-,"4~4, 3, D","low, low, mid",2,-,-,"high, mid",NO,NCc,-,"7 [8], 7",i15,-2,+9,-,FLOAT,-21,"1, 1",-
Lift Up Cannon,"4~4, 3, 3, D","low, low, mid",2,-,-,-,NO,NO,WALL SPLAT,"7 [8], 7, 24",i15,-7,LAUNCH,-,BACK FLIP,-35,"1, 1, 2",-
Hook Punch to Spiral Upper,"1+2, 2","high, mid",1.5,0.25,-,-,NO,NCc,WALL BREAK / SPLAT,"16 [19], 21",i14,-10,KND,-,BACK FLIP,-27,"1, 2",-
-,"(1+2), 2",mid,2.5,1,-,-,-,-,WALL BREAK / SPLAT,21 [25],i30,-10,KND,LAUNCH,BACK FLIP,-27,2,-
-,f+3,mid,2,0.5,-,-,-,-,-,20 [24],i16,-12,-1,-1,FLOAT,-30,1,-
-,"f+3, 1","mid, high",2,0.25,-,-,NO,NC,-,"20 [24], 12",i16,-3,+8,-,FLOAT,-21,"1, 1",-
-,"(f+3), 1",high,3,1.5,-,-,-,-,-,12 [14],i20,-3,+8,+8,FLOAT,-21,1,-
Howling Dog Rush,"f+3, 1, 2","mid, high, mid",2,1,-,-,NO,NO,WALL SPLAT,"20 [24], 12, 12",i16,-12,LAUNCH,-,TURN OVER,-30,"1, 1, 1",-
-,"(f+3), 1, 2","high, mid",3,1,-,-,NO,NCc,WALL SPLAT,"12 [14], 12",i20,-12,LAUNCH,-,TURN OVER,-30,"1, 1",-
-,"(f+3), (1), 2",mid,2.5,1.5,SSL,-,-,-,WALL SPLAT,12 [14],i25,-12,LAUNCH,LAUNCH,TURN OVER,-30,1,-
-,f+4,high,2.5,0.5,SWR,-,-,-,-,26 [31],i23,-12,+3,STUN,TAIL SPIN,-32,5,-
-,"f+4, 2","high, mid",2.5,0.5,-,-,NO,NCc,-,"26 [31], 12 [8]",i23,0,+6,-,TAIL SPIN,-18,"3, 1",-
-,"(f+4), 2",mid,1.5,1.5,SSR,-,-,-,-,12 [14],i27,0,+6,+6,TAIL SPIN,-18,1,-
-,"f+4, 2, 1","high, mid, mid",2.5,1,-,-,NO,NCc,-,"26 [31], 12 [8], 12 [6]",i23,-12,-1,-,TAIL SPIN,-30,"3, 1, 1",-
-,"(f+4), 2, 1","mid, mid",1.5,1.5,-,-,YES,NC,-,"12 [14], 12",i27,-12,-1,-,TAIL SPIN,-30,"1, 1",-
-,"(f+4), (2), 1",mid,1.5,1.5,-,-,-,-,-,12 [14],i9,-12,-1,-1,TAIL SPIN,-30,1,-
-,"f+4, 2, 1, 2","high, mid, mid, mid",2.5,1,-,-,NO,NCc,-,"26 [31], 12 [8], 12 [6], 8 [3]",i23,-12,-1,-,FLOAT,-30,"3, 1, 1, 1",-
-,"(f+4), 2, 1, 2","mid, mid, mid",1.5,1,-,-,YES,NO,-,"12 [14], 12, 8",i27,-12,-1,-,FLOAT,-30,"1, 1, 1",-
-,"(f+4), (2), 1, 2","mid, mid",1.5,0.5,-,-,YES,NCc,-,"12 [14], 8",i9,-12,-1,-,FLOAT,-30,"1, 1",-
-,"(f+4), (2), (1), 2",mid,1.5,0.5,SSL,-,-,-,-,8 [9],i15,-12,-1,-1,FLOAT,-30,1,-
Beating Kick Low Combo,"f+4, 2, 1, 2, 3","high, mid, mid, mid, low",2.5,1.5,-,-,NO,NCc,-,"26 [31], 12 [8], 12 [6], 8 [3]",i23,-17,-6,-,FLOAT,-35,"3, 1, 1, 1, 1",-
-,"(f+4), 2, 1, 2, 3","mid, mid, mid, low",1.5,1.5,-,-,NO,NO,-,"12 [14], 12, 8, 12",i27,-17,-6,-,FLOAT,-35,"1, 1, 1, 1",-
-,"(f+4), (2), 1, 2, 3","mid, mid, low",1.5,1.5,-,-,NO,NO,-,"12 [14], 8, 12",i9,-17,-6,-,FLOAT,-35,"1, 1, 1",-
-,"(f+4), (2), (1), 2, 3","mid, low",1.5,1.5,-,-,NO,NCc,-,"8 [9], 12",i15,-17,-6,-,FLOAT,-35,"1, 1",-
-,"(f+4), (2), (1), (2), 3",low,1.5,1,SSL / SSR,-,-,-,-,12 [14],i21,-17,-6,KND,FLOAT,-35,1,-
Beating Kick Mid Combo,"f+4, 2, 1, 2, 4","high, mid, mid, mid, mid",2.5,1.5,-,-,NO,NCc,WALL BREAK / SPLAT,"26 [31], 12 [8], 12 [6], 8 [3], 12 [3]",i23,-9,KND,-,FLOAT,-27,"3, 1, 1, 1, 1",-
-,"(f+4), 2, 1, 2, 4","mid, mid, mid, mid",1.5,1.5,-,-,NO,NO,WALL BREAK / SPLAT,"12 [14], 12, 8, 12",i27,-9,KND,-,FLOAT,-27,"1, 1, 1, 1",-
-,"(f+4), (2), 1, 2, 4","mid, mid, mid",1.5,1.5,-,-,NO,NO,WALL BREAK / SPLAT,"12 [14], 8, 12",i9,-9,KND,-,FLOAT,-27,"1, 1, 1",-
-,"(f+4), (2), (1), 2, 4","mid, mid",1.5,1.5,-,-,NO,NCc,WALL BREAK / SPLAT,"8 [9], 12",i15,-9,KND,-,FLOAT,-27,"1, 1",-
