MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,21 [25],i26,+4,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
He Zi Shou,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 10",i10,-1,+7,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,10 [12],i12,-1,+7,+7,-,-,-,-
-,"1, 2, 1","high, high, high",-,-,-,-,-,-,-,"7 [8], 10, 16",i10,-5,+6,-,-,-,-,-
-,"(1), 2, 1","high, high",-,-,-,-,-,-,-,"10 [12], 16",i12,-5,+6,-,-,-,-,-
-,"(1), (2), 1",high,-,-,-,-,-,-,-,16 [19],i20,-5,+6,+9,-,-,-,-
Liang Yi Zhou,"1, 2, 1, 1","high, high, high, mid",-,-,-,-,-,-,-,"7 [8], 10, 16 ,21",i10,-13,KND,-,-,-,-,-
-,"(1), 2, 1, 1","high, high, mid",-,-,-,-,-,-,-,"10 [12], 16, 21",i12,-13,KND,-,-,-,-,-
-,"(1), (2), 1, 1","high, mid",-,-,-,-,-,-,-,"16 [19], 21",i20,-13,KND,-,-,-,-,-
-,"(1), (2), (1), 1",mid,-,-,-,-,-,-,-,21 [25],i18,-13,KND,KND,-,-,-,-
Wai Bai Tui,"1, 2, 1, 4","high, high, high, high",-,-,-,-,-,-,-,"7 [8], 10, 16 ,30",i10,-6,KND,-,-,-,-,-
-,"(1), 2, 1, 4","high, high, high",-,-,-,-,-,-,-,"10 [12], 16, 30",i12,-6,KND,-,-,-,-,-
-,"(1), (2), 1, 4","high, high",-,-,-,-,-,-,-,"16 [19], 30",i20,-6,KND,-,-,-,-,-
-,"(1), (2), (1), 4",high,-,-,-,-,-,-,-,30 [36],i21,-6,KND,KND,-,-,-,-
Ye Chui,"1, 2, 4","high, high, low",-,-,-,-,-,-,-,"7 [8], 10, 15",i10,-13,+3,-,-,-,-,-
-,"(1), 2, 4","high, low",-,-,-,-,-,-,-,"10 [12], 15",i12,-13,+3,-,-,-,-,-
-,"(1), (2), 4",low,-,-,-,-,-,-,-,15 [18],i24,-13,+3,KND,-,-,-,-
Lian Tan,"1, 4","high, high",-,-,-,-,-,-,-,"7 [8], 17",i10,-4,+5,-,-,-,-,-
-,"(1), 4",high,-,-,-,-,-,-,-,17 [20],i16,-4,+5,LAUNCH,-,-,-,-
-,2,high,-,-,-,-,-,-,-,9 [10],i11,-1,+5,+5,-,-,-,-
Xiang Long Shi Chong Tian Zhang,"2, 1","high, high",-,-,-,-,-,-,-,"9 [10], 12",i11,-7,+4,-,-,-,-,-
-,"(2), 1",high,-,-,-,-,-,-,-,12 [14],i16,-7,+4,+4,-,-,-,-
Xiang Long Shi Ling Zhou,"2, 2","high, mid",-,-,-,-,-,-,-,"9 [10], 20",i11,-13,+4,-,-,-,-,-
-,"(2), 2",mid,-,-,-,-,-,-,-,20 [24],i22,-13,+4,+4,-,-,-,-
-,3,high,-,-,-,-,-,-,-,15 [18],i14,-8,+4,+4,-,-,-,-
-,"3, 2","high, high",-,-,-,-,-,-,-,"15 [18], 10",i14,-2,+9,-,-,-,-,-
-,"(3), 2",high,-,-,-,-,-,-,-,10 [12],i19,-2,+9,+9,-,-,-,-
Wu Dang Xuan Feng Jiao,"3, 2, 3","high, high, mid",-,-,-,low,-,-,-,"15 [18], 10, 26",i14,-7,KND,-,-,-,-,-
-,"(3), 2, 3","high, mid",-,-,-,low,-,-,-,"10 [12], 26",i19,-7,KND,-,-,-,-,-
-,"(3), (2), 3",mid,-,-,-,low,-,-,-,26 [31],i23,-7,KND,KND,-,-,-,-
-,"3, 2, 3, B","high, high",-,-,-,low,-,-,-,"15 [18], 10",i14,-15,-4,-,-,-,-,-
-,4,high,-,-,-,-,-,-,-,17 [20],i12,-7,+6,LAUNCH,-,-,-,-
Ye Kua,2+3,mid,-,-,-,-,-,-,-,21 [25],i30,-8,+5,KND,-,-,-,-
Sky Vibration,u+3+4,mid,-,-,-,low,-,-,-,26 [31],i24,0,+5,GROUND BOUNCE,-,-,-,-
-,u/f+1,high,-,-,-,-,-,-,-,8 [9],i13,-1,+6,+6,-,-,-,-
Dragon Backfist,"u/f+1, 1","high, high",-,-,-,-,-,-,-,"8 [9], 17",i13,-9,+15,-,-,-,-,-
-,"(u/f+1), 1",high,-,-,-,-,-,-,-,17 [20],i25,-9,+15,S!,-,-,-,-
Chuan Chong Quan,"u/f+1, 2","high, mid",-,-,-,-,-,-,-,"8 [9], 21",i13,-12,KND,-,-,-,-,-
-,"(u/f+1), 2",mid,-,-,-,-,-,-,-,21 [25],i20,-12,KND,KND,-,-,-,-
-,u/f+2,mid,-,-,-,low,-,-,-,15 [18],i18,-14,KND,KND,-,-,-,-
Yue Bu Si Quan,"u/f+2, 1","mid, mid",-,-,-,-,-,-,-,"15 [18], 11",i18,-8,KND,-,-,-,-,-
-,"(u/f+2), 1",mid,-,-,-,-,-,-,-,17 [20],i25,-8,KND,KND,-,-,-,-
Yi Qi Jiao,u/f+3,mid,-,-,-,low,-,-,-,21 [25],i17,-9,KND,KND,-,-,-,-
Yue Bu San Jing Ti,u/f+4,mid,-,-,-,low,-,-,-,13 [15],i15,-13,LAUNCH,LAUNCH,-,-,-,-
-,f+2,high,-,-,-,-,-,-,-,14 [16],i14,-5,+6,+6,-,-,-,-
Heng Da Er Lang Dan Shan,"f+2, 2","high, mid",-,-,-,-,-,-,-,"14 [16], 21",i14,-12,+6,-,-,-,-,-
-,"(f+2), 2",mid,-,-,-,-,-,-,-,21 [25],i23,-12,+6,KND,-,-,-,-
Bai Tui,f+3,high,-,-,-,-,-,-,-,23 [27],i20,0,+4,KND,-,-,-,-
Bei Zhe Kao,f+1+2,mid,-,-,-,high*,-,-,-,32 [38],i18,-14,KND,KND,-,-,-,-
Xiang Chui,f+2+3,high,-,-,-,-,-,-,-,21 [25],i20,-9,KND,KND,-,-,-,-
Shang Bu Zhuang Quan,"f, F+2",mid,-,-,-,-,-,-,-,25 [30],i14,-10,KND,KND,-,-,-,-
Tiao Shan Fu Ren,"f, F+3",mid,-,-,-,low,-,-,-,20 [24],i26,-7,KND,KND,-,-,-,-
-,"f, F+4",mid,-,-,-,low,-,-,-,12 [14],i19,-13,-2,-2,-,-,-,-
-,"f, F+4, 3","mid, high",-,-,-,low,-,-,-,"12 [14], 16",i19,-14,S!,-,-,-,-,-
-,"(f, F+4), 3",high,-,-,-,low,-,-,-,23 [27],i12,-14,S!,S!,-,-,-,-
Tiao Shan Pu Bu,"f, F+4, 3, 4","mid, high, low",-,-,-,high,-,-,-,"12 [14], 16, 7",i19,-12,S!,-,-,-,-,-
-,"(f, F+4), 3, 4","high, low",-,-,-,high,-,-,-,"23 [27], 9",i12,-12,S!,-,-,-,-,-
-,"(f, F+4), (3), 4",low,-,-,-,high,-,-,-,17 [20],i29,-12,-1,STUN,-,-,-,-
-,d/f+1,mid,-,-,-,-,-,-,-,13 [15],i13,-1,+7,+7,-,-,-,-
