MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON CROUCHING,ON WHIFF,ACTIVE,NOTES
Taunt 1,1+2+3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Taunt 2,1+2+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,1 or BT 1 or 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"1, 2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Left Point to C Uprock Hit,"1, 2, 1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"1, 2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Left Point to C Uprock Clap,"1, 2, 2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Left Point to C Uprock Swing,"1, 2, 1+2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Right Point to High Five,"2, 2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Right Point to Left Twist,"2, in time with the rhythm... 3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Right Middle Shift,"3, 4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Double Swing,1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Surprise Hop,u/f+3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Double Leg to Left Twist,"u/f+3+4, 3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Double Leg to C Backflip Combo,"u/f+3+4, 3+4, 4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,f+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Uprock Hit,"f+2, 1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Uprock Clap,"f+2, 2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Uprock Swing,"f+2, 1+2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hopping,f+3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Axe Aerial,f+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Double Axe Aerial,"f+4, 4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elbow Beat,f+1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Touchdown Raiz,f+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Touchdown Raiz to Buffalo,"f+3+4, 3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cat Stamp,"f, F+2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Scoot,"f, F+4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,(During Scoot) 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Double Corkscrew,"(During Scoot) 4, 4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,(During Scoot) 3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Backflip Combo,"(During Scoot) 3+4, 4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,(During Scoot) d/b+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coffee Grinder to Scoot,"(During Scoot) d/b+4, 4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Air Drop Heel,"f, f, f+3 (or WR 3)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Krump,d/f+2 (or WS 2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,d/f+2 (or WS 2) (During Hit) 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,d/f+2 (or WS 2) (During Hit) 4:3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Krump Special,d/f+2 (or WS 2) (During Hit) 4:3:1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,d/f+3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Punking Twirl,"d/f+3, 2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Punking Marionette,"d/f+3, 3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Down Step,d/f+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Waacking,d+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Windmill,d+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Double C Windmill,"d+3+4, d+3+4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Windmill to Air Tracks,"d+3+4, in time with the rhythm... d+3+4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
