MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 2","high, mid",-,-,-,-,-,-,-,"7 [8], 12",i10,-4,+7,-,-,-,-,-
-,"(1), 2",mid,-,-,-,-,-,-,-,12 [14],i17,-4,+7,+7,-,-,-,-
Left Point to C Uprock Hit,"1, 2, 1","high, mid, mid",-,-,-,-,-,-,-,"7 [8], 12, 20",i10,-11,KND,-,-,-,-,-
-,"(1), 2, 1","mid, mid",-,-,-,-,-,-,-,"12 [14], 20",i17,-11,KND,-,-,-,-,-
-,"(1), (2), 1",mid,-,-,-,-,-,-,-,20 [24],i28,-11,KND,KND,-,-,-,-
Left Point to C Uprock Clap,"1, 2, 2","high, mid, mid",-,-,-,-,-,-,-,"7 [8], 12, 20",i10,-4,+4 (OC),-,-,-,-,-
-,"(1), 2, 2","mid, mid",-,-,-,-,-,-,-,"12 [14], 20",i17,-4,+4 (OC),-,-,-,-,-
-,"(1), (2), 2",mid,-,-,-,-,-,-,-,20 [24],i29,-4,+4 (OC),KND,-,-,-,-
Left Point to C Uprock Swing,"1, 2, 1+2","high, mid, high, high",-,-,-,-,-,-,-,"7 [8], 12, 6, 20",i10,-2,+13,-,-,-,-,-
-,"(1), 2, 1+2","mid, high, high",-,-,-,-,-,-,-,"12 [14], 6, 20",i17,-2,+13,-,-,-,-,-
-,"(1), (2), 1+2","high, high",-,-,-,-,-,-,-,"6 [7], 20",i22,-2,+13,S!,-,-,-,-
-,2,high,-,-,-,-,-,-,-,12 [14],i12,-4,+7,+7,-,-,-,-
Right Point to High Five,"2, 2","high, high",-,-,-,-,-,-,-,"12 [14], 17",i12,-12,+4,-,-,-,-,-
-,"(2), 2",high,-,-,-,-,-,-,-,17 [20],i28,-12,+4,KND,-,-,-,-
Right Point to Left Twist,2:3,"high, low",-,-,-,-,-,-,-,"12 [14], 10",i12,-32,-13,-,-,-,-,-
-,(2):3,low,-,-,-,-,-,-,-,10 [12],i24,-32,-13,-13,-,-,-,-
