MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON CROUCHING,ON WHIFF,ACTIVE,NOTES
*,1,-,-,-,-,-,-,-,-,-,i10,+1,+8,+8,-,-,-,-,-
Left Right Combo,"1, 2",-,-,-,-,-,-,-,-,-,i10,-1,+5,-,-,-,-,-,-
*,"(1), 2",-,-,-,-,-,-,-,-,-,i12,-1,+5,+5,-,-,-,-,-
*,"1, 2, 3",-,-,-,-,-,-,-,-,-,i10,-16,-5,-,-,-,-,-,-
*,"(1), 2, 3",-,-,-,-,-,-,-,-,-,i12,-16,-5,-,-,-,-,-,-
*,"(1), (2), 3",-,-,-,-,-,-,-,-,-,i20,-16,-5,-5,-,-,-,-,-
Left Right to Gut Check,"1, 2, 3, 1+2",-,-,-,-,-,-,-,-,-,i10,0 (OC),+4 (OC),-,-,-,-,-,-
*,"(1), 2, 3, 1+2",-,-,-,-,-,-,-,-,-,i12,0 (OC),+4 (OC),-,-,-,-,-,-
*,"(1), (2), 3, 1+2",-,-,-,-,-,-,-,-,-,i20,0 (OC),+4 (OC),-,-,-,-,-,-
*,"(1), (2), (3), 1+2",-,-,-,-,-,-,-,-,-,i29,0 (OC),+4 (OC),+4 (OC),-,-,-,-,-
Left Right to Power Elbow Combo,"1, 2, f+1",-,-,-,-,-,-,-,-,-,i10,+4,+6,-,-,-,-,-,-
*,"(1), 2, f+1",-,-,-,-,-,-,-,-,-,i12,+4,+6,-,-,-,-,-,-
*,"(1), (2), f+1",-,-,-,-,-,-,-,-,-,i23,+4,+6,KND,-,-,-,-,-
Jab Body Combo,"1, d+2",-,-,-,-,-,-,-,-,-,i10,-9,+7,-,-,-,-,-,-
*,"(1), d+2",-,-,-,-,-,-,-,-,-,i16,-9,+7,+7,-,-,-,-,-
Quick Elbow Combo,"2, 1",-,-,-,-,-,-,-,-,-,i10,+3,+5,-,-,-,-,-,-
*,"(2), 1",-,-,-,-,-,-,-,-,-,i23,+3,+5,+5,-,-,-,-,-
Catapult Tackle Combo,"2, d+1+2",-,-,-,-,-,-,-,-,-,i10,-12,LAUNCH,-,-,-,-,-,-
*,"(2), d+1+2",-,-,-,-,-,-,-,-,-,i26,-12,LAUNCH,LAUNCH,-,-,-,-,-
Shove,1+2,-,-,-,-,-,-,-,-,-,i14,-9,+3,+16,-,-,-,-,-
*,f+2,-,-,-,-,-,-,-,-,-,i16,-7,+7,STUN,-,-,-,-,-
Double Hook Combo,"f+2, 1",-,-,-,-,-,-,-,-,-,i16,-7,STUN,-,S!,-,-,-,-
*,"(f+2), 1",-,-,-,-,-,-,-,-,-,i16,-7,STUN,STUN,S!,-,-,-,-
Hook Smash Combo,"f+2, d+1",-,-,-,-,-,-,-,-,-,i16,-13 (OC),+2 (OC),-,-,-,-,-,-
*,"(f+2), d+1",-,-,-,-,-,-,-,-,-,i21,-13 (OC),+2 (OC),+2 (OC),-,-,-,-,-
Hook Smash Combo,"f+2, d+1, 2",-,-,-,-,-,-,-,-,-,i16,-15,LAUNCH,-,-,-,-,-,-
*,"(f+2), d+1, 2",-,-,-,-,-,-,-,-,-,i21,-15,LAUNCH,-,-,-,-,-,-
*,"(f+2), (d+1), 2",-,-,-,-,-,-,-,-,-,i23,-15,LAUNCH,LAUNCH,-,-,-,-,-
*,f+3,-,-,-,-,-,-,-,-,-,i23,-6,+6,LAUNCH,-,-,-,-,-
Mammoth Charge,"f+3, 2",-,-,-,-,-,-,-,-,-,i23,-9,+6 (OC),-,-,-,-,-,-
*,"(f+3), 2",-,-,-,-,-,-,-,-,-,i34,-9,+6 (OC),GROUND BOUNCE,-,-,-,-,-
Stampede,f+4,-,-,-,-,-,-,-,-,-,i19,-8,+2 (OC),KND,-,-,-,-,-
Double Thruster,f+1+2,-,-,-,-,-,-,-,-,-,i15,-10,KND,KND,-,-,-,-,-
Blitz,f+1+4,-,-,-,-,-,-,-,-,-,i21,-18,+9,+9,-,-,-,-,-
Air Lift Uppercut,d/f+1,-,-,-,-,-,-,-,-,-,i15,-12,LAUNCH,LAUNCH,-,-,-,-,-
*,d/f+2,-,-,-,-,-,-,-,-,-,i15,-7,+6,+6,-,-,-,-,-
Double Impact,"d/f+2, 1",-,-,-,-,-,-,-,-,-,i15,-13,KND,KND,-,-,-,-,-
*,"(d/f+2), 1",-,-,-,-,-,-,-,-,-,i17,-13,KND,KND,-,-,-,-,-
Gut Kick,d/f+3,-,-,-,-,-,-,-,-,-,i17,-10,+2,+2,-,-,-,-,-
*,"d/f+3, 1",-,-,-,-,-,-,-,-,-,i17,+2,+5,-,-,-,-,-,-
*,"(d/f+3), 1",-,-,-,-,-,-,-,-,-,i19,+2,+5,+5,-,-,-,-,-
*,"d/f+3, 1, 2",-,-,-,-,-,-,-,-,-,i17,-1,+5,-,-,-,-,-,-
*,"(d/f+3), 1, 2",-,-,-,-,-,-,-,-,-,i19,-1,+5,-,-,-,-,-,-
*,"(d/f+3), (1), 2",-,-,-,-,-,-,-,-,-,i12,-1,+5,+5,-,-,-,-,-
*,"d/f+3, 1, 2, 3",-,-,-,-,-,-,-,-,-,i17,-16,-5,-,-,-,-,-,-
*,"(d/f+3), 1, 2, 3",-,-,-,-,-,-,-,-,-,i19,-16,-5,-,-,-,-,-,-
*,"(d/f+3), (1), 2, 3",-,-,-,-,-,-,-,-,-,i12,-16,-5,-,-,-,-,-,-
*,"(d/f+3), (1), (2), 3",-,-,-,-,-,-,-,-,-,i20,-16,-5,-5,-,-,-,-,-
Raging Beast Headbutt,"d/f+3, 1, 2, 3, 1+2",-,-,-,-,-,-,-,-,-,i17,0 (OC),+4 (OC),-,-,-,-,-,-
