MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,1,high,1,0,-,-,-,-,-,-,i10,+1,+8,+8,-,-,-,-
Left Right Combo,"1, 2","high, high",1.5,0.5,-,-,-,-,-,-,i10,-1,+6,-,-,-,-,-
-,"(1), 2",high,0.5,0.25,-,-,-,-,-,-,i12,-1,+6,+6,-,-,-,-
-,2,high,0.5,0.25,-,-,-,-,-,-,i10,-1,+8,+8,-,-,-,-
Right Straight to Left Low Kick,"2, 3","high, low",0.5,1,-,-,-,-,-,-,i10,-12,-1,-,-,-,-,-
-,"(2), 3",low,2,1,-,-,-,-,-,-,i22,-12,-1,-1,-,-,-,-
PK Combo,"2, 4","high, high",0.5,1.75,-,-,-,-,-,-,i10,-9,+10,-,S!,-,-,-
-,"(2), 4",high,2,1.75,-,-,-,-,-,-,i17,-9,+10,KND,-,-,-,-
-,3,high,1.5,1,-,-,-,-,-,-,i14,-8,+3,+3,-,-,-,-
-,"3, 3","mid, high",1.5,0.25,-,-,-,-,-,-,i14,-8,+3,-,-,-,-,-
-,"(3), 3",high,1.25,0.25,-,-,-,-,-,-,i16,-8,+3,+3,-,-,-,-
Valkyrie Lance Combo,"3, 3, 4","mid, high, high",1.5,1.5,-,-,-,-,-,-,i14,-9,KND,-,-,-,-,-
-,"(3), 3, 4","high, high",1.25,1.75,-,-,-,-,-,-,i16,-9,KND,-,-,-,-,-
-,"(3), (3), 4",high,1.5,2,-,-,-,-,-,-,i26,-9,KND,KND,-,-,-,-
-,4,high,1.5,1,-,-,-,-,-,-,i12,-8,+3,KND,-,-,-,-
-,4~3,"mid, mid",2.5,0.25,-,-,-,-,-,-,i16,-16,LAUNCH,LAUNCH,-,-,-,-
Hydra Bite Low,"4~3, 1","mid, mid, low",2.5,1.5,-,-,-,-,-,-,i16,-13,+4,-,-,-,-,-
