MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,21 [25],i23,0,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
Resorte,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 12",i10,-1,+5,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,12 [14],i17,-1,+5,+5,-,-,-,-
Up-stroke,"1, 2, 4","high, high, high",-,-,-,-,-,-,-,"7 [8], 12, 20",i10,+3,KND,-,-,-,-,-
-,"(1), 2, 4","high, high",-,-,-,-,-,-,-,"12 [14], 20",i17,+3,KND,-,-,-,-,-
-,"(1), (2), 4",high,-,-,-,-,-,-,-,20 [24],i22,+3,KND,KND,-,-,-,-
Martillo,"1, 2, 1+2","high, high, mid",-,-,-,-,-,-,-,"7 [8], 12, 30",i10,+4 (OC),KND,-,-,-,-,-
-,"(1), 2, 1+2","high, mid",-,-,-,-,-,-,-,"12 [14], 30",i17,+4 (OC),KND,-,-,-,-,-
-,"(1), (2), 1+2",mid,-,-,-,-,-,-,-,30 [36],i33,+4 (OC),KND,GROUND BOUNCE,-,-,-,-
Bombo,"1, 3","high, low",-,-,-,-,-,-,-,"7 [8], 12",i10,-12,+1,-,-,-,-,-
-,"(1), 3",low,-,-,-,-,-,-,-,12 [14],i21,-12,+1,+1,-,-,-,-
-,2,high,-,-,-,-,-,-,-,12 [14],i11,-8,+3,+8,-,-,-,-
Gancho doble,"2, 1","high, high",-,-,-,-,-,-,-,"12 [14], 15",i11,-4,+7,-,-,-,-,-
-,"(2), 1",high,-,-,-,-,-,-,-,15 [18],i17,-4,+7,+7,-,-,-,-
-,3,high,-,-,-,-,-,-,-,16 [19],i13,-7,+2,+2,-,-,-,-
Mariposa,"3, 4","high, mid",-,-,-,-,-,-,-,"16 [19], 20",i13,-12,KND,-,-,-,-,-
-,"(3), 4",mid,-,-,-,-,-,-,-,20 [24],i30,-12,KND,STUN,-,-,-,-
-,4,high,-,-,-,-,-,-,-,17 [20],i12,-9,+5,LAUNCH,-,-,-,-
-,1+2,mid,-,-,-,-,-,-,-,20 [24],i19,-7,+4 (OC),+4 (OC),-,-,-,-
-,"1+2, D",mid,-,-,-,-,-,-,-,20 [24],i19,-7,+4 (OC),+4 (OC),-,-,-,-
Martillo doble,"1+2, 1+2","mid, mid",-,-,-,-,-,-,-,"20 [24], 20",i19,-14,KND,-,-,-,-,-
-,"(1+2), 1+2",mid,-,-,-,-,-,-,-,20 [24],i23,-14,KND,S!,-,-,-,-
Obús,u/f+1,mid,-,-,-,low,-,-,-,21 [25],i25,+3,KND,KND,-,-,-,-
-,u/f+2,high,-,-,-,-,-,-,-,17 [20],i15,-12,+9,+9,-,-,-,-
-,u/f+3,mid,-,-,-,low,-,-,-,17 [20],i19,-10,+3 (OC),+3 (OC),-,-,-,-
-,"u/f+3, 2","mid, high",-,-,-,-,-,-,-,"17 [20], 8",i19,-12,+6,-,-,-,-,-
-,"(u/f+3), 2",high,-,-,-,-,-,-,-,8 [9],i25,-12,+6,+6,-,-,-,-
Trinidad Slash,"u/f+3, 2, 2","mid, high, mid",-,-,-,-,-,-,-,"17 [20], 8, 25",i19,-6,+5 (OC),-,-,-,-,-
-,"(u/f+3), 2, 2","high, mid",-,-,-,-,-,-,-,"8 [9], 25",i25,-6,+5 (OC),-,-,-,-,-
-,"(u/f+3), (2), 2",mid,-,-,-,-,-,-,-,25 [30],i30,-6,+5 (OC),KND,-,-,-,-
Patada atrás,u/f+4,mid,-,-,-,low,-,-,-,13 [15],i15,-13,LAUNCH,LAUNCH,-,-,-,-
