MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,low,-,-,-,21 [25],i23,0,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 1","high, high",-,-,-,-,-,-,-,"7 [8], 9",i10,-3,+8,-,-,-,-,-
-,"(1), 1",high,-,-,-,-,-,-,-,9 [10],i20,-3,+8,+8,-,-,-,-
Sadistic Combination,"1, 1, 2","high, high, mid",-,-,-,-,-,-,-,"7 [8], 9, 17",i10,-9,+5,-,-,-,-,-
-,"(1), 1, 2","high, mid",-,-,-,-,-,-,-,"9 [10], 17",i20,-9,+5,-,-,-,-,-
-,"(1), (1), 2",mid,-,-,-,-,-,-,-,17 [20],i20,-9,+5,KND,-,-,-,-
-,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 9",i10,-8,+3,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,9 [10],i17,-8,+3,+3,-,-,-,-
Heavy Rain,"1, 2, 2","high, high, mid",-,-,-,-,-,-,-,"7 [8], 9, 22",i10,+4,GROUND BOUNCE,-,-,-,-,-
-,"(1), 2, 2","high, mid",-,-,-,-,-,-,-,"9 [10], 22",i17,+4,GROUND BOUNCE,-,-,-,-,-
-,"(1), (2), 2",mid,-,-,-,-,-,-,-,22 [26],i32,+4,GROUND BOUNCE,GROUND BOUNCE,-,-,-,-
Dark Night Combination,"1, 2, 4","high, high, high",-,-,-,-,-,-,-,"7 [8], 9, 13",i10,-9,+1,-,-,-,-,-
-,"(1), 2, 4","high, high",-,-,-,-,-,-,-,"9 [10], 13",i17,-9,+1,-,-,-,-,-
-,"(1), (2), 4",high,-,-,-,-,-,-,-,13 [15],I23,-9,+1,KND,-,-,-,-
-,"1, 4","high, high",-,-,-,-,-,-,-,"7 [8], 17",I10,-6,+3,-,-,-,-,-
-,"(1), 4",high,-,-,-,-,-,-,-,17 [20],I17,-6,+3,+3,-,-,-,-
Triple Head Shot,"1, 4, 2","high, high, mid",-,-,-,-,-,-,-,"7 [8], 17, 20",I10,-5,+6 (OC),-,-,-,-,-
-,"(1), 4, 2","high, mid",-,-,-,-,-,-,-,"17 [20], 20",I17,-5,+6 (OC),-,-,-,-,-
-,"(1), (4), 2",mid,-,-,-,-,-,-,-,20 [24],I26,-5,+6 (OC),KND,-,-,-,-
-,2,high,-,-,-,-,-,-,-,9 [10],I11,-8,+3,+3,-,-,-,-
-,"2, 1","high, high",-,-,-,-,-,-,-,"9 [10], 12",I11,-7,+4,-,-,-,-,-
-,"(2), 1",high,-,-,-,-,-,-,-,12 [14],I18,-7,+4,+4,-,-,-,-
Shin Smasher,"2, 1, 4","high, high, low",-,-,-,-,-,-,-,"9 [10], 12, 15",I11,-12,+3 (OC),-,-,-,-,-
-,"(2), 1, 4","high, low",-,-,-,-,-,-,-,"12 [14], 15",i18,-12,+3 (OC),-,-,-,-,-
-,"(2), (1), 4",low,-,-,-,-,-,-,-,15 [18],i26,-12,+3 (OC),KND,-,-,-,-
-,"2, 2","high, mid",-,-,-,-,-,-,-,"9 [10], 17",i11,-14,+1 (OC),-,-,-,-,-
-,"(2), 2",mid,-,-,-,-,-,-,-,17 [20],i27,-14,+1 (OC),+1 (OC),-,-,-,-
-,"2, 2, 2","high, mid, mid",-,-,-,-,-,-,-,"9 [10], 17, 17",i11,-14,+1 (OC),-,-,-,-,-
-,"(2), 2, 2","mid, mid",-,-,-,-,-,-,-,"17 [20], 17",i27,-14,+1 (OC),-,-,-,-,-
-,"(2), (2), 2",mid,-,-,-,-,-,-,-,17 [20],i33,-14,+1 (OC),+1 (OC),-,-,-,-
