MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Back towards wall... b, b, u/b",mid,-,-,-,"high, mid, low",-,-,-,21 [25],i35,+1,KND,KND,-,-,-,-
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"1, 2","high, high",-,-,-,-,-,-,-,"7 [8], 9",i10,-1,+5,-,-,-,-,-
-,"(1), 2",high,-,-,-,-,-,-,-,9 [10],i12,-1,+5,+5,-,-,-,-
Spica Gut Punch,"1, 2, 2","high, high, mid",-,-,-,-,-,-,-,"7 [8], 9, 17",i10,-11,+3,-,-,-,-,-
-,"(1), 2, 2","high, mid",-,-,-,-,-,-,-,"9 [10], 17",i12,-11,+3,-,-,-,-,-
-,"(1), (2), 2",mid,-,-,-,-,-,-,-,17 [20],i20,-11,+3,STUN,-,-,-,-
Spica Blinding Sands,"1, 2, 3","high, high, high",-,-,-,-,-,-,-,"7 [8], 9, 18",i10,-8,+3,-,-,-,-,-
-,"(1), 2, 3","high, high",-,-,-,-,-,-,-,"9 [10], 18",i12,-8,+3,-,-,-,-,-
-,"(1), (2), 3",high,-,-,-,-,-,-,-,18 [21],i20,-8,+3,+3,-,-,-,-
Spica Wheel Spin,"1, 2, 4","high, high, mid",-,-,-,-,-,-,-,"7 [8], 9, 20",i10,-13,KND,-,-,-,-,-
-,"(1), 2, 4","high, mid",-,-,-,-,-,-,-,"9 [10], 20",i12,-13,KND,-,-,-,-,-
-,"(1), (2), 4",mid,-,-,-,-,-,-,-,20 [24],i24,-13,KND,KND,-,-,-,-
-,2,high,-,-,-,-,-,-,-,10 [12],i10,0,+6,+6,-,-,-,-
Cut In,"2, 1","high, mid",-,-,-,-,-,-,-,"10 [12], 7",i10,-4,+2,-,-,-,-,-
-,"(2), 1",mid,-,-,-,-,-,-,-,7 [8],i17,-4,+2,+2,-,-,-,-
Porrima Blinding Sands,"2, 3","high, high",-,-,-,-,-,-,-,"10 [12], 18",i10,-8,+3,-,-,-,-,-
Porrima Blinding Sands to Stealth Step,"(2), 3",high,-,-,-,-,-,-,-,18 [21],i20,-8,+3,+3,-,-,-,-
Blinding Sands,3,high,-,-,-,-,-,-,-,20 [24],i14,-8,+3,+3,-,-,-,-
-,4,high,-,-,-,-,-,-,-,16 [19],i11,-10,+1,LAUNCH,-,-,-,-
Hallux Kick to Algenib,"4, 1","high, high",-,-,-,-,-,-,-,"16 [19], 12 [8]",i11,-5,+4,-,-,-,-,-
-,"(4), 1",high,-,-,-,-,-,-,-,12 [14],i18,-5,+4,+4,-,-,-,-
Hallux Kick to High Slashing Kick,"4, 3","high, high",-,-,-,-,-,-,-,"16 [19], 21",i11,-1,KND,-,-,-,-,-
-,"(4), 3",high,-,-,-,-,-,-,-,21 [25],i31,-1,KND,KND,-,-,-,-
Hallux Kick to Ra'd,"4, 4","high, mid",-,-,-,-,-,-,-,"16 [19], 25",i11,-13,KND,-,-,-,-,-
-,"(4), 4",mid,-,-,-,-,-,-,-,25 [30],i24,-13,KND,KND,-,-,-,-
Crescent Cleaver,u/f+3,mid,-,-,-,low,-,-,-,22 [26],i25,-7,STUN,STUN,-,-,-,-
Altair,u/f+4,mid,-,-,-,low,-,-,-,13 [15],i15,-13,LAUNCH,LAUNCH,-,-,-,-
-,f+2,high,-,-,-,-,-,-,-,12 [14],i12,-8,-2,-2,-,-,-,-
Silent Sting,"f+2, 3","high, high",-,-,-,-,-,-,-,"12 [14], 20",i12,-12,KND,-,-,-,-,-
-,"(f+2), 3",high,-,-,-,-,-,-,-,20 [24],i18,-12,KND,KND,-,-,-,-
-,"f+2, 4","high, low",-,-,-,-,-,-,-,"12 [14], 13",i12,-13,-2,-,-,-,-,-
-,"(f+2), 4",low,-,-,-,-,-,-,-,13 [15],i22,-13,-2,KND,-,-,-,-
Silent Flow,"f+2, 4, 4","high, low, high",-,-,-,-,-,-,-,"12 [14], 13, 21",i12,-3,+14,-,-,-,-,-
-,"(f+2), 4, 4","low, high",-,-,-,-,-,-,-,"13 [15], 21 [14]",i22,-3,+14,-,-,-,-,-
-,"(f+2), (4), 4",high,-,-,-,-,-,-,-,21 [25],i26,-3,+14,S!,-,-,-,-
Crescent Moon,f+3,mid,-,-,-,-,-,-,-,17 [20],i21,-5,+6,KND,-,-,-,-
Piercing Talon,f+4,high,-,-,-,-,-,-,-,17 [20],i15,-2,+15,S!,-,-,-,-
Skyline,f+3+4,"mid, mid",-,-,-,-,-,-,-,"14 [16], 14",i22,-11,+1 (OC),-,-,-,-,-
-,f+3+4 (second hit only),mid,-,-,-,-,-,-,-,14 [16],i28,-11,+1 (OC),+1 (OC),-,-,-,-
Hunting Falcon Dive,"f, F+3 (or f, f, f+3) (close)",mid,-,-,-,low,-,-,-,"13 [15], 5",i17,-12,KND,KND,-,-,-,-
-,"f, F+3 (or f, f, f+3) (far)",mid,-,-,-,low,-,-,-,13 [15],i17,-12,KND,KND,-,-,-,-
Antares,"f, f, f+2 (or WR 2)",mid,-,-,-,-,-,-,-,20 [24],i20,+4,KND,KND,-,-,-,-
Hornet,"f, b+2",high,-,-,-,-,-,-,-,55 [59],i14,-4,KND,KND,-,-,-,-
Rising Falcon,d/f+2,mid,-,-,-,-,-,-,-,13 [15],i15,-7,LAUNCH,LAUNCH,-,-,-,-
Whirlwind Kick,d/f+3,mid,-,-,-,-,-,-,-,20 [24],i17,-9,+12,+12,-,-,-,-
Stinging Kick,d/f+4,mid,-,-,-,-,-,-,-,16 [19],i14,-9,+2,+2,-,-,-,-
Gut Impact,d+2,mid,-,-,-,-,-,-,-,18 [21],i18,-6,+8,+8,-,-,-,-
Silent Rigel,d+3,low,-,-,-,high,-,-,-,14 [16],i16,-14,0,0,-,-,-,-
Vicious Stomp,d+4,low,-,-,-,-,-,-,-,13 [15],i19,-12,+1,+1,-,-,-,-
-,d/b+2,mid,-,-,-,-,-,-,-,11 [13],i14,-10,+1,+1,-,-,-,-
Rapid Strikes,"d/b+2, 1","mid, high",-,-,-,-,-,-,-,"11 [13], 24",i14,-11,KND,-,-,-,-,-
-,"(d/b+2), 1",high,-,-,-,-,-,-,-,24 [28],i20,-11,KND,KND,-,-,-,-
Snake's Bite,d/b+3,low,-,-,-,-,-,-,-,15 [18],i20,-17,-6,-6,-,-,-,-
Snake's Bite to Rising Scimitar,"d/b+3, 4","low, high",-,-,-,-,-,-,-,"15 [18], 23",i20,-36,KND,-,-,-,-,-
-,"(d/b+3), 4",high,-,-,-,high,-,-,-,23 [27],i17,-13,KND,KND,-,-,-,-
Rising Scimitar,d/b+4,high,-,-,-,high,-,-,-,30 [36],i20,-13,KND,KND,-,-,-,-
Achernar,b+1,mid,-,-,-,-,-,-,-,18 [21],i19,-9,+3 (OC),GROUND BOUNCE,-,-,-,-
Heel Strike,b+3,mid,-,-,-,-,-,-,-,20 [24],i18,0,+3 (OC),KND,-,-,-,-
Broken Mirage,b+4,mid,-,-,-,-,-,-,-,20 [24],i17,-15,+2,KND,-,-,-,-
10 Hit Combo,"2, 1, 4, 1, 3, 3, 3, 3+4, 4",-,-,-,-,-,-,-,-,78,i10,-,KND,KND,-,-,-,-
-,BT 1,high,-,-,-,-,-,-,-,15 [18],i8,-8,+3,+3,-,-,-,-
Reverse Edge,BT 2,mid,-,-,-,-,-,-,-,15 [18],i14,-3,KND,KND,-,-,-,-
-,BT 3 (or 4),high,-,-,-,-,-,-,-,18 [21],i10,-8,KND,KND,-,-,-,-
-,FC 1,s. mid,-,-,-,high,-,-,-,5 [6],i10,-5,+6,+6,-,-,-,-
-,FC 2,s. mid,-,-,-,high,-,-,-,8 [9],i11,-4,+7,+7,-,-,-,-
-,FC 3,low,-,-,-,high,-,-,-,12 [14],i16,-17,-3,-3,-,-,-,-
-,FC 4,low,-,-,-,high,-,-,-,10 [12],i12,-15,-4,-4,-,-,-,-
Sand Storm,"FC d/f, d, D/F+3",low,-,-,-,high,-,-,-,24 [28],i16,-23,KND,KND,-,-,-,-
-,"WR f, f, F (Full Screen)",mid,-,-,-,-,-,-,-,30 [36],i8,+13,KND,KND,-,-,-,-
-,"While enemy is on the ground... WR f, f, F (Full Screen)",low,-,-,-,-,-,-,-,8 [9],i12,-,KND,KND,-,-,-,-
-,WR 4,low,-,-,-,high,-,-,-,17 [20],i14,-40,KND,KND,-,-,-,-
-,WR 1+2,mid,-,-,-,"high, low",-,-,-,24 [28],i18,0,KND,KND,-,-,-,-
Albireo,WS 1,mid,-,-,-,-,-,-,-,16 [19],i15,-2,+4,+12,-,-,-,-
Hawk Edge,WS 2,mid,-,-,-,high,-,-,-,21 [25],16,-17,STUN,STUN,-,-,-,-
-,WS 3,mid,-,-,-,-,-,-,-,16 [19],i13,-11,0,0,-,-,-,-
Double Scorpion,"WS 3, 3","mid, mid",-,-,-,-,-,-,-,"16 [19], 20",i13,-15,KND,-,-,-,-,-
-,"WS (3), 3",mid,-,-,-,-,-,-,-,20 [24],i17,-15,KND,KND,-,-,-,-
-,WS 4,mid,-,-,-,-,-,-,-,16 [19],i11,-6,+5,+5,-,-,-,-
-,"Face Up, Feet Towards+3 or (After Rolling Forward)",low,-,-,-,high,-,-,-,10 [12],i22,-12,+5,STUN,-,-,-,-
-,"Face Up, Feet Towards+4 or (After Rolling Forward)",mid,-,-,-,-,-,-,-,18 [21],i22,-12,+5,KND,-,-,-,-
-,"Face Up, Feet Towards, d+3 (or 4)",low,-,-,-,"high, mid",-,-,-,5 [6],i13,-18,-3,-3,-,-,-,-
-,"Face Up, Feet Towards+3+4",mid,-,-,-,low,-,-,-,20 [24],i18,-21,KND,KND,-,-,-,-
-,"Face Up, Feet Towards, Roll Forward+1+2",mid,-,-,-,"high, low",-,-,-,15 [18],i19,+2,KND,KND,-,-,-,-
-,"Face Down, Feet Away+3",low,-,-,-,high,-,-,-,10 [12],i21,-20,+1,STUN,-,-,-,-
-,"Face Down, Feet Away+4 (close)",mid,-,-,-,-,-,-,-,15 [18],i21,-19,KND,KND,-,-,-,-
-,"Face Down, Feet Away+4 (far)",mid,-,-,-,-,-,-,-,10 [12],i21,-19,-10,KND,-,-,-,-
