MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
Naguri Kabuto Wari,"1, 1","high, mid",-,-,-,-,-,-,-,"7 [8], 19",i10,-9,+4 (OC),-,-,-,-,-
-,"(1), 1",mid,-,-,-,-,-,-,-,19 [22],i23,-9,+4 (OC),KND,-,-,-,-
-,2,high,-,-,-,-,-,-,-,10 [12],i10,-1,+5,+8,-,-,-,-
Seiken Douhari,"2, 1","high, mid",-,-,-,-,-,-,-,"10 [12], 23",i10,-9,KND,-,-,-,-,-
-,"(2), 1",mid,-,-,-,-,-,-,-,23 [27],i26,-9,KND,KND,-,-,-,-
-,"2, 1, B",high,-,-,-,-,-,-,-,10 [12],i10,-13,-7,-4,-,-,-,-
Flash Punch,"2, 2","high, high",-,-,-,-,-,-,-,"10 [12], 8",i10,-1,+5,-,-,-,-,-
-,"(2), 2",high,-,-,-,-,-,-,-,8 [9],i18,-1,+5,+5,-,-,-,-
Flash Attack,"2, 3","high, high",-,-,-,-,-,-,-,"10 [12], 24",i10,-10,KND,-,-,-,-,-
-,"(2), 3",high,-,-,-,-,-,-,-,24 [28],i26,-10,KND,KND,-,-,-,-
Flash Punch Low Kick,"2, d+3","high, low",-,-,-,-,-,-,-,"10 [12], 11",i10,-12,-1,-,-,-,-,-
-,"(2), d+3",low,-,-,-,-,-,-,-,11 [13,i22,-12,-1,-1,-,-,-,-
-,3,high,-,-,-,-,-,-,-,15 [18],i12,-9,+5,KND,-,-,-,-
Tobi Ushiwaka,3~4,"mid, mid",-,-,-,low*,-,-,-,"12 [14], 16 [19]",i17,-6,+3,-,-,-,-,-
-,4,high,-,-,-,-,-,-,-,12 [14],i15,-11,0,KND,-,-,-,-
-,"4, 4","high, high",-,-,-,-,-,-,-,"12 [14], 12",i15,-4,-2,-,-,-,-,-
Triple Roundhouse Combo,"4, 4, 4","high, high, high",-,-,-,-,-,-,-,"12 [14], 12, 20",i15,-4,KND,-,-,-,-,-
Kangaroo Kick,4~3,mid,-,-,-,-,-,-,-,25 [30],i25,-13,KND,-,-,-,-,-
Spirit Shield,1+2+3,mid,-,-,-,-,-,-,-,-,i22,-8,0,-,-,-,-,-
Soul Stealer,1+4 (WS 1+4),mid,-,-,-,-,-,-,-,21 [25],i6,-15,STUN,STUN,-,-,-,-
Guillotine Crow Kick,u+3+4,"mid, mid",-,-,-,"mid, low",-,-,-,10 [12]. 12,i39,+4 (OC),STUN,STUN,-,-,-,-
Helmet Strike,u/f+1,mid,-,-,-,low,-,-,-,24 [28],i24,-6,+5 (OC),GROUND BOUNCE,-,-,-,-
Kurama Itto,u/f+2,low,-,-,-,"mid*, low",-,-,-,20 [24],i15,-16,STUN,STUN,-,-,-,-
Rising Knee,u/f+3,mid,-,-,-,low,-,-,-,15 [18],i15,-13,LAUNCH,LAUNCH,-,-,-,-
Avoiding the Puddle,u/f+4,mid,-,-,-,low,-,-,-,21 [25],i20,-9,KND,KND,-,-,-,-
Poison Wind,u/f+3+4,mid,-,-,-,"mid*, low",-,-,-,20 [24],i31,-16,KND,KND,-,-,-,-
Poison Wind to Kangaroo Kick,"u/f+3+4, 3+4","mid, mid",-,-,-,high*,-,-,-,"20 [24], 17",i31,-13,KND,-,-,-,-,-
-,"(u/f+3+4), 3+4",mid,-,-,-,high,-,-,-,25 [30],i31,-13,KND,-,-,-,-,-
Poison Wind Eclipse Kick,"u/f+3+4, u+3+4","mid, mid",-,-,-,"mid, low",-,-,-,"20 [24], 8",i31,-4,KND,-,-,-,-,-
-,"u/f+3+4, u+3+4","mid, mid",-,-,-,"mid, low",-,-,-,10 [12]. 10,i31,-4,KND,-,-,-,-,-
-,"u/f+3+4, b+1","mid, high",-,-,-,-,-,-,-,"20 [24], 5",i31,-,-,-,-,-,-,-
-,"u/f+3+4, b+1, 4","mid, high, mid",-,-,-,high*,-,-,-,"20 [24], 5, 9",i31,-,-,-,-,-,-,-
Poison Wind Gold Fist,"u/f+3+4, b+1, 4, d+1","mid, high, mid, mid",-,-,-,-,-,-,-,"20 [24], 5, 9, 15",i31,-,-,-,-,-,-,-
Poison Wind Bronze Fist Steel Fist,"u/f+3+4, b+1, 3+4","mid, high, mid",-,-,-,low,-,-,-,"20 [24], 5, 16",i31,-,-,-,-,-,-,-
Manji Backfist,f+2 or BT 2,high,-,-,-,-,-,-,-,18 [21],i17,-4,+14,S!,-,-,-,-
-,"f+2, D/B+2","high, mid",-,-,-,-,-,-,-,"18 [21], 8",i17,-5,+6,-,-,-,-,-
-,"f+2, D/B+2, 2","high, mid, mid",-,-,-,-,-,-,-,"18 [21], 8, 7",i17,-9,+2,-,-,-,-,-
-,"f+2, D/B+2, 2, 2","high, mid, mid, mid",-,-,-,-,-,-,-,"18 [21], 8, 7, 6",i17,-9,+2,-,-,-,-,-
-,"f+2, D/B+2, 2, 2, 2","high, mid, mid, mid, mid",-,-,-,-,-,-,-,"18 [21], 8, 7, 6, 5",i17,-9,+2,-,-,-,-,-
-,"f+2, D/B+2, 2, 2, 2, 2","high, mid, mid, mid, mid, mid",-,-,-,-,-,-,-,"18 [21], 8, 7, 6, 5, 4",i17,-9,+2,-,-,-,-,-
Backfist to Stone Fist,"f+2, D/B+2, 2, 2, 2, 2, 2","high, mid, mid, mid, mid, mid, mid",-,-,-,-,-,-,-,"18 [21], 8, 7, 6, 5, 4, 3",i17,FUFT,FUFT,-,-,-,-,-
-,f+3,high,-,-,-,-,-,-,-,24 [28],i16,-10,KND,KND,-,-,-,-
Oni Kick Combo,"f+3, 3","high, low",-,-,-,high*,-,-,-,"24 [28], 16",i16,-20,KND,-,-,-,-,-
-,"(f+3), 3",low,-,-,-,high*,-,-,-,16 [19],i25,-20,KND,KND,-,-,-,-
Toita Daoshi,f+4,mid,-,-,-,-,-,-,-,25 [30],i18,-9,KND,KND,-,-,-,-
Tsuka Splitter,f+1+2,mid,-,-,-,-,-,-,-,22 [26],i18,-7,KND,KND,-,-,-,-
Sword Smash,"f, F+2",mid,-,-,-,-,-,-,-,15 [18],i15,-9,+4,+4,-,-,-,-
Yomi Kakenuke,"f, F+2:2",mid,-,-,-,-,-,-,-,"15 [18], 3, 3, 9",i15,-,KND,KND,-,-,-,-
Iwatsubute,"f, F+3",mid,-,-,-,-,-,-,-,25 [30],i23,-5,+4,STUN,-,-,-,-
Reverse Cartwheel,"f, F+3+4",mid,-,-,-,low,-,-,-,15 [18],i22,-20,-9 (OC),-9 (OC),-,-,-,-
-,"f, F+3+4, 1+2","mid, mid",-,-,-,low,-,-,-,"15 [18], 15",i22,-31,KND,-,-,-,-,-
-,"(f, F+3+4), 1+2",mid,-,-,-,low,-,-,-,15 [18],i50,-31,KND,KND,-,-,-,-
Solar Kick Shark Attack,"f, F+3+4, 1+2, 3+4","mid, mid, mid",-,-,-,-,-,-,-,"15 [18], 15, 14",i22,-13,KND,-,-,-,-,-
-,"(f, F+3+4), 1+2, 3+4","mid, mid",-,-,-,-,-,-,-,"15 [18], 14",i50,-13,KND,-,-,-,-,-
-,"(f, F+3+4), (1+2), 3+4",mid,-,-,-,high*,-,-,-,20 [24],i27,-13,KND,KND,-,-,-,-
Manji Spin Kick,"f, f, f+3 (or WR 3)",mid,-,-,-,low,-,-,-,30 [36],i22,+9,KND,KND,-,-,-,-
Gehosen,"f, n, d, d/f+1",mid,-,-,-,-,-,-,-,22 [26],i17,-17,LAUNCH,LAUNCH,-,-,-,-
Flashing Steel,"f, n, d, d/f+2",mid,-,-,-,-,-,-,-,20 [24],i14,-14,+5,S!,-,-,-,-
-,d/f+1,mid,-,-,-,-,-,-,-,14 [16],i13,-4,+5,+5,-,-,-,-
Tsuka Atemi to Back Knuckle,"d/f+1, 2","mid, high",-,-,-,-,-,-,-,"14 [16], 18",i13,-4,+14,-,-,-,-,-
-,"(d/f+1), 2",high,-,-,-,-,-,-,-,18 [21],i25,-4,+14,S!,-,-,-,-
Autumn Leaves,"d/f+1, 4","mid, mid",-,-,-,-,-,-,-,"14 [16], 17",i13,-14,+4,-,-,-,-,-
-,"(d/f+1), 4",mid,-,-,-,-,-,-,-,17 [20],i17,-14,+4,+4,-,-,-,-
Basic Uppercut,d/f+2,mid,-,-,-,-,-,-,-,13 [15],i15,-7,LAUNCH,LAUNCH,-,-,-,-
-,d/f+3,mid,-,-,-,-,-,-,-,10 [12],i17,-4,+4,+4,-,-,-,-
Wood Cutter,"d/f+3, 1","mid, mid",-,-,-,-,-,-,-,"10 [12], 20",i17,-9,+4 (OC),-,-,-,-,-
-,"(d/f+3), 1",mid,-,-,-,-,-,-,-,20 [24],i23,-9,+4 (OC),KND,-,-,-,-
-,d/f+1+2,low,-,-,-,-,-,-,-,10 [12],i26,-11,+4,+7,-,-,-,-
Nebular Burst,"d/f+1+2, 2","low, mid",-,-,-,-,-,-,-,"10 [12], 20",i26,-13,0,-,-,-,-,-
-,"(d/f+1+2), 2",mid,-,-,-,-,-,-,-,20 [24],i25,-13,0,+6,-,-,-,-
Quick Slash,d+1,mid,-,-,-,-,-,-,-,15 [18],i24,-9,+1 (OC),KND,-,-,-,-
-,"d+1*, B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,d+2,mid,-,-,-,-,-,-,-,12 [14],i16,-9,0,0,-,-,-,-
Heshikirigari,"d+2, 1","mid, high",-,-,-,-,-,-,-,"12 [14], 23",i16,-9,KND,-,-,-,-,-
-,"(d+2), 1",high,-,-,-,-,-,-,-,23 [27],i27,-9,KND,KND,-,-,-,-
Heshikiribarai,"d+2, 2, 1","mid, mid, high",-,-,-,-,-,-,-,"12 [14], 17, 20",i16,-9,KND,-,-,-,-,-
-,"(d+2), 2, 1","mid, high",-,-,-,-,-,-,-,"17 [20], 14",i22,-9,KND,-,-,-,-,-
-,"(d+2), (2), 1",high,-,-,-,-,-,-,-,20 [24],i19,-9,KND,KND,-,-,-,-
Heshikirinagi,"d+2, 2, d+1","mid, mid, mid",-,-,-,-,-,-,-,"12 [14], 17, 17",i16,-12,+2 (OC),-,-,-,-,-
-,"(d+2), 2, d+1","mid, mid",-,-,-,-,-,-,-,"17 [20], 17",i22,-12,+2 (OC),-,-,-,-,-
-,"(d+2), (2), d+1",mid,-,-,-,-,-,-,-,17 [20],i29,-12,+2 (OC),KND,-,-,-,-
Heshikirimutou,"d+2, 2, 2+3","mid, mid",-,-,-,-,-,-,-,"12 [14], 17",i16,-12,+7,-,-,-,-,-
-,"(d+2), (2), 2+3",-,-,-,-,-,-,-,-,-,i22,-12,+7,STUN,-,-,-,-
-,d/b+1,mid,-,-,-,-,-,-,-,16 [19],i20,-16,0 (OC),0 (OC),-,-,-,-
Nade Kujaku,"d/b+1, 1","mid, mid",-,-,-,-,-,-,-,"16 [19], 23",i20,-8,KND,-,-,-,-,-
-,"(d/b+1), 1",mid,-,-,-,-,-,-,-,23 [27],i8,-8,KND,KND,-,-,-,-
-,D/B+2,mid,-,-,-,-,-,-,-,8 [9],i15,-5,+6,+6,-,-,-,-
-,"D/B+2, 2","mid, mid",-,-,-,-,-,-,-,"8 [9], 7",i15,-8,+2,-,-,-,-,-
-,"D/B+2, 2, 2","mid, mid, mid",-,-,-,-,-,-,-,"8 [9], 7, 6",i15,-8,+2,-,-,-,-,-
-,"D/B+2, 2, 2, 2","mid, mid, mid, mid",-,-,-,-,-,-,-,"8 [9], 7, 6, 5",i15,-8,+2,-,-,-,-,-
-,"D/B+2, 2, 2, 2, 2","mid, mid, mid, mid, mid",-,-,-,-,-,-,-,"8 [9], 7, 6, 5, 4",i15,-8,+2,-,-,-,-,-
Stone Fists,"D/B+2, 2, 2, 2, 2, 2","mid, mid, mid, mid, mid, mid",-,-,-,-,-,-,-,"8 [9], 7, 6, 5, 4, 3",i15,FUFT,FUFT,-,-,-,-,-
-,D/B+3 (or FC d/b+3),low,-,-,-,high,-,-,-,8 [9],i18,-19,-7,-,-,-,-,-
-,"D/B+3, 3","low, low",-,-,-,high,-,-,-,"8 [9], 7",i18,-19,-7,-,-,-,-,-
-,"D/B+3, 3, 3","low, low, low",-,-,-,high,-,-,-,"8 [9], 7, 7",i18,-19,-7,-,-,-,-,-
-,"D/B+3, 3, 3, 3","low, low, low, low",-,-,-,high,-,-,-,"8 [9], 7, 7, 5",i18,-19,-7,-,-,-,-,-
-,"D/B+3, 3, 3, 3, 3","low, low, low, low, low",-,-,-,high,-,-,-,"8 [9], 7, 7, 5, 5",i18,-19,-7,-,-,-,-,-
Manji Spin Low Kicks,"D/B+3, 3, 3, 3, 3, 3","low, low, low, low, low, low",-,-,-,high,-,-,-,"8 [9], 7, 7, 5, 5, 5",i18,FUFT,FUFT,-,-,-,-,-
Manji Spin Low Kicks Front Kick,(During Manji Spin Low Kicks) 4,mid,-,-,-,-,-,-,-,15 [18],i12,-8,KND,KND,-,-,-,-
Nozuchi Fumi,d/b+4,low,-,-,-,-,-,-,-,14 [16],i17,-12,-1,-1,-,-,-,-
-,b+2,mid,-,-,-,-,-,-,-,12 [14],i14,-9,+2,+2,-,-,-,-
Oma Gehosen,"b+2, 1","mid, mid",-,-,-,-,-,-,-,"12 [14], 20",i14,-17,LAUNCH,-,-,-,-,-
-,"(b+2), 1",mid,-,-,-,low*,-,-,-,20 [24],i27,-17,LAUNCH,LAUNCH,-,-,-,-
Oma Kugiuchi,"b+2, 2","mid, high",-,-,-,-,-,-,-,"12 [14], 21",i14,-13,KND,-,-,-,-,-
-,"(b+2), 2",high,-,-,-,-,-,-,-,21 [25],i22,-13,KND,KND,-,-,-,-
Thunder Blade Cancel,"b, B+1+4, B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,FC 1,s. mid,-,-,-,high,-,-,-,5 [6],i10,-5,+6,+6,-,-,-,-
-,FC 2,s. mid,-,-,-,high,-,-,-,8 [9],i11,-4,+5,+5,-,-,-,-
-,FC 3,low,-,-,-,-,-,-,-,12 [14],i16,-17,-3,-3,-,-,-,-
-,FC 4,low,-,-,-,-,-,-,-,10 [12],i12,-15,-4,-4,-,-,-,-
Knee Cap,FC d/f+4,low,-,-,-,-,-,-,-,18 [21],i18,-26,+4,STUN,-,-,-,-
Inner Palm,SS 1,mid,-,-,-,-,-,-,-,21 [25],i17,-9,+2,LAUNCH,-,-,-,-
Shrine,SS 2,mid,-,-,-,-,-,-,-,20 [24],i18,-13,LAUNCH,LAUNCH,-,-,-,-
